run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_1_of_5,2026-05-18T14:46:46.093,10.496,0.001,53,53,0
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_1_of_5,2026-05-18T14:46:47.102,11.504,1.009,53,53,0
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_1_of_5,2026-05-18T14:46:48.106,12.508,2.013,53,53,0
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_1_of_5,2026-05-18T14:46:49.111,13.513,3.018,53,53,0
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_1_of_5,2026-05-18T14:46:50.118,14.521,4.026,53,53,0
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_2_of_5,2026-05-18T14:46:51.125,15.528,5.033,53,53,0
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_2_of_5,2026-05-18T14:46:52.129,16.531,6.036,53,53,0
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_2_of_5,2026-05-18T14:46:53.136,17.538,7.043,53,53,0
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_2_of_5,2026-05-18T14:46:54.140,18.542,8.047,53,53,0
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_2_of_5,2026-05-18T14:46:55.147,19.549,9.054,52,53,1
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_3_of_5,2026-05-18T14:46:56.154,20.557,10.061,52,53,1
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_3_of_5,2026-05-18T14:46:57.159,21.562,11.067,52,53,1
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_3_of_5,2026-05-18T14:46:58.168,22.57,12.075,51,53,2
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_3_of_5,2026-05-18T14:46:59.174,23.576,13.081,51,53,2
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_3_of_5,2026-05-18T14:47:00.181,24.583,14.088,50,53,3
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_3_of_5,2026-05-18T14:47:01.189,25.591,15.096,50,53,3
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_4_of_5,2026-05-18T14:47:02.197,26.6,16.104,49,53,4
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_4_of_5,2026-05-18T14:47:03.200,27.603,17.108,49,53,4
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_4_of_5,2026-05-18T14:47:04.214,28.617,18.121,48,53,5
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_4_of_5,2026-05-18T14:47:05.221,29.624,19.128,48,53,5
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_4_of_5,2026-05-18T14:47:06.226,30.628,20.133,48,53,5
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_4_of_5,2026-05-18T14:47:07.228,31.631,21.136,47,53,6
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_5_of_5,2026-05-18T14:47:08.236,32.639,22.144,47,53,6
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_5_of_5,2026-05-18T14:47:09.244,33.646,23.151,47,53,6
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_5_of_5,2026-05-18T14:47:10.252,34.654,24.159,47,53,6
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_5_of_5,2026-05-18T14:47:11.255,35.657,25.162,46,53,7
20260518_144632,drone_1_B11_tail_forward_250_lv1_20260518_144632,single_drone_baseline,tail_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,6,1,node_segment_5_of_5,2026-05-18T14:47:12.262,36.664,26.169,46,53,7
