run_id,experiment_id,formation,wind_direction,wind_speed,wind_level,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,pre_node_settle,2026-05-18T11:06:31.965,17.768,0.001,0.001,2,-3,-16,76,47,-16,76,50,250,80,7,250,10,3,266,4,266.047,,,74,74,,6,-4,0,0,0,0,-27.0,9.0,-994.0,54,57,79,40,-15.26,73
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:32.970,18.774,1.006,1.006,2,-3,-20,78,47,-20,78,50,250,80,7,250,10,3,270,2,270.024,,,74,74,,6,-5,1,0,0,0,-34.0,-2.0,-981.0,55,57,80,50,-15.19,74
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:33.975,19.779,2.011,2.011,2,-3,-17,78,47,-17,78,50,250,80,7,250,10,3,267,2,267.024,,,74,74,,6,-4,0,0,0,0,-42.0,-29.0,-1019.0,54,57,79,50,-15.25,75
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:34.981,20.785,3.017,3.017,2,-3,-15,79,47,-15,79,50,250,80,7,250,10,3,265,1,265.019,,,74,74,,6,-5,0,0,0,0,-73.0,17.0,-985.0,55,58,80,50,-15.32,76
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:35.987,21.79,4.022,4.022,2,-1,-19,79,49,-19,79,50,250,80,7,250,10,1,269,1,269.004,,,74,74,,6,-4,0,0,0,0,-51.0,8.0,-999.0,55,58,80,50,-15.36,77
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:36.992,22.796,5.028,5.028,2,-2,-16,80,48,-16,80,50,250,80,7,250,10,2,266,0,266.008,,,74,74,,6,-3,0,-1,0,0,-49.0,14.0,-993.0,55,57,81,50,-15.36,78
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:37.999,23.803,6.035,6.035,2,-5,-14,79,45,-14,79,50,250,80,7,250,10,5,264,1,264.049,,,74,74,,6,-4,0,0,0,0,-52.0,-5.0,-1005.0,55,58,80,50,-15.24,79
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:39.005,24.808,7.04,7.04,2,-2,-15,78,48,-15,78,50,250,80,7,250,10,2,265,2,265.015,,,74,74,,6,-5,0,0,0,0,-92.0,-5.0,-989.0,55,58,80,50,-15.32,80
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:40.012,25.815,8.048,8.048,2,-3,-19,78,47,-19,78,50,250,80,7,250,10,3,269,2,269.024,,,74,74,,6,-4,0,0,0,0,-51.0,-8.0,-997.0,55,58,80,50,-15.11,81
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:41.018,26.822,9.054,9.054,2,-7,-19,77,43,-19,77,50,250,80,7,250,10,7,269,3,269.108,,,74,74,,6,-4,0,-1,0,0,-29.0,0.0,-998.0,55,58,80,50,-15.13,82
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:42.024,27.828,10.06,10.06,2,-4,-11,78,46,-11,78,50,250,80,7,250,10,4,261,2,261.038,,,74,74,,6,-4,0,0,0,0,-70.0,7.0,-999.0,55,59,79,50,-15.21,83
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:43.032,28.835,11.067,11.067,2,-5,-12,77,45,-12,77,50,250,80,7,250,10,5,262,3,262.065,,,74,74,,6,-4,1,0,0,0,-43.0,-13.0,-997.0,56,57,79,40,-15.11,84
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:44.038,29.841,12.074,12.074,2,-6,-10,77,44,-10,77,50,250,80,7,250,10,6,260,3,260.087,,,74,74,,6,-4,0,0,0,0,-37.0,-11.0,-996.0,55,59,79,40,-15.14,85
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:45.045,30.848,13.08,13.08,2,-7,-12,77,43,-12,77,50,250,80,7,250,10,7,262,3,262.111,,,74,74,,6,-3,1,-1,0,0,-48.0,-32.0,-977.0,56,58,81,50,-15.0,86
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:46.052,31.855,14.087,14.087,2,-13,-11,77,37,-11,77,50,250,80,7,250,10,13,261,3,261.341,,,74,74,,6,-4,0,0,0,0,-56.0,1.0,-999.0,56,58,79,50,-15.19,87
20260518_110457,drone_2_B10_head_forward_250_20260518_110457,single_drone_baseline,head_forward_250,lv2,lv2,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:06:47.058,32.861,15.094,15.094,2,-10,-12,77,40,-12,77,50,250,80,7,250,10,10,262,3,262.208,,,74,74,,6,-4,0,0,0,0,-54.0,3.0,-1020.0,56,58,80,50,-15.03,88
