run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,pre_node_settle,2026-05-18T11:12:21.722,14.729,0.001,0.001,2,2,-2,82,52,-2,82,50,250,80,7,250,10,-2,252,-2,252.016,,,52,52,,0,-1,0,0,0,0,-52.0,21.0,-980.0,62,63,84,70,-13.5,296
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:12:22.729,15.736,1.008,1.008,2,4,3,82,54,3,82,50,250,80,7,250,10,-4,247,-2,247.04,,,52,52,,-1,-3,2,0,0,0,-63.0,6.0,-992.0,62,64,82,70,-13.52,297
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:12:23.732,16.739,2.011,2.011,2,1,5,80,51,5,80,50,250,80,7,250,10,-1,245,0,245.002,,,52,52,,-1,-4,0,0,0,0,-52.0,-10.0,-1010.0,61,63,80,70,-13.69,298
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:12:24.737,17.744,3.016,3.016,2,1,14,77,51,14,77,50,250,80,7,250,10,-1,236,3,236.021,,,52,52,,0,-3,0,0,0,0,-63.0,-6.0,-981.0,62,64,79,60,-13.7,299
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:12:25.745,18.752,4.024,4.024,3,3,-31,74,53,19,74,50,250,80,7,250,10,-3,231,6,231.097,,,52,52,,0,-3,0,0,0,0,-90.0,-2.0,-1007.0,62,63,80,70,-13.64,300
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:12:26.751,19.759,5.03,5.03,3,3,-17,75,53,33,75,50,250,80,7,250,10,-3,217,5,217.078,,,52,52,,-1,-3,0,0,0,0,-70.0,-1.0,-1012.0,61,63,79,60,-13.65,301
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_1_of_5,2026-05-18T11:12:27.756,20.764,6.036,6.036,3,3,-7,76,53,43,76,50,250,80,7,250,10,-3,207,4,207.06,,,52,52,,-1,-1,0,0,0,0,-47.0,-31.0,-983.0,61,64,79,70,-13.49,302
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_2_of_5,2026-05-18T11:12:28.762,21.77,7.041,7.041,3,1,-1,76,51,49,76,50,250,80,7,250,10,-1,201,4,201.042,,,52,52,,0,-3,1,0,0,0,-55.0,-5.0,-953.0,62,64,79,60,-13.69,303
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_2_of_5,2026-05-18T11:12:29.770,22.777,8.049,8.049,3,0,0,78,50,50,78,50,250,80,7,250,10,0,200,2,200.01,,,52,52,,-1,-3,0,-1,0,0,-54.0,3.0,-986.0,61,65,81,70,-13.44,304
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_2_of_5,2026-05-18T11:12:30.776,23.783,9.055,9.055,3,-3,9,79,47,59,79,50,250,80,7,250,10,3,191,1,191.026,,,52,52,,-1,-2,0,0,0,0,-46.0,-25.0,-992.0,62,63,79,70,-13.49,305
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_2_of_5,2026-05-18T11:12:31.783,24.791,10.062,10.062,4,5,-30,75,55,70,75,50,250,80,7,250,10,-5,180,5,180.139,,,52,52,,-1,-3,0,0,0,0,-63.0,-16.0,-1004.0,62,63,79,60,-13.53,306
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_2_of_5,2026-05-18T11:12:32.791,25.799,11.071,11.071,4,1,-18,77,51,82,77,50,250,80,7,250,10,-1,168,3,168.03,,,52,52,,-1,-3,0,0,0,0,-94.0,-12.0,-986.0,62,64,80,70,-13.84,307
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_2_of_5,2026-05-18T11:12:33.799,26.806,12.078,12.078,4,1,-7,77,51,93,77,50,250,80,7,250,10,-1,157,3,157.032,,,52,52,,-1,-3,0,0,0,0,-80.0,2.0,-1015.0,62,64,79,70,-13.59,308
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_3_of_5,2026-05-18T11:12:34.805,27.812,13.084,13.084,4,1,-2,78,51,98,78,50,250,80,7,250,10,-1,152,2,152.016,,,51,52,,-1,-4,0,0,0,0,-58.0,5.0,-1020.0,61,64,81,70,-13.45,309
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_3_of_5,2026-05-18T11:12:35.812,28.82,14.091,14.091,4,2,0,78,52,100,78,50,250,80,7,250,10,-2,150,2,150.027,,,51,52,,-1,-4,0,0,0,0,-62.0,-28.0,-1030.0,62,65,80,60,-13.68,310
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_3_of_5,2026-05-18T11:12:36.820,29.827,15.099,15.099,4,0,4,77,50,104,77,50,250,80,7,250,10,0,146,3,146.031,,,51,52,,-1,-4,0,0,0,0,-67.0,-22.0,-994.0,62,64,79,70,-13.68,311
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_3_of_5,2026-05-18T11:12:37.826,30.833,16.105,16.105,4,-2,9,77,48,109,77,50,250,80,7,250,10,2,141,3,141.046,,,50,52,,-1,-3,3,-1,0,0,-69.0,-36.0,-1013.0,62,64,79,60,-13.78,312
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_3_of_5,2026-05-18T11:12:38.833,31.84,17.112,17.112,4,-8,15,78,42,115,78,50,250,80,7,250,10,8,135,2,135.252,,,50,52,,0,-2,2,-1,0,0,-67.0,21.0,-1042.0,62,65,82,70,-13.6,313
20260518_111204,drone_2_B10_head_forward_250_20260518_111204,single_drone_baseline,head_forward_250,up,drone_2,192.168.0.109,B10,1,single_baseline,2,1,0,node_segment_3_of_5,2026-05-18T11:12:39.840,32.847,18.119,18.119,4,-12,18,83,38,118,83,50,250,80,7,250,10,12,132,-3,132.578,,,50,52,,-1,-4,0,0,0,0,-85.0,-12.0,-998.0,62,64,82,70,-13.67,314
