run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260518_145925,drone_3_B13_tail_forward_250_lv1_20260518_145925,single_drone_baseline,tail_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,pre_node_settle,2026-05-18T14:59:40.952,12.887,0.001,0.001,8,5,4,86,105,254,86,100,0,80,3,250,10,-5,-254,-6,254.12,,,73,73,,-1,4,0,0,0,0,114.0,26.0,-922.0,58,60,84,50,8.8,72
20260518_145925,drone_3_B13_tail_forward_250_lv1_20260518_145925,single_drone_baseline,tail_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:59:41.962,13.897,1.01,1.01,8,7,2,87,107,252,87,100,0,80,3,250,10,-7,-252,-7,252.194,,,73,73,,-1,3,1,-1,0,0,73.0,0.0,-1042.0,58,60,83,50,8.46,73
20260518_145925,drone_3_B13_tail_forward_250_lv1_20260518_145925,single_drone_baseline,tail_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:59:42.968,14.903,2.017,2.017,7,12,40,95,112,240,95,100,0,80,3,250,10,-12,-240,-15,240.768,,,73,73,,-1,3,1,0,0,0,51.0,-13.0,-1032.0,58,60,82,50,8.77,74
20260518_145925,drone_3_B13_tail_forward_250_lv1_20260518_145925,single_drone_baseline,tail_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:59:43.973,15.908,3.022,3.022,8,10,-5,83,110,245,83,100,0,80,3,250,10,-10,-245,-3,245.222,,,73,73,,-1,3,1,0,0,0,50.0,-6.0,-971.0,58,60,79,50,8.77,75
20260518_145925,drone_3_B13_tail_forward_250_lv1_20260518_145925,single_drone_baseline,tail_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:59:44.980,16.915,4.029,4.029,8,15,-10,78,115,240,78,100,0,80,3,250,10,-15,-240,2,240.477,,,73,73,,-1,1,0,0,0,0,50.0,-18.0,-1055.0,58,62,79,50,8.82,76
20260518_145925,drone_3_B13_tail_forward_250_lv1_20260518_145925,single_drone_baseline,tail_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:59:45.984,17.919,5.033,5.033,8,17,-14,80,117,236,80,100,0,80,3,250,10,-17,-236,0,236.611,,,73,73,,-1,3,0,0,0,0,83.0,7.0,-985.0,59,62,80,50,8.79,77
20260518_145925,drone_3_B13_tail_forward_250_lv1_20260518_145925,single_drone_baseline,tail_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:59:46.990,18.925,6.038,6.038,7,18,26,82,118,226,82,100,0,80,3,250,10,-18,-226,-2,226.725,,,73,73,,-1,3,0,0,0,0,37.0,-7.0,-1017.0,59,61,80,50,8.73,78
20260518_145925,drone_3_B13_tail_forward_250_lv1_20260518_145925,single_drone_baseline,tail_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:59:47.994,19.929,7.042,7.042,8,14,-29,77,114,221,77,100,0,80,3,250,10,-14,-221,3,221.463,,,73,73,,-1,3,3,0,0,0,58.0,-4.0,-982.0,59,60,79,50,8.55,79
20260518_145925,drone_3_B13_tail_forward_250_lv1_20260518_145925,single_drone_baseline,tail_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:59:49.001,20.936,8.049,8.049,7,16,16,80,116,216,80,100,0,80,3,250,10,-16,-216,0,216.592,,,73,73,,-1,2,1,0,0,0,67.0,-12.0,-996.0,59,61,80,50,8.62,80
20260518_145925,drone_3_B13_tail_forward_250_lv1_20260518_145925,single_drone_baseline,tail_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:59:50.008,21.943,9.056,9.056,7,12,18,80,112,218,80,100,0,80,3,250,10,-12,-218,0,218.33,,,73,73,,-1,3,0,0,-1,0,69.0,0.0,-1010.0,60,61,78,50,8.59,81
20260518_145925,drone_3_B13_tail_forward_250_lv1_20260518_145925,single_drone_baseline,tail_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:59:51.013,22.948,10.061,10.061,7,10,24,76,110,224,76,100,0,80,3,250,10,-10,-224,4,224.259,,,73,73,,-1,3,1,0,0,0,56.0,-18.0,-1014.0,59,61,79,50,8.91,82
