run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_1_of_5,2026-05-15T15:04:56.188,12.073,0.0,0.0,4,-5,-3,87,145,-3,87,150,250,80,1,250,10,5,253,-7,253.146,,,69,69,,-7,-2,1,0,0,0,-21.0,-45.0,-994.0,52,55,83,70,-79.38,67
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_1_of_5,2026-05-15T15:04:57.194,13.079,1.006,1.006,4,-8,1,84,142,1,84,150,250,80,1,250,10,8,249,-4,249.161,,,69,69,,-7,-2,1,-1,0,0,-29.0,-50.0,-987.0,52,54,80,70,-79.43,68
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_1_of_5,2026-05-15T15:04:58.200,14.085,2.012,2.012,4,-14,14,79,136,14,79,150,250,80,1,250,10,14,236,1,236.417,,,69,69,,-6,-2,0,-1,0,0,-26.0,-18.0,-1018.0,52,55,79,70,-79.45,69
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_1_of_5,2026-05-15T15:04:59.206,15.091,3.018,3.018,4,-11,19,80,139,19,80,150,250,80,1,250,10,11,231,0,231.262,,,69,69,,-6,-2,1,0,0,0,-29.0,-3.0,-1021.0,52,55,81,70,-79.51,70
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_1_of_5,2026-05-15T15:05:00.209,16.094,4.021,4.021,4,-11,28,80,139,28,80,150,250,80,1,250,10,11,222,0,222.272,,,69,69,,-6,-3,0,-1,0,0,-26.0,-23.0,-988.0,51,54,79,70,-79.5,71
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_1_of_5,2026-05-15T15:05:01.213,17.098,5.026,5.026,4,-12,44,75,138,44,75,150,250,80,1,250,10,12,206,5,206.41,,,69,69,,-6,-1,1,-1,0,0,-52.0,-26.0,-1021.0,52,55,78,60,-79.44,72
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_2_of_5,2026-05-15T15:05:02.220,18.105,6.032,6.032,5,-5,0,80,145,50,80,150,250,80,1,250,10,5,200,0,200.062,,,69,69,,-7,-4,0,0,0,0,-64.0,2.0,-958.0,52,54,77,60,-79.33,73
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_2_of_5,2026-05-15T15:05:03.226,19.111,7.038,7.038,5,-18,2,77,132,52,77,150,250,80,1,250,10,18,198,3,198.839,,,69,69,,-6,-3,2,0,0,0,-68.0,1.0,-977.0,51,55,79,70,-79.47,74
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_2_of_5,2026-05-15T15:05:04.232,20.117,8.044,8.044,5,-19,8,78,131,58,78,150,250,80,1,250,10,19,192,2,192.948,,,69,69,,-6,-2,0,0,0,0,-52.0,-13.0,-1016.0,52,54,78,70,-79.54,75
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_2_of_5,2026-05-15T15:05:05.238,21.123,9.05,9.05,5,-2,10,82,148,60,82,150,250,80,1,250,10,2,190,-2,190.021,,,69,69,,-7,-3,0,0,0,0,-67.0,-46.0,-1070.0,52,55,80,70,-79.5,76
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_2_of_5,2026-05-15T15:05:06.243,22.128,10.055,10.055,5,-5,20,85,145,70,85,150,250,80,1,250,10,5,180,-5,180.139,,,69,69,,-7,-3,2,0,0,0,-61.0,-25.0,-1029.0,52,55,83,70,-79.33,77
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_2_of_5,2026-05-15T15:05:07.249,23.134,11.061,11.061,6,-13,-14,83,137,86,83,150,250,80,1,250,10,13,164,-3,164.542,,,69,69,,-6,-5,1,0,0,0,-77.0,-18.0,-990.0,52,56,82,70,-79.56,78
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_2_of_5,2026-05-15T15:05:08.255,24.14,12.068,12.068,6,-10,-8,82,140,92,82,150,250,80,1,250,10,10,158,-2,158.329,,,69,69,,-7,-3,1,0,0,0,-54.0,2.0,-964.0,52,55,81,70,-79.53,79
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_2_of_5,2026-05-15T15:05:09.261,25.146,13.073,13.073,6,-7,0,83,143,100,83,150,250,80,1,250,10,7,150,-3,150.193,,,69,69,,-6,-3,2,0,0,0,-67.0,-25.0,-1003.0,53,55,83,70,-79.6,80
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_3_of_5,2026-05-15T15:05:10.267,26.152,14.079,14.079,6,-7,1,82,143,101,82,150,250,80,1,250,10,7,149,-2,149.178,,,69,69,,-7,-4,0,0,0,0,-65.0,-15.0,-1016.0,52,56,79,60,-79.45,81
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_3_of_5,2026-05-15T15:05:11.272,27.157,15.084,15.084,6,-4,0,79,146,100,79,150,250,80,1,250,10,4,150,1,150.057,,,69,69,,-6,-5,1,0,0,0,-106.0,1.0,-965.0,53,56,82,70,-79.58,82
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_3_of_5,2026-05-15T15:05:12.278,28.163,16.09,16.09,6,-6,4,81,144,104,81,150,250,80,1,250,10,6,146,-1,146.127,,,69,69,,-7,-3,1,-1,0,0,-23.0,-53.0,-1012.0,53,55,78,60,-79.51,83
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_3_of_5,2026-05-15T15:05:13.284,29.169,17.096,17.096,6,-11,10,80,139,110,80,150,250,80,1,250,10,11,140,0,140.431,,,69,69,,-6,-3,0,0,0,0,-75.0,-21.0,-1027.0,53,56,81,70,-79.7,84
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_3_of_5,2026-05-15T15:05:14.286,30.171,18.099,18.099,6,-11,11,81,139,111,81,150,250,80,1,250,10,11,139,-1,139.438,,,69,69,,-6,-3,0,-1,0,0,-67.0,19.0,-1036.0,53,56,79,70,-79.54,85
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_3_of_5,2026-05-15T15:05:15.289,31.174,19.102,19.102,6,-4,18,82,146,118,82,150,250,80,1,250,10,4,132,-2,132.076,,,69,69,,-7,-4,1,-1,0,0,-44.0,-60.0,-993.0,53,56,79,60,-79.62,86
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_3_of_5,2026-05-15T15:05:16.293,32.179,20.106,20.106,7,-10,-10,82,140,140,82,150,250,80,1,250,10,10,110,-2,110.472,,,69,69,,-6,-3,3,0,0,0,-41.0,-43.0,-1015.0,53,55,78,60,-79.59,87
20260515_150310,drone_4_B14_head_forward_250_20260515_150310,single_drone_baseline,head_forward_250,lv2,drone_4,192.168.0.106,B14,1,single_baseline,4,3,0,node_segment_3_of_5,2026-05-15T15:05:17.299,33.184,21.112,21.112,7,-8,0,81,142,150,81,150,250,80,1,250,10,8,100,-1,100.324,,,69,69,,-6,-2,2,0,0,0,-59.0,-21.0,-1031.0,53,56,80,70,-79.6,88
