run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260618_185741,drone_5_B12_hover_lv1_20260618_185741,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,takeoff,2026-06-18T18:57:53.493,2.07,0.0,0.0,-1,-100,-100,-100,,,,,,,,0,,,,,,,,53,53,,-30,-2,0,0,0,-3,-37.0,2.0,-997.0,48,51,10,0,6.55,0
20260618_185741,drone_5_B12_hover_lv1_20260618_185741,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,takeoff,2026-06-18T18:57:54.498,3.075,1.005,1.005,-1,-100,-100,-100,,,,,,,,0,,,,,,,,53,53,,-30,-2,0,0,0,0,-35.0,3.0,-1000.0,48,51,10,0,6.56,0
20260618_185741,drone_5_B12_hover_lv1_20260618_185741,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,takeoff,2026-06-18T18:57:55.505,4.081,2.011,2.011,-1,-100,-100,-100,,,,,,,,0,,,,,,,,52,53,,-30,-2,0,0,0,0,-37.0,1.0,-1000.0,49,51,10,0,6.51,0
20260618_185741,drone_5_B12_hover_lv1_20260618_185741,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:57:56.509,5.086,3.016,3.016,-1,-100,-100,-100,,,,,,,,0,,,,,,,,52,53,,-30,-2,0,0,0,0,-34.0,0.0,-1000.0,49,52,10,0,6.56,0
20260618_185741,drone_5_B12_hover_lv1_20260618_185741,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:57:57.515,6.092,4.022,4.022,-1,-100,-100,-100,,,,,,,,0,,,,,,,,51,53,,-30,-2,0,0,0,0,-36.0,3.0,-999.0,49,52,10,0,6.51,0
20260618_185741,drone_5_B12_hover_lv1_20260618_185741,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:57:58.520,7.096,5.027,5.027,-1,-100,-100,-100,,,,,,,,0,,,,,,,,51,53,,-30,-2,0,0,0,0,-34.0,3.0,-998.0,49,51,10,0,6.46,0
20260618_185741,drone_5_B12_hover_lv1_20260618_185741,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:57:59.525,8.102,6.032,6.032,-1,-100,-100,-100,,,,,,,,0,,,,,,,,50,53,,-30,-2,0,0,0,0,-36.0,2.0,-1000.0,49,52,10,0,6.5,0
20260618_185741,drone_5_B12_hover_lv1_20260618_185741,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:58:00.527,9.104,7.034,7.034,-1,-100,-100,-100,,,,,,,,0,,,,,,,,50,53,,-30,-2,0,0,0,0,-35.0,1.0,-997.0,49,52,10,0,6.46,0
20260618_185741,drone_5_B12_hover_lv1_20260618_185741,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:58:01.534,10.11,8.041,8.041,-1,-100,-100,-100,,,,,,,,0,,,,,,,,49,53,,-30,-2,0,0,0,0,-37.0,1.0,-1000.0,49,51,10,0,6.51,0
20260618_185741,drone_5_B12_hover_lv1_20260618_185741,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:58:02.536,11.113,9.043,9.043,-1,-100,-100,-100,,,,,,,,0,,,,,,,,49,53,,-29,-2,0,0,0,0,-39.0,1.0,-999.0,49,52,10,0,6.52,0
