run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260618_185156,drone_5_B12_hover_lv1_20260618_185156,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,takeoff,2026-06-18T18:52:01.665,2.378,0.0,0.0,-1,-100,-100,-100,,,,,,,,0,,,,,,,,59,59,,81,4,-2,0,0,0,83.0,47.0,-994.0,62,65,10,0,7.07,2
20260618_185156,drone_5_B12_hover_lv1_20260618_185156,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,takeoff,2026-06-18T18:52:02.668,3.381,1.004,1.004,-1,-100,-100,-100,,,,,,,,0,,,,,,,,58,59,,81,3,-2,0,0,1,74.0,37.0,-1000.0,61,65,10,0,7.11,2
20260618_185156,drone_5_B12_hover_lv1_20260618_185156,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,takeoff,2026-06-18T18:52:03.673,4.387,2.009,2.009,-1,-100,-100,-100,,,,,,,,0,,,,,,,,58,59,,87,-31,-11,0,0,0,-475.0,143.0,-832.0,62,65,10,0,7.11,2
20260618_185156,drone_5_B12_hover_lv1_20260618_185156,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:52:04.677,5.39,3.013,3.013,-1,-100,-100,-100,,,,,,,,0,,,,,,,,57,59,,82,-37,-12,0,0,0,-577.0,134.0,-788.0,61,65,10,0,7.06,2
20260618_185156,drone_5_B12_hover_lv1_20260618_185156,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:52:05.683,6.396,4.019,4.019,-1,-100,-100,-100,,,,,,,,0,,,,,,,,57,59,,78,-42,-15,0,0,0,-649.0,198.0,-724.0,62,64,10,0,7.06,2
20260618_185156,drone_5_B12_hover_lv1_20260618_185156,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:52:06.688,7.401,5.024,5.024,-1,-100,-100,-100,,,,,,,,0,,,,,,,,56,59,,75,-45,-14,0,0,0,-631.0,185.0,-740.0,62,65,10,0,6.99,2
20260618_185156,drone_5_B12_hover_lv1_20260618_185156,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:52:07.694,8.407,6.03,6.03,-1,-100,-100,-100,,,,,,,,0,,,,,,,,56,59,,64,-52,-10,0,0,0,-789.0,101.0,-605.0,61,65,10,0,7.02,2
20260618_185156,drone_5_B12_hover_lv1_20260618_185156,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:52:08.697,9.41,7.033,7.033,-1,-100,-100,-100,,,,,,,,0,,,,,,,,56,59,,64,-53,-10,0,0,0,-808.0,81.0,-582.0,62,65,10,0,6.96,2
20260618_185156,drone_5_B12_hover_lv1_20260618_185156,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:52:09.701,10.414,8.037,8.037,-1,-100,-100,-100,,,,,,,,0,,,,,,,,56,59,,83,-36,-14,0,0,0,-452.0,139.0,-854.0,62,65,10,0,6.91,2
20260618_185156,drone_5_B12_hover_lv1_20260618_185156,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:52:10.703,11.416,9.039,9.039,-1,-100,-100,-100,,,,,,,,0,,,,,,,,56,59,,85,-26,-17,0,0,-1,-246.0,203.0,-1015.0,62,65,10,0,6.8,2
20260618_185156,drone_5_B12_hover_lv1_20260618_185156,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:52:11.709,12.422,10.045,10.045,-1,-100,-100,-100,,,,,,,,0,,,,,,,,56,59,,73,-16,14,0,0,0,-166.0,-247.0,-1001.0,62,65,10,0,6.76,2
20260618_185156,drone_5_B12_hover_lv1_20260618_185156,single_drone_baseline,hover,lv1,drone_5,192.168.0.107,B12,1,single_baseline,,,,hover_to_10_percent,2026-06-18T18:52:12.715,13.428,11.05,11.05,-1,-100,-100,-100,,,,,,,,0,,,,,,,,56,59,,67,-24,11,0,0,0,-373.0,-188.0,-905.0,63,65,10,0,6.78,2
