run_id,baseline_id,drone_name,drone_number,drone_ip,battery_id,mode,direction,baseline_path,phase,timestamp,elapsed_time,mid,x,y,z,battery,battery_start,battery_drop_from_start,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,pre_takeoff,2026-05-13T15:04:45.611,0.0,-1,-100,-100,-100,100,100,0,-12,0,0,0,0,0,10.0,-8.0,-1001.0,36,38,30,0,-123.77,0
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,takeoff,2026-05-13T15:04:46.616,1.006,-1,-100,-100,-100,100,100,0,-12,0,0,0,0,6,-6.0,-4.0,-1061.0,36,39,30,0,-123.6,0
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,takeoff,2026-05-13T15:04:47.622,2.011,5,-2,0,60,100,100,0,-12,0,0,0,0,2,-1.0,-8.0,-985.0,36,40,71,60,-122.83,1
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,takeoff,2026-05-13T15:04:48.627,3.017,5,-15,0,79,100,100,0,-12,0,0,0,0,0,-9.0,3.0,-984.0,37,40,87,70,-122.8,2
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,takeoff,2026-05-13T15:04:49.631,4.02,5,-2,-1,90,100,100,0,-12,0,0,0,0,0,-2.0,-5.0,-994.0,37,40,89,70,-122.75,3
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,takeoff,2026-05-13T15:04:50.635,5.024,5,-3,0,90,100,100,0,-12,0,0,0,0,0,0.0,0.0,-998.0,38,40,85,70,-122.78,4
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,takeoff,2026-05-13T15:04:51.638,6.027,5,-5,-1,86,100,100,0,-12,0,0,0,0,0,-4.0,1.0,-1001.0,39,42,83,70,-122.76,5
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,takeoff,2026-05-13T15:04:52.643,7.032,5,-4,0,84,100,100,0,-12,0,0,0,0,0,-9.0,13.0,-1004.0,39,42,81,70,-122.84,6
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,takeoff,2026-05-13T15:04:53.649,8.038,5,-6,1,83,99,100,1,-12,0,0,0,0,0,3.0,6.0,-1006.0,39,41,81,70,-122.85,7
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,takeoff,2026-05-13T15:04:54.654,9.044,5,-5,0,83,98,100,2,-12,0,0,0,0,0,6.0,3.0,-995.0,39,42,82,70,-122.85,8
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,takeoff,2026-05-13T15:04:55.660,10.049,5,-6,0,84,98,100,2,-12,0,0,0,0,0,0.0,7.0,-995.0,40,43,82,70,-122.75,9
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,takeoff,2026-05-13T15:04:56.666,11.055,5,-6,1,84,98,100,2,-12,0,0,0,0,0,8.0,3.0,-1001.0,40,43,82,70,-122.82,10
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:04:57.671,12.061,5,-5,0,84,97,100,3,-12,0,0,0,0,0,4.0,10.0,-995.0,40,43,81,70,-122.73,11
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:04:58.675,13.065,5,-5,2,83,96,100,4,-12,0,0,0,0,0,7.0,4.0,-998.0,41,43,81,70,-122.72,12
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:04:59.681,14.071,5,-7,4,83,96,100,4,-12,0,0,0,0,0,6.0,7.0,-1007.0,41,43,81,70,-122.79,13
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:00.687,15.076,5,-8,5,83,95,100,5,-12,0,0,0,0,0,5.0,3.0,-997.0,41,44,81,70,-122.69,14
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:01.691,16.08,5,-21,4,80,95,100,5,-12,0,0,0,0,0,6.0,-5.0,-1001.0,42,45,82,70,-122.58,15
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:02.693,17.082,5,-21,5,81,94,100,6,-12,0,0,0,0,0,7.0,0.0,-999.0,42,44,81,70,-122.75,16
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:03.694,18.083,5,-18,4,82,94,100,6,-12,0,0,0,0,0,5.0,2.0,-1000.0,43,45,81,70,-122.77,17
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:04.699,19.089,5,-22,7,79,93,100,7,-12,0,0,0,0,0,10.0,0.0,-1001.0,42,45,81,70,-122.62,18
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:05.705,20.095,5,-24,9,79,93,100,7,-12,0,0,0,0,0,6.0,2.0,-1001.0,43,46,81,70,-122.55,19
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:06.711,21.1,5,-7,3,83,92,100,8,-12,0,0,0,0,0,6.0,1.0,-1000.0,44,46,82,70,-122.49,20
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:07.717,22.106,5,-22,8,80,92,100,8,-12,0,0,0,0,0,6.0,3.0,-997.0,43,46,81,70,-122.51,21
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:08.723,23.112,5,-8,7,82,91,100,9,-12,0,0,0,0,0,10.0,1.0,-1001.0,44,46,81,70,-122.63,22
