run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260518_152322,drone_5_B15_tail_forward_250_lv1_20260518_152322,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,pre_node_settle,2026-05-18T15:23:40.980,15.543,0.0,0.0,2,2,-10,88,202,240,88,200,0,80,5,250,10,-2,-240,-8,240.142,,,74,74,,4,2,-1,0,0,0,33.0,8.0,-1005.0,58,60,81,80,10.46,105
20260518_152322,drone_5_B15_tail_forward_250_lv1_20260518_152322,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_1_of_5,2026-05-18T15:23:41.989,16.552,1.01,1.01,2,-1,-11,83,199,239,83,200,0,80,5,250,10,1,-239,-3,239.021,,,74,74,,3,1,-1,-1,0,0,44.0,21.0,-987.0,58,60,79,70,10.27,106
20260518_152322,drone_5_B15_tail_forward_250_lv1_20260518_152322,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_1_of_5,2026-05-18T15:23:42.996,17.558,2.016,2.016,1,-5,20,83,195,220,83,200,0,80,5,250,10,5,-220,-3,220.077,,,74,74,,3,1,-1,-1,0,0,9.0,35.0,-1006.0,58,61,79,70,10.35,107
20260518_152322,drone_5_B15_tail_forward_250_lv1_20260518_152322,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_1_of_5,2026-05-18T15:23:44.003,18.566,3.023,3.023,1,-4,6,80,196,206,80,200,0,80,5,250,10,4,-206,0,206.039,,,74,74,,2,2,-1,-1,0,0,21.0,32.0,-1017.0,58,61,77,70,10.27,108
20260518_152322,drone_5_B15_tail_forward_250_lv1_20260518_152322,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_2_of_5,2026-05-18T15:23:45.005,19.568,4.025,4.025,1,-5,1,78,195,201,78,200,0,80,5,250,10,5,-201,2,201.072,,,74,74,,2,0,0,0,0,0,27.0,20.0,-986.0,58,60,79,70,10.24,109
20260518_152322,drone_5_B15_tail_forward_250_lv1_20260518_152322,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_2_of_5,2026-05-18T15:23:46.013,20.575,5.033,5.033,1,-1,-6,82,199,194,82,200,0,80,5,250,10,1,-194,-2,194.013,,,74,74,,2,2,1,-1,0,0,37.0,-12.0,-969.0,58,61,81,80,10.29,110
20260518_152322,drone_5_B15_tail_forward_250_lv1_20260518_152322,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_2_of_5,2026-05-18T15:23:47.018,21.581,6.038,6.038,1,0,-20,81,200,180,81,200,0,80,5,250,10,0,-180,-1,180.003,,,73,74,,2,2,-1,-1,0,0,45.0,28.0,-1003.0,58,61,77,70,10.37,111
20260518_152322,drone_5_B15_tail_forward_250_lv1_20260518_152322,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_2_of_5,2026-05-18T15:23:48.023,22.586,7.044,7.044,8,-1,9,80,199,159,80,200,0,80,5,250,10,1,-159,0,159.003,,,73,74,,3,3,-2,-1,0,0,49.0,48.0,-995.0,58,60,78,70,10.36,112
20260518_152322,drone_5_B15_tail_forward_250_lv1_20260518_152322,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_3_of_5,2026-05-18T15:23:49.031,23.594,8.051,8.051,8,-5,-7,79,195,143,79,200,0,80,5,250,10,5,-143,1,143.091,,,73,74,,3,2,0,0,0,0,12.0,54.0,-1002.0,58,60,77,70,10.29,113
20260518_152322,drone_5_B15_tail_forward_250_lv1_20260518_152322,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_3_of_5,2026-05-18T15:23:50.038,24.601,9.059,9.059,1,-8,-46,82,192,154,82,200,0,80,5,250,10,8,-154,-2,154.221,,,72,74,,2,0,-1,0,0,0,10.0,-11.0,-1016.0,58,61,80,70,10.27,114
