battery_id,drone,label,window,slope,intercept,r2,rmse,t0,t1,duration,n,source
B11,1,D1 / B11,75-50,-0.11192994531992179,84.35849676804368,0.9852648627879951,0.8733181626381655,71.316,291.307,219.991,220,database/baselines/drone_1_B11/drone_1_B11_hover_20260513_143201_timeseries.csv
B11,1,D1 / B11,75-45,-0.11937439566939775,85.46865297869546,0.9818891336589953,1.1659931201036775,71.316,319.473,248.157,248,database/baselines/drone_1_B11/drone_1_B11_hover_20260513_143201_timeseries.csv
B11,1,D1 / B11,80-50,-0.11064504372892009,84.08062852240985,0.9881376740221746,0.8613435157079856,46.195,291.307,245.11200000000002,245,database/baselines/drone_1_B11/drone_1_B11_hover_20260513_143201_timeseries.csv
B10,2,D2 / B10,75-50,-0.12450452755489234,93.38309185978142,0.9934626985351585,0.606510248195821,134.612,341.695,207.083,207,database/baselines/drone_2_B10/drone_2_B10_hover_20260513_180556_timeseries.csv
B10,2,D2 / B10,75-45,-0.12939907179936727,94.4022727751276,0.9925684793712982,0.7636257425138906,134.612,369.935,235.323,235,database/baselines/drone_2_B10/drone_2_B10_hover_20260513_180556_timeseries.csv
B10,2,D2 / B10,80-50,-0.10628253190127315,88.68700283360255,0.9769300179719774,1.3879357583669756,48.231,341.695,293.464,293,database/baselines/drone_2_B10/drone_2_B10_hover_20260513_180556_timeseries.csv
B13,3,D3 / B13,75-50,-0.11156003325758831,82.43364379997149,0.9907740409004724,0.6837091578770211,59.257,278.256,218.99899999999997,219,database/baselines/drone_3_B13/drone_3_B13_hover_20260513_163826_timeseries.csv
B13,3,D3 / B13,75-45,-0.11817771066097471,83.33853039596237,0.986409612094718,0.9895983762506207,59.257,305.399,246.142,246,database/baselines/drone_3_B13/drone_3_B13_hover_20260513_163826_timeseries.csv
B13,3,D3 / B13,80-50,-0.11255444012049222,82.63330348578516,0.9910510261736084,0.7257983985243802,44.183,278.256,234.07299999999998,234,database/baselines/drone_3_B13/drone_3_B13_hover_20260513_163826_timeseries.csv
B14,4,D4 / B14,75-50,-0.108452175940512,84.21707549769707,0.9787383602000999,1.0570801855661052,65.31,293.388,228.07799999999997,228,database/baselines/drone_4_B14/drone_4_B14_hover_20260513_144257_timeseries.csv
B14,4,D4 / B14,75-45,-0.1172494647820224,85.50238511691668,0.9756497576596774,1.3916342717345906,65.31,324.603,259.293,259,database/baselines/drone_4_B14/drone_4_B14_hover_20260513_144257_timeseries.csv
B14,4,D4 / B14,80-50,-0.10581884412499486,83.65112455006471,0.9805425778325246,1.0851839382818027,42.201,293.388,251.18699999999998,251,database/baselines/drone_4_B14/drone_4_B14_hover_20260513_144257_timeseries.csv
B15,5,D5 / B15,75-50,-0.11569534336417431,85.20684727856457,0.9865677837274471,0.830138553018244,76.351,288.36,212.00900000000001,212,database/baselines/drone_5_B15/drone_5_B15_hover_20260513_150444_timeseries.csv
B15,5,D5 / B15,75-45,-0.1236159766752751,86.40673950435198,0.9826936749024476,1.1420130659928382,76.351,316.537,240.18599999999998,240,database/baselines/drone_5_B15/drone_5_B15_hover_20260513_150444_timeseries.csv
B15,5,D5 / B15,80-50,-0.11369334139073428,84.77739082408951,0.9897437004820661,0.8157595257418141,45.21,288.36,243.15,243,database/baselines/drone_5_B15/drone_5_B15_hover_20260513_150444_timeseries.csv
