run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260603_192757,column_50_head_lv1_new_004,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T19:28:15.445,17.809,0.0,0.0,8,6,-4,85,6,346,85,0,100,80,3,250,10,-6,-246,-5,246.124,67.734,291.023,66,66,,-5,0,0,0,0,0,-4.0,-5.0,-997.0,65,67,84,50,105.92,197
20260603_192757,column_50_head_lv1_new_004,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T19:28:15.554,17.918,0.109,0.109,8,6,-4,85,6,346,85,0,100,80,3,250,10,-6,-246,-5,246.124,67.934,291.023,66,66,,-5,0,0,0,0,0,-24.0,-13.0,-1007.0,65,67,84,50,105.89,197
20260603_192757,column_50_head_lv1_new_004,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T19:28:15.662,18.025,0.217,0.217,8,6,-4,85,6,346,85,0,100,80,3,250,10,-6,-246,-5,246.124,67.517,291.023,66,66,,-5,0,0,0,0,0,-37.0,19.0,-993.0,65,67,84,50,105.78,197
20260603_192757,column_50_head_lv1_new_004,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T19:28:15.770,18.134,0.325,0.325,8,6,-4,85,6,346,85,0,100,80,3,250,10,-6,-246,-5,246.124,55.707,203.049,66,66,,-5,0,0,0,0,0,0.0,10.0,-1023.0,65,67,84,50,105.84,197
20260603_192757,column_50_head_lv1_new_004,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T19:28:15.878,18.242,0.433,0.433,8,11,-8,84,11,342,84,0,100,80,3,250,10,-11,-242,-4,242.283,55.53,199.201,66,66,,-5,0,0,0,0,0,-15.0,-14.0,-972.0,65,67,84,50,105.89,197
20260603_192757,column_50_head_lv1_new_004,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T19:28:15.986,18.349,0.54,0.54,8,11,-8,84,11,342,84,0,100,80,3,250,10,-11,-242,-4,242.283,54.689,199.201,66,66,,-5,0,0,0,0,0,4.0,-14.0,-1003.0,65,67,84,50,105.89,198
20260603_192757,column_50_head_lv1_new_004,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T19:28:16.090,18.454,0.645,0.645,8,11,-8,84,11,342,84,0,100,80,3,250,10,-11,-242,-4,242.283,54.585,199.201,66,66,,-5,-1,0,0,0,0,-33.0,22.0,-995.0,65,67,84,50,105.93,198
20260603_192757,column_50_head_lv1_new_004,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T19:28:16.198,18.562,0.753,0.753,8,11,-8,84,11,342,84,0,100,80,3,250,10,-11,-242,-4,242.283,53.976,196.203,66,66,,-5,-1,0,0,0,0,0.0,-18.0,-998.0,65,67,84,50,105.95,198
20260603_192757,column_50_head_lv1_new_004,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T19:28:16.306,18.67,0.861,0.861,8,11,-8,84,11,342,84,0,100,80,3,250,10,-11,-242,-4,242.283,53.976,196.203,66,66,,-5,-1,0,0,0,0,-32.0,9.0,-1007.0,65,67,84,50,105.94,198
20260603_192757,column_50_head_lv1_new_004,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T19:28:16.410,18.774,0.965,0.965,8,11,-8,84,11,342,84,0,100,80,3,250,10,-11,-242,-4,242.283,53.999,196.203,66,66,,-5,-1,0,0,0,0,-45.0,20.0,-1006.0,65,67,85,50,105.92,198
