run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260701_200907,column_50_tail_lv1_new_001,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_logging,2026-07-01T20:09:28.942,20.958,0.0,0.0,1,-7,0,81,-7,0,81,0,250,80,6,250,10,7,250,-1,250.1,7.634,16.017,74,74,,0,0,0,0,0,0,4.0,-14.0,-1015.0,65,67,78,60,40.94,161
20260701_200907,column_50_tail_lv1_new_001,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_segment_1_of_5,2026-07-01T20:09:29.048,21.064,0.106,0.106,1,-8,-2,79,-8,-2,79,0,250,80,6,250,10,8,252,1,252.129,7.642,16.017,74,74,,0,0,0,0,0,0,-11.0,-11.0,-1000.0,65,67,78,60,40.95,161
20260701_200907,column_50_tail_lv1_new_001,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_segment_1_of_5,2026-07-01T20:09:29.156,21.172,0.215,0.215,1,-8,-2,79,-8,-2,79,0,250,80,6,250,10,8,252,1,252.129,8.041,17.017,74,74,,0,0,1,0,0,0,9.0,-9.0,-1003.0,64,66,79,60,40.94,161
20260701_200907,column_50_tail_lv1_new_001,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_segment_1_of_5,2026-07-01T20:09:29.265,21.281,0.323,0.323,1,-9,-1,79,-9,-1,79,0,250,80,6,250,10,9,251,1,251.163,8.042,17.017,74,74,,0,0,0,0,0,0,-8.0,13.0,-987.0,64,66,80,70,40.97,161
20260701_200907,column_50_tail_lv1_new_001,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_segment_1_of_5,2026-07-01T20:09:29.374,21.39,0.432,0.432,1,-9,-1,79,-9,-1,79,0,250,80,6,250,10,9,251,1,251.163,7.648,16.039,74,74,,0,0,0,0,0,0,3.0,-13.0,-988.0,64,66,81,70,40.97,161
20260701_200907,column_50_tail_lv1_new_001,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_segment_1_of_5,2026-07-01T20:09:29.482,21.498,0.54,0.54,1,-9,-1,79,-9,-1,79,0,250,80,6,250,10,9,251,1,251.163,7.648,16.039,74,74,,0,0,0,0,0,0,18.0,-12.0,-971.0,64,66,81,70,41.01,162
20260701_200907,column_50_tail_lv1_new_001,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_segment_1_of_5,2026-07-01T20:09:29.591,21.607,0.649,0.649,1,-9,-1,79,-9,-1,79,0,250,80,6,250,10,9,251,1,251.163,6.657,14.07,74,74,,0,0,0,0,0,0,17.0,13.0,-984.0,64,66,82,70,40.97,162
20260701_200907,column_50_tail_lv1_new_001,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_segment_1_of_5,2026-07-01T20:09:29.697,21.713,0.755,0.755,1,-9,-1,82,-9,-1,82,0,250,80,6,250,10,9,251,-2,251.169,7.461,15.109,74,74,,0,0,0,0,0,0,41.0,-19.0,-1002.0,64,66,83,70,40.96,162
20260701_200907,column_50_tail_lv1_new_001,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_segment_1_of_5,2026-07-01T20:09:29.805,21.821,0.863,0.863,1,-9,-1,82,-9,-1,82,0,250,80,6,250,10,9,251,-2,251.169,7.461,15.109,74,74,,0,0,0,0,0,0,-2.0,18.0,-992.0,64,66,83,70,40.98,162
20260701_200907,column_50_tail_lv1_new_001,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_segment_1_of_5,2026-07-01T20:09:29.913,21.929,0.972,0.972,1,-9,-1,82,-9,-1,82,0,250,80,6,250,10,9,251,-2,251.169,7.461,15.109,74,74,,0,0,1,0,0,0,-12.0,-32.0,-988.0,64,66,84,70,41.04,162
