run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_logging,2026-07-01T21:20:41.943,23.116,0.0,0.0,1,2,-5,84,2,-5,84,0,250,80,6,250,10,-2,255,-4,255.039,9.807,22.007,61,61,,-23,0,0,0,0,0,5.0,-2.0,-1012.0,65,67,83,80,32.21,257
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-07-01T21:20:41.943,23.116,0.0,0.0,2,-1,-2,84,-1,48,84,0,300,80,7,250,10,1,252,-4,252.034,9.807,22.007,58,58,,16,0,0,0,0,0,26.0,-26.0,-1009.0,66,69,83,70,33.37,249
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:41.943,23.116,0.0,0.0,3,1,-16,83,1,84,83,0,350,80,8,250,10,-1,266,-3,266.019,9.807,22.007,64,64,,42,0,0,0,0,0,0.0,-23.0,-1025.0,66,68,82,70,33.03,172
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_4,192.168.0.106,B14,4,column_4,4,0,3,node_segment_1_of_5,2026-07-01T21:20:41.943,23.116,0.0,0.0,4,0,6,87,0,156,87,0,400,80,3,250,10,0,244,-7,244.1,9.807,22.007,61,61,,3,0,0,0,0,0,15.0,-14.0,-1008.0,60,63,87,70,33.6,242
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_5,2026-07-01T21:20:41.943,23.116,0.0,0.0,5,0,0,84,0,200,84,0,450,80,4,250,10,0,250,-4,250.032,9.807,22.007,54,54,,18,0,0,0,0,0,-1.0,-2.0,-990.0,62,64,83,70,32.32,270
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_segment_1_of_5,2026-07-01T21:20:42.053,23.225,0.109,0.109,1,2,-5,84,2,-5,84,0,250,80,6,250,10,-2,255,-4,255.039,9.807,22.007,61,61,,-23,0,0,0,0,0,18.0,4.0,-992.0,65,67,83,80,32.34,257
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-07-01T21:20:42.053,23.225,0.109,0.109,2,-1,-2,84,-1,48,84,0,300,80,7,250,10,1,252,-4,252.034,9.807,22.007,58,58,,16,0,0,0,0,0,-11.0,8.0,-1025.0,66,69,82,70,33.31,249
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:42.053,23.225,0.109,0.109,3,1,-16,84,1,84,84,0,350,80,8,250,10,-1,266,-4,266.032,9.807,22.007,64,64,,42,-1,0,0,0,0,-20.0,-7.0,-997.0,66,68,83,70,33.06,172
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_4,192.168.0.106,B14,4,column_4,4,0,3,node_segment_1_of_5,2026-07-01T21:20:42.053,23.225,0.109,0.109,4,0,6,87,0,156,87,0,400,80,3,250,10,0,244,-7,244.1,9.807,22.007,61,61,,3,0,0,0,0,0,5.0,-3.0,-982.0,60,63,87,70,33.62,242
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_5,2026-07-01T21:20:42.053,23.225,0.109,0.109,5,0,0,84,0,200,84,0,450,80,4,250,10,0,250,-4,250.032,9.807,22.007,54,54,,18,0,0,0,0,0,6.0,-11.0,-990.0,62,64,83,70,32.31,270
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_segment_1_of_5,2026-07-01T21:20:42.159,23.331,0.216,0.216,1,2,-5,84,2,-5,84,0,250,80,6,250,10,-2,255,-4,255.039,10.205,23.007,61,61,,-23,0,0,0,0,0,11.0,5.0,-1003.0,65,67,83,80,32.39,257
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-07-01T21:20:42.159,23.331,0.216,0.216,2,0,-3,82,0,47,82,0,300,80,7,250,10,0,253,-2,253.008,10.205,23.007,58,58,,16,0,0,0,0,0,-2.0,-2.0,-1002.0,66,69,82,70,33.27,249
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:42.159,23.331,0.216,0.216,3,1,-16,84,1,84,84,0,350,80,8,250,10,-1,266,-4,266.032,10.205,23.007,64,64,,43,-1,0,0,0,0,-3.0,2.0,-1004.0,66,68,82,70,33.13,172
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_4,192.168.0.106,B14,4,column_4,4,0,3,node_segment_1_of_5,2026-07-01T21:20:42.159,23.331,0.216,0.216,4,0,7,88,0,157,88,0,400,80,3,250,10,0,243,-8,243.132,10.205,23.007,61,61,,3,0,0,0,0,0,13.0,6.0,-999.0,60,63,86,70,33.59,242
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_5,2026-07-01T21:20:42.159,23.331,0.216,0.216,5,0,0,84,0,200,84,0,450,80,4,250,10,0,250,-4,250.032,10.205,23.007,54,54,,18,0,0,0,0,0,-47.0,-5.0,-1008.0,62,64,83,70,32.35,270
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_segment_1_of_5,2026-07-01T21:20:42.262,23.434,0.319,0.319,1,4,-5,84,4,-5,84,0,250,80,6,250,10,-4,255,-4,255.063,10.219,23.007,61,61,,-23,1,0,0,0,0,-10.0,-10.0,-1003.0,65,67,83,80,32.29,257
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-07-01T21:20:42.262,23.434,0.319,0.319,2,0,-3,82,0,47,82,0,300,80,7,250,10,0,253,-2,253.008,10.219,23.007,58,58,,16,0,0,0,0,0,3.0,5.0,-975.0,66,69,82,70,33.3,249
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:42.262,23.434,0.319,0.319,3,1,-16,84,1,84,84,0,350,80,8,250,10,-1,266,-4,266.032,10.219,23.007,64,64,,43,-1,0,0,0,0,0.0,-6.0,-991.0,66,68,82,70,33.13,172
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_4,192.168.0.106,B14,4,column_4,4,0,3,node_segment_1_of_5,2026-07-01T21:20:42.262,23.434,0.319,0.319,4,0,7,88,0,157,88,0,400,80,3,250,10,0,243,-8,243.132,10.219,23.007,61,61,,3,0,0,0,0,0,29.0,-9.0,-994.0,60,63,86,70,33.6,242
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_5,2026-07-01T21:20:42.262,23.434,0.319,0.319,5,0,0,84,0,200,84,0,450,80,4,250,10,0,250,-4,250.032,10.219,23.007,54,54,,18,-1,0,0,0,0,-1.0,-18.0,-1001.0,62,64,83,70,32.3,270
