run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-06-19T18:30:59.756,21.534,0.0,0.0,3,-12,-9,82,-12,91,82,0,350,80,8,250,10,12,259,-2,259.286,7.116,14.537,75,75,,-1,-1,0,0,0,0,-28.0,10.0,-1004.0,61,63,80,70,30.7,15
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-06-19T18:30:59.863,21.641,0.108,0.108,3,-12,-9,82,-12,91,82,0,350,80,8,250,10,12,259,-2,259.286,7.116,14.537,75,75,,-1,-1,0,0,0,0,3.0,0.0,-994.0,61,63,80,70,30.7,16
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-06-19T18:30:59.972,21.75,0.216,0.216,3,-12,-9,82,-12,91,82,0,350,80,8,250,10,12,259,-2,259.286,6.061,13.789,75,75,,-1,-1,0,0,0,0,-20.0,13.0,-1000.0,61,63,80,70,30.71,16
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-06-19T18:31:00.080,21.858,0.324,0.324,3,-12,-10,82,-12,90,82,0,350,80,8,250,10,12,260,-2,260.284,6.454,14.761,75,75,,-1,-1,0,0,0,0,5.0,-9.0,-977.0,61,63,80,70,30.77,16
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-06-19T18:31:00.188,21.966,0.433,0.433,3,-12,-10,82,-12,90,82,0,350,80,8,250,10,12,260,-2,260.284,7.03,14.761,75,75,,-1,-1,0,0,0,0,0.0,2.0,-985.0,61,63,80,70,30.81,16
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-06-19T18:31:00.296,22.075,0.541,0.541,3,-12,-10,82,-12,90,82,0,350,80,8,250,10,12,260,-2,260.284,6.773,14.761,75,75,,-1,-1,0,0,0,0,-18.0,12.0,-1018.0,61,63,80,70,30.76,16
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-06-19T18:31:00.404,22.182,0.648,0.648,3,-12,-10,82,-12,90,82,0,350,80,8,250,10,12,260,-2,260.284,6.557,14.761,75,75,,-1,0,0,0,0,0,-29.0,12.0,-1001.0,61,63,80,70,30.68,16
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-06-19T18:31:00.511,22.29,0.756,0.756,3,-11,-9,82,-11,91,82,0,350,80,8,250,10,11,259,-2,259.241,6.246,14.537,75,75,,-1,-1,0,0,0,0,-16.0,9.0,-999.0,61,63,80,70,30.7,16
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-06-19T18:31:00.618,22.396,0.862,0.862,3,-11,-9,82,-11,91,82,0,350,80,8,250,10,11,259,-2,259.241,6.648,14.537,75,75,,-1,0,0,0,0,0,-23.0,-2.0,-1015.0,61,63,80,70,30.65,16
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-06-19T18:31:00.725,22.503,0.969,0.969,3,-11,-9,82,-11,91,82,0,350,80,8,250,10,11,259,-2,259.241,7.091,14.537,75,75,,-1,0,0,0,0,0,1.0,0.0,-1019.0,61,63,80,70,30.57,16
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-06-19T18:31:00.831,22.609,1.075,1.075,3,-12,-9,81,-12,91,81,0,350,80,8,250,10,12,259,-1,259.28,6.765,14.761,75,75,,-1,0,0,0,0,0,-7.0,2.0,-1005.0,61,63,81,70,30.62,17
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-06-19T18:31:00.937,22.716,1.182,1.182,3,-12,-9,81,-12,91,81,0,350,80,8,250,10,12,259,-1,259.28,6.987,15.734,75,75,,-1,-1,0,0,0,0,-22.0,2.0,-1011.0,61,63,81,70,30.62,17
