run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_1,192.168.0.102,B11,1,column_1,1,0,8,node_logging,2026-06-20T18:59:35.631,21.175,0.0,0.0,1,15,-8,84,15,592,84,0,300,80,5,300,10,-15,-292,-4,292.412,8.808,17.13,73,73,,-6,0,0,0,0,0,-11.0,-9.0,-1006.0,63,65,80,70,-48.11,98
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_2,192.168.0.109,B10,2,column_2,8,0,7,node_segment_1_of_4,2026-06-20T18:59:35.631,21.175,0.0,0.0,8,-1,-4,80,-1,521,80,0,225,80,4,300,10,1,-296,0,296.002,8.808,17.13,74,74,,-2,0,0,0,0,0,-6.0,0.0,-1016.0,62,65,81,70,-47.35,123
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T18:59:35.631,21.175,0.0,0.0,7,0,6,83,0,456,83,0,150,80,3,300,10,0,-306,-3,306.015,8.808,17.13,71,71,,-82,0,0,0,0,0,-14.0,12.0,-996.0,63,66,81,70,-47.3,77
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:35.631,21.175,0.0,0.0,6,-4,10,86,-4,385,86,0,75,80,2,300,10,4,-310,-6,310.084,8.808,17.13,73,73,,-100,0,0,0,0,0,12.0,20.0,-1005.0,57,59,84,70,-46.85,110
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T18:59:35.631,21.175,0.0,0.0,5,0,3,81,0,303,81,0,0,80,1,300,10,0,-303,-1,303.002,8.808,17.13,74,74,,-81,0,0,0,0,0,-1.0,-7.0,-1001.0,60,62,77,70,-48.16,167
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_1,192.168.0.102,B11,1,column_1,1,0,8,node_segment_1_of_4,2026-06-20T18:59:35.740,21.284,0.109,0.109,1,15,-8,84,15,592,84,0,300,80,5,300,10,-15,-292,-4,292.412,8.808,17.13,73,73,,-6,-1,0,0,0,0,-18.0,-7.0,-988.0,63,65,79,70,-48.19,98
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_2,192.168.0.109,B10,2,column_2,8,0,7,node_segment_1_of_4,2026-06-20T18:59:35.740,21.284,0.109,0.109,8,-1,-4,80,-1,521,80,0,225,80,4,300,10,1,-296,0,296.002,8.808,17.13,74,74,,-2,0,0,0,0,0,-1.0,0.0,-979.0,62,65,81,70,-47.25,123
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T18:59:35.740,21.284,0.109,0.109,7,0,6,83,0,456,83,0,150,80,3,300,10,0,-306,-3,306.015,8.808,17.13,71,71,,-82,0,0,0,0,0,-3.0,4.0,-971.0,63,66,82,70,-47.34,78
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:35.740,21.284,0.109,0.109,6,-4,10,86,-4,385,86,0,75,80,2,300,10,4,-310,-6,310.084,8.808,17.13,73,73,,-100,0,0,0,0,0,9.0,10.0,-1001.0,57,59,85,70,-46.81,110
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T18:59:35.740,21.284,0.109,0.109,5,0,3,81,0,303,81,0,0,80,1,300,10,0,-303,-1,303.002,8.808,17.13,74,74,,-81,-1,0,0,0,0,-6.0,0.0,-1052.0,59,62,77,70,-48.19,167
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_1,192.168.0.102,B11,1,column_1,1,0,8,node_segment_1_of_4,2026-06-20T18:59:35.847,21.391,0.216,0.216,1,15,-8,84,15,592,84,0,300,80,5,300,10,-15,-292,-4,292.412,8.742,17.036,73,73,,-6,0,0,0,0,0,0.0,-7.0,-1023.0,63,65,79,70,-48.16,98
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_2,192.168.0.109,B10,2,column_2,8,0,7,node_segment_1_of_4,2026-06-20T18:59:35.847,21.391,0.216,0.216,8,-1,-4,80,-1,521,80,0,225,80,4,300,10,1,-296,0,296.002,8.742,17.036,74,74,,-2,0,0,0,0,0,-1.0,-4.0,-1020.0,62,65,81,70,-47.32,123
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T18:59:35.847,21.391,0.216,0.216,7,0,6,83,0,456,83,0,150,80,3,300,10,0,-306,-3,306.015,8.742,17.036,71,71,,-82,0,0,0,0,0,-12.0,13.0,-1027.0,63,66,81,70,-47.4,78
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:35.847,21.391,0.216,0.216,6,-5,10,86,-5,385,86,0,75,80,2,300,10,5,-310,-6,310.098,8.742,17.036,73,73,,-100,0,0,0,0,0,-19.0,27.0,-996.0,57,59,85,70,-46.87,111
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T18:59:35.847,21.391,0.216,0.216,5,-12,5,79,-12,305,79,0,0,80,1,300,10,12,-305,1,305.238,8.742,17.036,74,74,,-81,0,0,0,0,0,-6.0,-34.0,-1025.0,59,62,76,70,-48.13,167
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_1,192.168.0.102,B11,1,column_1,1,0,8,node_segment_1_of_4,2026-06-20T18:59:35.955,21.499,0.324,0.324,1,16,-9,81,16,591,81,0,300,80,5,300,10,-16,-291,-1,291.441,9.084,17.932,73,73,,-6,0,1,0,0,0,23.0,-12.0,-1003.0,63,65,78,70,-48.2,98
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_2,192.168.0.109,B10,2,column_2,8,0,7,node_segment_1_of_4,2026-06-20T18:59:35.955,21.499,0.324,0.324,8,-1,-4,80,-1,521,80,0,225,80,4,300,10,1,-296,0,296.002,9.084,17.932,74,74,,-2,0,0,0,0,0,-20.0,9.0,-1008.0,62,65,81,70,-47.28,123
