run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:34.706,19.063,0.0,0.0,7,5,-3,87,5,447,87,0,150,80,3,300,10,-5,-297,-7,297.125,5.207,10.942,70,70,,1,0,0,0,0,0,9.0,-16.0,-994.0,68,70,83,70,2.67,102
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:34.813,19.171,0.108,0.108,7,5,-3,87,5,447,87,0,150,80,3,300,10,-5,-297,-7,297.125,5.404,10.942,70,70,,2,0,0,0,0,0,-10.0,-6.0,-991.0,68,70,83,70,2.71,103
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:34.921,19.279,0.215,0.215,7,5,-3,87,5,447,87,0,150,80,3,300,10,-5,-297,-7,297.125,5.001,9.911,70,70,,2,0,0,0,0,0,-15.0,-7.0,-1002.0,68,70,83,70,2.76,103
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:35.028,19.386,0.323,0.323,7,5,-3,87,5,447,87,0,150,80,3,300,10,-5,-297,-7,297.125,4.598,8.968,70,70,,2,0,0,0,0,0,-37.0,6.0,-999.0,68,70,83,70,2.69,103
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:35.135,19.493,0.429,0.429,7,5,-3,87,5,447,87,0,150,80,3,300,10,-5,-297,-7,297.125,4.598,8.968,70,70,,2,0,0,0,0,0,14.0,-13.0,-1008.0,68,70,83,70,2.7,103
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:35.239,19.597,0.533,0.533,7,5,-3,87,5,447,87,0,150,80,3,300,10,-5,-297,-7,297.125,4.436,8.968,70,70,,2,0,0,0,0,0,-2.0,2.0,-987.0,68,70,83,70,2.63,103
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:35.344,19.702,0.638,0.638,7,5,-3,87,5,447,87,0,150,80,3,300,10,-5,-297,-7,297.125,4.834,9.986,70,70,,2,0,0,0,0,0,4.0,6.0,-988.0,68,70,82,70,2.72,103
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:35.451,19.809,0.746,0.746,7,7,-7,86,7,443,86,0,150,80,3,300,10,-7,-293,-6,293.145,4.637,10.475,70,70,,2,0,0,0,0,0,26.0,-17.0,-1001.0,68,70,83,70,2.63,103
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:35.558,19.915,0.852,0.852,7,7,-7,86,7,443,86,0,150,80,3,300,10,-7,-293,-6,293.145,4.637,10.475,70,70,,2,0,0,0,0,0,19.0,-14.0,-1000.0,67,70,83,70,2.69,103
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:35.663,20.021,0.958,0.958,7,7,-7,86,7,443,86,0,150,80,3,300,10,-7,-293,-6,293.145,4.238,9.481,70,70,,2,0,0,0,0,0,-7.0,5.0,-994.0,67,70,82,70,2.72,104
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:35.768,20.125,1.062,1.062,7,7,-7,86,7,443,86,0,150,80,3,300,10,-7,-293,-6,293.145,5.596,12.869,70,70,,2,0,0,0,0,0,3.0,-6.0,-1006.0,67,70,82,70,2.75,104
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:35.869,20.227,1.164,1.164,7,7,-7,86,7,443,86,0,150,80,3,300,10,-7,-293,-6,293.145,6.362,13.142,70,70,,2,0,0,0,0,0,-5.0,4.0,-1008.0,67,70,83,70,2.77,104
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:35.975,20.333,1.269,1.269,7,7,-7,86,7,443,86,0,150,80,3,300,10,-7,-293,-6,293.145,6.362,13.142,70,70,,2,0,0,0,0,0,12.0,0.0,-1007.0,67,70,83,70,2.72,104
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:36.081,20.439,1.376,1.376,7,7,-7,86,7,443,86,0,150,80,3,300,10,-7,-293,-6,293.145,6.362,13.142,70,70,,2,0,0,0,0,0,4.0,-2.0,-1001.0,67,70,83,70,2.76,104
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:36.186,20.544,1.48,1.48,7,7,-3,86,7,447,86,0,150,80,3,300,10,-7,-297,-6,297.143,6.755,13.142,70,70,,2,0,0,0,0,0,23.0,-1.0,-1003.0,67,70,83,70,2.76,104
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:36.289,20.647,1.583,1.583,7,7,-3,86,7,447,86,0,150,80,3,300,10,-7,-297,-6,297.143,9.184,19.34,70,70,,2,0,0,0,0,0,1.0,14.0,-992.0,67,70,84,70,2.72,104
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:36.397,20.754,1.691,1.691,7,7,-3,86,7,447,86,0,150,80,3,300,10,-7,-297,-6,297.143,9.184,19.34,70,70,,2,0,0,0,0,0,10.0,0.0,-1003.0,67,70,84,70,2.76,104
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:36.502,20.86,1.796,1.796,7,7,-3,86,7,447,86,0,150,80,3,300,10,-7,-297,-6,297.143,9.184,19.34,70,70,,2,1,0,0,0,0,0.0,-18.0,-1011.0,67,70,85,70,2.76,104
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:36.610,20.968,1.904,1.904,7,6,-3,87,6,447,87,0,150,80,3,300,10,-6,-297,-7,297.143,9.406,19.34,70,70,,2,1,0,0,0,0,-6.0,18.0,-971.0,67,70,85,70,2.84,104
20260620_023915,column_75_head_no_wind_new_prepare,column,head wind,no wind,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T02:39:36.715,21.072,2.009,2.009,7,6,-3,87,6,447,87,0,150,80,3,300,10,-6,-297,-7,297.143,13.449,29.389,70,70,,2,0,0,0,0,0,3.0,-5.0,-1000.0,67,70,85,70,2.79,105
