run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:09.040,17.301,0.0,0.0,5,-3,4,85,-3,304,85,0,600,80,1,300,10,3,296,-5,296.057,8.977,18.134,48,48,,-8,0,0,0,0,0,-15.0,9.0,-971.0,62,65,82,70,-56.61,318
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:09.146,17.407,0.106,0.106,5,-3,4,85,-3,304,85,0,600,80,1,300,10,3,296,-5,296.057,8.977,18.134,48,48,,-8,0,0,0,0,0,26.0,-30.0,-990.0,62,65,82,70,-56.62,318
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:09.254,17.514,0.214,0.214,5,-3,4,85,-3,304,85,0,600,80,1,300,10,3,296,-5,296.057,10.17,21.13,48,48,,-8,0,0,0,0,0,35.0,-35.0,-1042.0,62,65,83,70,-56.63,318
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:09.361,17.622,0.321,0.321,5,-3,4,85,-3,304,85,0,600,80,1,300,10,3,296,-5,296.057,9.971,21.13,48,48,,-8,0,1,0,0,0,12.0,-30.0,-990.0,62,65,82,70,-56.61,318
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:09.464,17.725,0.424,0.424,5,-4,7,84,-4,307,84,0,600,80,1,300,10,4,293,-4,293.055,11.177,24.182,48,48,,-8,-1,1,0,0,0,-6.0,-11.0,-972.0,62,65,83,70,-56.58,318
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:09.571,17.832,0.531,0.531,5,-4,7,84,-4,307,84,0,600,80,1,300,10,4,293,-4,293.055,12.359,27.313,48,48,,-8,-1,1,0,0,0,-16.0,-1.0,-1009.0,62,65,82,70,-56.55,319
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:09.676,17.937,0.636,0.636,5,-4,7,84,-4,307,84,0,600,80,1,300,10,4,293,-4,293.055,12.363,27.313,48,48,,-8,0,1,0,0,0,-21.0,49.0,-993.0,62,65,82,70,-56.66,319
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:09.784,18.045,0.744,0.744,5,-4,7,84,-4,307,84,0,600,80,1,300,10,4,293,-4,293.055,12.333,27.313,48,48,,-8,0,0,0,0,0,-7.0,-33.0,-1018.0,62,65,82,70,-56.66,319
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:09.891,18.152,0.851,0.851,5,-4,6,84,-4,306,84,0,600,80,1,300,10,4,294,-4,294.054,11.933,26.316,48,48,,-8,0,1,0,0,0,-4.0,-45.0,-1016.0,62,65,81,70,-56.63,319
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:09.999,18.26,0.959,0.959,5,-4,6,84,-4,306,84,0,600,80,1,300,10,4,294,-4,294.054,14.709,33.374,48,48,,-8,0,0,0,0,0,10.0,-35.0,-1013.0,62,65,81,70,-56.67,319
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:10.102,18.363,1.062,1.062,5,-6,9,83,-6,309,83,0,600,80,1,300,10,6,291,-3,291.077,15.557,36.544,48,48,,-8,0,0,0,0,0,-7.0,-26.0,-1008.0,62,65,81,70,-56.67,319
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:10.209,18.469,1.169,1.169,5,-6,9,83,-6,309,83,0,600,80,1,300,10,6,291,-3,291.077,15.557,36.544,48,48,,-8,0,1,-1,0,0,36.0,-51.0,-1042.0,62,65,81,70,-56.65,319
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:10.312,18.573,1.272,1.272,5,-6,9,83,-6,309,83,0,600,80,1,300,10,6,291,-3,291.077,15.557,36.544,48,48,,-8,0,1,-1,0,0,30.0,-49.0,-987.0,62,65,81,70,-56.7,319
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:10.417,18.677,1.377,1.377,5,-6,9,83,-6,309,83,0,600,80,1,300,10,6,291,-3,291.077,13.962,32.564,48,48,,-8,0,1,-1,0,0,16.0,-14.0,-1054.0,62,65,81,70,-56.75,319
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:10.525,18.786,1.485,1.485,5,-7,13,82,-7,313,82,0,600,80,1,300,10,7,287,-2,287.092,15.389,36.647,48,48,,-8,0,0,-1,0,0,-12.0,0.0,-989.0,62,65,81,70,-56.73,320
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:10.631,18.892,1.591,1.591,5,-7,13,82,-7,313,82,0,600,80,1,300,10,7,287,-2,287.092,15.389,36.647,48,48,,-8,0,0,-1,0,0,-38.0,-23.0,-981.0,62,65,81,70,-56.74,320
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:10.738,18.999,1.699,1.699,5,-7,13,82,-7,313,82,0,600,80,1,300,10,7,287,-2,287.092,15.389,36.647,48,48,,-8,0,0,-1,0,0,-21.0,-28.0,-974.0,62,65,80,70,-56.69,320
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:10.842,19.103,1.802,1.802,5,-7,13,82,-7,313,82,0,600,80,1,300,10,7,287,-2,287.092,15.166,35.653,48,48,,-8,0,0,-1,0,0,8.0,-32.0,-996.0,62,65,80,70,-56.69,320
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:10.950,19.21,1.91,1.91,5,-6,18,83,-6,318,83,0,600,80,1,300,10,6,282,-3,282.08,17.148,40.525,48,48,,-8,0,0,-1,0,0,-48.0,-3.0,-1016.0,62,64,80,70,-56.68,320
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:11.055,19.316,2.015,2.015,5,-6,18,83,-6,318,83,0,600,80,1,300,10,6,282,-3,282.08,17.148,40.525,48,48,,-8,0,0,0,0,0,19.0,-10.0,-1017.0,62,64,80,70,-56.67,320
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:11.161,19.422,2.121,2.121,5,-6,18,83,-6,318,83,0,600,80,1,300,10,6,282,-3,282.08,17.151,40.525,48,48,,-8,0,1,0,0,0,-2.0,1.0,-1023.0,62,64,79,70,-56.69,320
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:11.266,19.527,2.226,2.226,5,-9,23,82,-9,323,82,0,600,80,1,300,10,9,277,-2,277.153,19.996,47.691,48,48,,-8,0,0,0,0,0,-38.0,10.0,-987.0,62,64,79,70,-56.65,320
