run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:04.335,190.903,0.001,0.001,4,-2,1,88,98,101,88,100,350,80,1,250,10,2,249,-8,249.137,5.109,10.61,71,71,,5,0,0,0,0,0,-10.0,-14.0,-999.0,55,58,87,70,-78.81,81
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:04.450,191.017,0.115,0.115,4,-2,1,88,98,101,88,100,350,80,1,250,10,2,249,-8,249.137,5.109,10.61,71,71,,5,0,0,0,0,0,-9.0,-17.0,-992.0,55,58,86,70,-78.8,81
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:04.557,191.124,0.222,0.222,4,-2,1,88,98,101,88,100,350,80,1,250,10,2,249,-8,249.137,5.109,10.61,71,71,,5,0,0,0,0,0,-2.0,-4.0,-997.0,55,58,87,70,-78.79,81
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:04.664,191.232,0.33,0.33,4,-1,2,88,99,102,88,100,350,80,1,250,10,1,248,-8,248.131,5.094,10.634,71,71,,5,0,0,0,0,0,-2.0,-5.0,-966.0,55,58,86,70,-78.81,81
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:04.770,191.337,0.435,0.435,4,-1,2,88,99,102,88,100,350,80,1,250,10,1,248,-8,248.131,4.6,10.634,71,71,,5,-2,0,0,0,0,-7.0,-3.0,-977.0,55,58,86,70,-78.86,81
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:04.876,191.444,0.542,0.542,4,-1,2,88,99,102,88,100,350,80,1,250,10,1,248,-8,248.131,4.61,10.634,71,71,,5,-1,0,0,0,0,-10.0,-6.0,-985.0,55,58,86,70,-78.81,82
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:04.989,191.556,0.654,0.654,4,-1,2,88,99,102,88,100,350,80,1,250,10,1,248,-8,248.131,4.61,10.634,71,71,,5,0,0,0,0,0,-9.0,-29.0,-990.0,55,58,84,70,-78.88,82
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:05.095,191.663,0.761,0.761,4,-1,2,88,99,102,88,100,350,80,1,250,10,1,248,-8,248.131,4.583,9.221,71,71,,5,0,0,0,0,0,-4.0,-6.0,-999.0,55,58,83,70,-78.8,82
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:05.198,191.766,0.864,0.864,4,-1,2,88,99,102,88,100,350,80,1,250,10,1,248,-8,248.131,4.583,9.221,71,71,,5,0,0,0,0,0,3.0,-14.0,-1014.0,55,58,83,70,-78.76,82
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:05.305,191.872,0.97,0.97,4,-1,2,88,99,102,88,100,350,80,1,250,10,1,248,-8,248.131,4.583,9.221,71,71,,5,0,0,-1,0,0,8.0,-4.0,-984.0,55,58,81,70,-78.74,82
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:05.412,191.979,1.077,1.077,4,-1,2,88,99,102,88,100,350,80,1,250,10,1,248,-8,248.131,4.583,9.221,71,71,,5,0,0,-1,0,0,5.0,-18.0,-1020.0,55,58,82,70,-78.59,82
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:05.517,192.084,1.182,1.182,4,-2,4,86,98,104,86,100,350,80,1,250,10,2,246,-6,246.081,4.501,9.949,71,71,,5,0,0,-1,0,0,0.0,-8.0,-999.0,55,58,81,70,-78.69,82
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:05.627,192.195,1.293,1.293,4,-2,4,86,98,104,86,100,350,80,1,250,10,2,246,-6,246.081,4.501,9.949,71,71,,5,0,0,-1,0,0,-9.0,4.0,-1001.0,55,58,81,70,-78.73,82
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:05.739,192.306,1.404,1.404,4,-2,4,86,98,104,86,100,350,80,1,250,10,2,246,-6,246.081,5.56,10.299,71,71,,5,0,0,-1,0,0,-4.0,6.0,-993.0,55,58,80,70,-78.69,82
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:05.856,192.423,1.521,1.521,4,-2,4,86,98,104,86,100,350,80,1,250,10,2,246,-6,246.081,5.56,10.299,71,71,,5,0,0,-1,0,0,-22.0,6.0,-1009.0,55,58,80,70,-78.68,82
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:05.963,192.53,1.628,1.628,4,-2,8,83,98,108,83,100,350,80,1,250,10,2,242,-3,242.027,6.358,16.908,71,71,,4,0,0,-1,0,0,-9.0,-17.0,-1016.0,55,58,79,70,-78.69,83
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:06.068,192.636,1.734,1.734,4,-2,8,83,98,108,83,100,350,80,1,250,10,2,242,-3,242.027,6.358,16.908,71,71,,4,0,0,-1,0,0,7.0,-19.0,-994.0,55,58,79,70,-78.78,83
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:06.173,192.741,1.839,1.839,4,-2,8,83,98,108,83,100,350,80,1,250,10,2,242,-3,242.027,6.462,16.908,71,71,,4,0,0,-1,0,0,-5.0,-11.0,-1007.0,55,58,78,60,-78.68,83
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:06.280,192.847,1.945,1.945,4,-2,8,83,98,108,83,100,350,80,1,250,10,2,242,-3,242.027,6.235,14.893,71,71,,5,0,0,-1,0,0,-2.0,1.0,-1009.0,55,58,78,60,-78.86,83
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:06.383,192.95,2.048,2.048,4,-1,12,81,99,112,81,100,350,80,1,250,10,1,238,-1,238.004,7.503,17.21,71,71,,5,0,1,-1,0,0,-3.0,-18.0,-1009.0,55,58,78,60,-78.8,83
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:06.490,193.058,2.155,2.155,4,-1,12,81,99,112,81,100,350,80,1,250,10,1,238,-1,238.004,7.503,17.21,71,71,,5,0,1,-1,0,0,-2.0,0.0,-1056.0,55,58,77,60,-78.68,83
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:06.600,193.167,2.265,2.265,4,-1,12,81,99,112,81,100,350,80,1,250,10,1,238,-1,238.004,7.503,17.21,71,71,,5,0,0,-1,0,0,13.0,-4.0,-1008.0,55,57,78,60,-78.78,83
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:06.707,193.274,2.372,2.372,4,-1,12,81,99,112,81,100,350,80,1,250,10,1,238,-1,238.004,7.671,18.126,71,71,,4,0,0,-1,0,0,27.0,-22.0,-979.0,55,57,78,60,-78.74,83
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:06.814,193.381,2.479,2.479,4,-2,20,79,98,120,79,100,350,80,1,250,10,2,230,1,230.011,10.826,26.418,71,71,,4,0,1,-1,0,0,21.0,3.0,-974.0,55,57,78,60,-78.68,83
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:06.921,193.488,2.586,2.586,4,-2,20,79,98,120,79,100,350,80,1,250,10,2,230,1,230.011,10.826,26.418,71,71,,5,0,0,-1,0,0,15.0,5.0,-1007.0,55,57,78,60,-78.58,84
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:07.023,193.591,2.689,2.689,4,-2,20,79,98,120,79,100,350,80,1,250,10,2,230,1,230.011,10.826,26.418,71,71,,5,0,0,-1,0,0,25.0,-20.0,-1000.0,55,57,77,60,-78.58,84
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:07.130,193.698,2.796,2.796,4,-2,20,79,98,120,79,100,350,80,1,250,10,2,230,1,230.011,12.345,32.6,71,71,,5,0,0,-1,0,0,53.0,0.0,-1051.0,55,57,78,60,-78.62,84
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:07.235,193.802,2.9,2.9,4,-1,26,78,99,126,78,100,350,80,1,250,10,1,224,2,224.011,13.566,32.6,71,71,,5,1,-1,-1,0,0,29.0,-11.0,-1007.0,55,57,78,60,-78.72,84
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:07.342,193.909,3.007,3.007,4,-1,26,78,99,126,78,100,350,80,1,250,10,1,224,2,224.011,13.566,32.6,71,71,,5,2,0,-1,0,0,6.0,10.0,-928.0,55,57,78,60,-78.53,84
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:07.448,194.016,3.114,3.114,4,-1,26,78,99,126,78,100,350,80,1,250,10,1,224,2,224.011,12.678,32.6,71,71,,5,2,0,-1,0,0,2.0,-7.0,-1046.0,55,57,77,60,-78.57,84
20260521_132453,diamond_50_head_no_wind_new_001,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:28:07.554,194.122,3.22,3.22,5,3,-20,79,103,130,79,100,350,80,1,250,10,-3,220,1,220.023,14.248,36.621,71,71,,5,1,0,-1,0,0,32.0,8.0,-996.0,55,58,78,60,-78.47,84
