run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260522_145618,diamond_50_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-22T14:56:40.050,21.085,0.0,0.0,7,-2,5,89,98,255,89,100,0,80,2,250,10,2,-255,-9,255.167,10.209,21.67,87,87,,-1,0,0,0,0,0,-9.0,-4.0,-1000.0,54,58,86,70,-70.78,14
20260522_145618,diamond_50_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-22T14:56:40.156,21.191,0.106,0.106,7,-2,5,89,98,255,89,100,0,80,2,250,10,2,-255,-9,255.167,10.209,21.67,87,87,,-1,0,0,0,0,0,-15.0,17.0,-1011.0,54,58,85,70,-70.88,14
20260522_145618,diamond_50_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-22T14:56:40.264,21.299,0.214,0.214,7,-2,5,89,98,255,89,100,0,80,2,250,10,2,-255,-9,255.167,10.209,21.67,86,87,,0,0,0,0,0,0,20.0,11.0,-1026.0,54,58,85,70,-70.98,15
20260522_145618,diamond_50_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-22T14:56:40.371,21.407,0.322,0.322,7,-2,5,89,98,255,89,100,0,80,2,250,10,2,-255,-9,255.167,10.0,20.69,86,87,,0,0,0,0,0,0,21.0,8.0,-971.0,54,58,85,70,-70.96,15
20260522_145618,diamond_50_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-22T14:56:40.478,21.514,0.428,0.428,7,2,4,88,102,254,88,100,0,80,2,250,10,-2,-254,-8,254.134,10.45,19.944,86,87,,-1,-2,0,0,0,0,-4.0,17.0,-996.0,54,58,85,70,-70.92,15
20260522_145618,diamond_50_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-22T14:56:40.586,21.622,0.537,0.537,7,2,4,88,102,254,88,100,0,80,2,250,10,-2,-254,-8,254.134,10.45,19.944,86,87,,-1,-1,0,0,0,0,1.0,4.0,-1001.0,55,57,84,70,-70.93,15
20260522_145618,diamond_50_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-22T14:56:40.691,21.727,0.642,0.642,7,2,4,88,102,254,88,100,0,80,2,250,10,-2,-254,-8,254.134,10.45,19.944,86,87,,-1,0,0,0,0,0,-8.0,8.0,-981.0,55,57,82,70,-70.89,15
20260522_145618,diamond_50_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-22T14:56:40.798,21.834,0.749,0.749,7,2,4,88,102,254,88,100,0,80,2,250,10,-2,-254,-8,254.134,11.398,21.942,86,87,,-1,0,0,0,0,0,8.0,-2.0,-987.0,55,57,82,70,-70.9,15
20260522_145618,diamond_50_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-22T14:56:40.904,21.939,0.854,0.854,7,0,-2,86,100,248,86,100,0,80,2,250,10,0,-248,-6,248.073,10.655,20.491,86,87,,-1,0,0,0,0,0,12.0,18.0,-1007.0,55,57,82,70,-70.87,15
20260522_145618,diamond_50_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-22T14:56:41.012,22.047,0.962,0.962,7,0,-2,86,100,248,86,100,0,80,2,250,10,0,-248,-6,248.073,10.655,20.491,86,87,,-1,0,0,-1,0,0,23.0,6.0,-1018.0,55,57,81,70,-70.77,15
20260522_145618,diamond_50_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-22T14:56:41.120,22.155,1.07,1.07,7,0,-2,86,100,248,86,100,0,80,2,250,10,0,-248,-6,248.073,10.426,21.304,86,87,,-1,0,0,-1,0,0,9.0,7.0,-1007.0,55,57,80,70,-70.92,15
20260522_145618,diamond_50_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-22T14:56:41.227,22.262,1.177,1.177,7,0,3,84,100,253,84,100,0,80,2,250,10,0,-253,-4,253.032,11.705,22.909,86,87,,-1,0,-1,-1,0,0,3.0,24.0,-993.0,55,57,80,70,-70.98,16
20260522_145618,diamond_50_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-22T14:56:41.336,22.371,1.286,1.286,7,0,3,84,100,253,84,100,0,80,2,250,10,0,-253,-4,253.032,11.705,22.909,86,87,,0,0,0,-1,0,0,-2.0,27.0,-1048.0,55,57,79,70,-71.01,16
