run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_1,192.168.0.101,B11,1,diamond_1,1,4,node_segment_1_of_5,2026-05-25T15:02:24.942,26.524,0.0,43,43,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,2,node_segment_1_of_5,2026-05-25T15:02:24.942,26.524,0.0,48,48,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_3,192.168.0.103,B13,3,diamond_3,8,3,node_segment_1_of_5,2026-05-25T15:02:24.942,26.524,0.0,45,45,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_4,192.168.0.106,B14,4,diamond_4,1,4,node_segment_1_of_5,2026-05-25T15:02:24.942,26.524,0.0,49,49,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_5,192.168.0.107,B15,5,diamond_5,7,2,node_segment_1_of_5,2026-05-25T15:02:24.942,26.524,0.0,49,49,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_1,192.168.0.101,B11,1,diamond_1,1,4,node_segment_1_of_5,2026-05-25T15:02:25.053,26.636,0.112,43,43,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,2,node_segment_1_of_5,2026-05-25T15:02:25.053,26.636,0.112,48,48,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_3,192.168.0.103,B13,3,diamond_3,8,3,node_segment_1_of_5,2026-05-25T15:02:25.053,26.636,0.112,45,45,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_4,192.168.0.106,B14,4,diamond_4,1,4,node_segment_1_of_5,2026-05-25T15:02:25.053,26.636,0.112,49,49,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_5,192.168.0.107,B15,5,diamond_5,7,2,node_segment_1_of_5,2026-05-25T15:02:25.053,26.636,0.112,49,49,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_1,192.168.0.101,B11,1,diamond_1,1,4,node_segment_1_of_5,2026-05-25T15:02:25.161,26.744,0.219,43,43,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,2,node_segment_1_of_5,2026-05-25T15:02:25.161,26.744,0.219,48,48,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_3,192.168.0.103,B13,3,diamond_3,8,3,node_segment_1_of_5,2026-05-25T15:02:25.161,26.744,0.219,45,45,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_4,192.168.0.106,B14,4,diamond_4,1,4,node_segment_1_of_5,2026-05-25T15:02:25.161,26.744,0.219,49,49,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_5,192.168.0.107,B15,5,diamond_5,7,2,node_segment_1_of_5,2026-05-25T15:02:25.161,26.744,0.219,49,49,0
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_1,192.168.0.101,B11,1,diamond_1,1,4,node_segment_1_of_5,2026-05-25T15:02:25.267,26.85,0.326,43,43,0
