run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T15:02:24.942,26.524,0.0,0.0,7,5,5,81,55,305,81,50,50,80,2,250,10,-5,-255,-1,255.051,4.948,17.697,48,48,,2,2,0,1,0,0,38.0,-25.0,-987.0,64,67,87,70,-19.23,309
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T15:02:25.053,26.636,0.112,0.112,7,5,5,81,55,305,81,50,50,80,2,250,10,-5,-255,-1,255.051,4.948,17.697,48,48,,2,1,-1,1,0,0,30.0,-21.0,-946.0,64,67,87,70,-19.1,309
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T15:02:25.161,26.744,0.219,0.219,7,5,5,81,55,305,81,50,50,80,2,250,10,-5,-255,-1,255.051,5.336,17.697,48,48,,2,0,0,0,0,0,82.0,-33.0,-1002.0,64,67,86,70,-18.84,309
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T15:02:25.267,26.85,0.326,0.326,7,5,5,81,55,305,81,50,50,80,2,250,10,-5,-255,-1,255.051,5.336,17.697,48,48,,2,1,2,0,0,0,55.0,-25.0,-973.0,64,67,86,70,-19.13,309
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T15:02:25.373,26.956,0.432,0.432,7,5,5,81,55,305,81,50,50,80,2,250,10,-5,-255,-1,255.051,5.336,17.697,48,48,,2,-1,2,0,0,0,59.0,8.0,-963.0,64,67,86,70,-19.13,309
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T15:02:25.480,27.063,0.539,0.539,7,5,5,81,55,305,81,50,50,80,2,250,10,-5,-255,-1,255.051,4.079,11.618,48,48,,2,1,2,0,0,0,46.0,-24.0,-1017.0,64,67,85,70,-19.13,309
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T15:02:25.587,27.169,0.645,0.645,7,5,5,81,55,305,81,50,50,80,2,250,10,-5,-255,-1,255.051,4.335,11.618,48,48,,2,2,2,-1,0,0,40.0,0.0,-1029.0,64,67,84,70,-19.06,309
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T15:02:25.691,27.274,0.75,0.75,7,5,5,81,55,305,81,50,50,80,2,250,10,-5,-255,-1,255.051,4.335,11.618,48,48,,3,2,1,0,0,0,26.0,20.0,-987.0,64,67,83,70,-19.04,309
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T15:02:25.797,27.38,0.856,0.856,7,5,5,81,55,305,81,50,50,80,2,250,10,-5,-255,-1,255.051,4.474,12.265,48,48,,2,2,0,0,0,0,89.0,2.0,-999.0,64,67,82,70,-18.89,309
20260525_150158,diamond_50_tail_lv2_new_002,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T15:02:25.904,27.487,0.963,0.963,7,5,5,81,55,305,81,50,50,80,2,250,10,-5,-255,-1,255.051,4.102,9.893,48,48,,3,2,1,-1,0,0,53.0,6.0,-1014.0,64,67,81,70,-19.11,309
