run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260621_185837,diamond_75_head_lv2_new_001,diamond,head wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T18:58:56.503,18.713,0.0,0.0,5,5,-4,81,80,371,81,75,75,80,1,300,10,-5,-296,-1,296.044,6.73,19.614,71,71,,27,1,0,0,0,0,17.0,2.0,-1003.0,62,65,83,70,-82.47,85
20260621_185837,diamond_75_head_lv2_new_001,diamond,head wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T18:58:56.607,18.817,0.104,0.104,5,5,-4,81,80,371,81,75,75,80,1,300,10,-5,-296,-1,296.044,6.73,19.614,71,71,,27,1,0,0,0,0,36.0,-2.0,-973.0,62,65,83,70,-82.41,85
20260621_185837,diamond_75_head_lv2_new_001,diamond,head wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T18:58:56.715,18.925,0.212,0.212,5,5,-4,81,80,371,81,75,75,80,1,300,10,-5,-296,-1,296.044,7.012,19.02,71,71,,27,2,0,0,0,0,28.0,-11.0,-1013.0,62,65,83,70,-82.49,85
20260621_185837,diamond_75_head_lv2_new_001,diamond,head wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T18:58:56.823,19.033,0.321,0.321,5,5,-4,81,80,371,81,75,75,80,1,300,10,-5,-296,-1,296.044,7.946,24.721,71,71,,26,2,0,0,0,0,48.0,-18.0,-984.0,62,65,83,70,-82.51,85
20260621_185837,diamond_75_head_lv2_new_001,diamond,head wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T18:58:56.929,19.139,0.426,0.426,5,5,-3,81,80,372,81,75,75,80,1,300,10,-5,-297,-1,297.044,7.965,24.721,71,71,,26,2,0,0,0,0,61.0,-23.0,-1012.0,62,65,84,70,-82.56,85
20260621_185837,diamond_75_head_lv2_new_001,diamond,head wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T18:58:57.035,19.245,0.532,0.532,5,5,-3,81,80,372,81,75,75,80,1,300,10,-5,-297,-1,297.044,7.502,28.169,71,71,,26,2,0,0,0,0,7.0,5.0,-997.0,62,65,85,70,-82.49,85
20260621_185837,diamond_75_head_lv2_new_001,diamond,head wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T18:58:57.141,19.351,0.638,0.638,5,5,-3,81,80,372,81,75,75,80,1,300,10,-5,-297,-1,297.044,7.502,28.169,71,71,,26,2,0,0,0,0,20.0,-15.0,-995.0,62,65,86,70,-82.56,85
20260621_185837,diamond_75_head_lv2_new_001,diamond,head wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T18:58:57.248,19.458,0.746,0.746,5,5,-3,81,80,372,81,75,75,80,1,300,10,-5,-297,-1,297.044,6.108,21.213,71,71,,26,2,0,0,0,0,25.0,-11.0,-997.0,62,65,87,70,-82.46,85
20260621_185837,diamond_75_head_lv2_new_001,diamond,head wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T18:58:57.354,19.564,0.851,0.851,5,8,-4,81,83,371,81,75,75,80,1,300,10,-8,-296,-1,296.11,5.644,21.213,71,71,,26,1,0,0,0,0,11.0,3.0,-1009.0,62,65,86,70,-82.5,86
20260621_185837,diamond_75_head_lv2_new_001,diamond,head wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T18:58:57.458,19.668,0.955,0.955,5,8,-4,81,83,371,81,75,75,80,1,300,10,-8,-296,-1,296.11,6.517,23.307,71,71,,26,1,0,0,0,0,23.0,-12.0,-982.0,62,65,86,70,-82.51,86
20260621_185837,diamond_75_head_lv2_new_001,diamond,head wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T18:58:57.566,19.776,1.063,1.063,5,8,-4,81,83,371,81,75,75,80,1,300,10,-8,-296,-1,296.11,6.301,22.579,71,71,,26,0,0,0,0,0,25.0,-11.0,-992.0,62,65,87,70,-82.49,86
20260621_185837,diamond_75_head_lv2_new_001,diamond,head wind,Level2,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T18:58:57.673,19.883,1.171,1.171,5,5,-4,84,80,371,84,75,75,80,1,300,10,-5,-296,-4,296.069,5.712,22.579,71,71,,25,0,0,0,0,0,-2.0,28.0,-1013.0,62,65,86,70,-82.37,86
