run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_logging,2026-06-20T22:52:10.946,20.541,0.0,0.0,2,-11,-2,83,139,-2,83,150,300,80,6,300,10,11,302,-3,302.215,7.984,14.172,73,73,,11,0,1,0,0,0,-14.0,-5.0,-994.0,63,66,86,70,-63.45,142
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_4,2026-06-20T22:52:10.946,20.541,0.0,0.0,2,2,2,82,77,77,82,75,375,80,6,300,10,-2,298,-2,298.013,7.984,14.172,73,73,,-11,0,0,0,0,0,22.0,-12.0,-1029.0,65,67,83,70,-62.67,153
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-20T22:52:10.946,20.541,0.0,0.0,3,-13,12,84,137,87,84,150,375,80,7,300,10,13,288,-4,288.321,7.984,14.172,72,72,,2,0,1,0,0,0,-26.0,-12.0,-1023.0,63,65,78,70,-62.84,77
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:52:10.946,20.541,0.0,0.0,4,0,0,85,225,75,85,225,375,80,8,300,10,0,300,-5,300.042,7.984,14.172,73,73,,30,0,0,0,0,0,6.0,15.0,-1019.0,58,61,84,70,-62.25,130
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_4,2026-06-20T22:52:10.946,20.541,0.0,0.0,4,-3,7,84,147,157,84,150,450,80,8,300,10,3,293,-4,293.043,7.984,14.172,74,74,,25,0,0,0,0,0,41.0,-19.0,-1051.0,60,62,82,70,-63.51,156
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-20T22:52:11.054,20.649,0.108,0.108,2,-11,-2,85,139,-2,85,150,300,80,6,300,10,11,302,-5,302.242,8.002,14.172,73,73,,11,0,0,0,0,0,0.0,-2.0,-1013.0,63,66,86,70,-63.56,142
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_4,2026-06-20T22:52:11.054,20.649,0.108,0.108,2,2,2,82,77,77,82,75,375,80,6,300,10,-2,298,-2,298.013,8.002,14.172,73,73,,-11,0,0,0,0,0,0.0,-16.0,-982.0,65,67,84,70,-62.61,153
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-20T22:52:11.054,20.649,0.108,0.108,3,-13,12,84,137,87,84,150,375,80,7,300,10,13,288,-4,288.321,8.002,14.172,72,72,,2,0,1,0,0,0,-26.0,-5.0,-966.0,63,65,78,70,-62.83,77
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:52:11.054,20.649,0.108,0.108,4,0,-1,86,225,74,86,225,375,80,8,300,10,0,301,-6,301.06,8.002,14.172,73,73,,30,0,0,0,0,0,16.0,-10.0,-976.0,58,61,84,70,-62.25,130
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_4,2026-06-20T22:52:11.054,20.649,0.108,0.108,4,-3,7,84,147,157,84,150,450,80,8,300,10,3,293,-4,293.043,8.002,14.172,74,74,,25,0,0,0,0,0,1.0,-18.0,-1029.0,60,62,82,70,-63.49,156
