run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260620_225347,diamond_75_side_lv1_new_002,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:54:08.038,20.743,0.0,0.0,4,0,-6,85,225,69,85,225,375,80,8,300,10,0,306,-5,306.041,4.261,7.993,65,65,,27,0,-1,0,0,0,12.0,4.0,-1002.0,60,62,82,60,-62.16,202
20260620_225347,diamond_75_side_lv1_new_002,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:54:08.147,20.853,0.11,0.11,4,0,-6,85,225,69,85,225,375,80,8,300,10,0,306,-5,306.041,4.682,7.993,65,65,,26,0,0,0,0,0,23.0,3.0,-983.0,60,62,82,60,-62.13,202
20260620_225347,diamond_75_side_lv1_new_002,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:54:08.255,20.961,0.218,0.218,4,0,-6,85,225,69,85,225,375,80,8,300,10,0,306,-5,306.041,5.157,10.0,65,65,,26,0,0,0,0,0,14.0,-13.0,-1016.0,60,62,82,60,-62.1,202
20260620_225347,diamond_75_side_lv1_new_002,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:54:08.360,21.065,0.322,0.322,4,-1,-5,85,224,70,85,225,375,80,8,300,10,1,305,-5,305.043,5.009,10.0,65,65,,26,1,0,0,0,0,-2.0,0.0,-994.0,60,62,83,60,-62.14,203
20260620_225347,diamond_75_side_lv1_new_002,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:54:08.464,21.17,0.427,0.427,4,-1,-5,85,224,70,85,225,375,80,8,300,10,1,305,-5,305.043,5.213,8.97,65,65,,26,1,0,0,0,0,2.0,0.0,-1000.0,60,62,83,60,-62.09,203
20260620_225347,diamond_75_side_lv1_new_002,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:54:08.568,21.274,0.53,0.53,4,-1,-5,85,224,70,85,225,375,80,8,300,10,1,305,-5,305.043,5.088,9.066,65,65,,26,1,0,0,0,0,17.0,-2.0,-977.0,60,62,83,60,-62.11,203
20260620_225347,diamond_75_side_lv1_new_002,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:54:08.675,21.381,0.638,0.638,4,-2,-6,85,223,69,85,225,375,80,8,300,10,2,306,-5,306.047,4.894,8.932,65,65,,26,1,0,0,0,0,29.0,0.0,-997.0,60,62,83,60,-62.13,203
20260620_225347,diamond_75_side_lv1_new_002,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:54:08.778,21.484,0.741,0.741,4,-2,-6,85,223,69,85,225,375,80,8,300,10,2,306,-5,306.047,4.89,9.969,65,65,,26,1,0,0,0,0,37.0,-4.0,-1023.0,60,62,83,60,-62.11,203
20260620_225347,diamond_75_side_lv1_new_002,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:54:08.882,21.587,0.844,0.844,4,-2,-6,85,223,69,85,225,375,80,8,300,10,2,306,-5,306.047,4.603,9.969,65,65,,26,0,0,0,0,0,64.0,-32.0,-991.0,60,63,83,60,-62.14,203
20260620_225347,diamond_75_side_lv1_new_002,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:54:08.985,21.691,0.947,0.947,4,-2,-6,85,223,69,85,225,375,80,8,300,10,2,306,-5,306.047,4.603,9.969,65,65,,27,1,0,0,0,0,9.0,2.0,-962.0,60,63,83,60,-62.03,203
