run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:23.767,19.18,0.0,0.0,4,-4,14,88,221,89,88,225,375,80,8,300,10,4,286,-8,286.14,7.858,15.688,57,57,,65,0,0,0,0,0,-18.0,-8.0,-1002.0,62,64,86,90,-62.01,57
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:23.878,19.291,0.111,0.111,4,-3,13,87,222,88,87,225,375,80,8,300,10,3,287,-7,287.101,8.376,15.63,57,57,,65,0,0,0,0,0,3.0,-8.0,-989.0,62,64,86,90,-61.93,57
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:24.009,19.423,0.242,0.242,4,-3,13,87,222,88,87,225,375,80,8,300,10,3,287,-7,287.101,8.376,15.63,57,57,,65,0,0,0,0,0,3.0,-8.0,-989.0,62,64,86,90,-61.93,57
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:24.122,19.536,0.356,0.356,4,-3,13,87,222,88,87,225,375,80,8,300,10,3,287,-7,287.101,8.553,15.63,57,57,,65,1,0,0,0,0,-11.0,0.0,-999.0,62,64,85,90,-61.99,57
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:24.230,19.643,0.463,0.463,4,-3,13,87,222,88,87,225,375,80,8,300,10,3,287,-7,287.101,8.553,15.63,57,57,,65,1,0,0,0,0,6.0,-7.0,-995.0,62,64,85,90,-61.95,58
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:24.336,19.75,0.57,0.57,4,-2,13,87,223,88,87,225,375,80,8,300,10,2,287,-7,287.092,9.869,16.315,57,57,,65,0,0,0,0,0,26.0,-11.0,-997.0,62,64,85,90,-62.02,58
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:24.442,19.856,0.676,0.676,4,-2,13,87,223,88,87,225,375,80,8,300,10,2,287,-7,287.092,9.869,16.315,57,57,,65,0,0,0,0,0,26.0,-11.0,-997.0,62,64,85,90,-62.02,58
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:24.548,19.961,0.781,0.781,4,-2,13,87,223,88,87,225,375,80,8,300,10,2,287,-7,287.092,10.013,16.282,57,57,,65,0,0,0,0,0,-6.0,-11.0,-987.0,62,64,85,90,-62.03,58
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:24.650,20.063,0.883,0.883,4,-3,14,87,222,89,87,225,375,80,8,300,10,3,286,-7,286.101,10.466,16.315,57,57,,65,0,0,0,0,0,10.0,-9.0,-985.0,62,64,85,90,-62.02,58
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:24.759,20.173,0.993,0.993,4,-3,14,87,222,89,87,225,375,80,8,300,10,3,286,-7,286.101,9.853,16.315,57,57,,65,0,0,0,0,0,-10.0,-9.0,-995.0,62,64,85,90,-62.01,58
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:24.874,20.287,1.107,1.107,4,-3,14,87,222,89,87,225,375,80,8,300,10,3,286,-7,286.101,9.853,16.315,57,57,,65,0,0,0,0,0,23.0,-16.0,-1008.0,62,64,85,90,-62.04,58
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:24.984,20.397,1.217,1.217,4,-2,12,87,223,87,87,225,375,80,8,300,10,2,288,-7,288.092,8.898,16.127,57,57,,65,0,0,0,0,0,14.0,2.0,-1005.0,62,64,85,90,-62.01,58
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:25.102,20.515,1.335,1.335,4,-2,12,87,223,87,87,225,375,80,8,300,10,2,288,-7,288.092,9.514,16.127,57,57,,65,0,0,0,0,0,19.0,-11.0,-970.0,62,64,86,90,-62.0,58
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:25.214,20.627,1.447,1.447,4,-2,12,87,223,87,87,225,375,80,8,300,10,2,288,-7,288.092,9.514,16.127,57,57,,65,-1,0,0,0,0,-16.0,-3.0,-982.0,62,64,84,90,-62.07,59
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:25.319,20.733,1.552,1.552,4,-2,12,87,223,87,87,225,375,80,8,300,10,2,288,-7,288.092,9.634,16.265,57,57,,65,0,0,0,0,0,10.0,-16.0,-988.0,62,64,84,90,-61.99,59
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:25.425,20.838,1.658,1.658,4,-2,12,87,223,87,87,225,375,80,8,300,10,2,288,-7,288.092,9.247,17.336,57,57,,65,0,0,0,0,0,4.0,-21.0,-981.0,62,64,83,80,-62.05,59
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:25.531,20.944,1.764,1.764,4,-2,12,87,223,87,87,225,375,80,8,300,10,2,288,-7,288.092,9.213,17.336,57,57,,65,0,0,0,0,0,7.0,-15.0,-1010.0,62,64,83,80,-62.09,59
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:25.637,21.05,1.87,1.87,4,-2,12,87,223,87,87,225,375,80,8,300,10,2,288,-7,288.092,9.213,17.336,57,57,,65,0,0,0,0,0,-7.0,-7.0,-981.0,62,64,84,80,-62.02,59
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:25.743,21.156,1.976,1.976,4,0,13,86,225,88,86,225,375,80,8,300,10,0,287,-6,287.063,8.999,16.69,57,57,,65,0,0,0,-1,0,-12.0,-5.0,-999.0,62,64,83,80,-62.05,59
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:25.848,21.261,2.081,2.081,4,0,13,86,225,88,86,225,375,80,8,300,10,0,287,-6,287.063,9.13,16.265,57,57,,65,0,0,0,-1,0,-24.0,-8.0,-1001.0,62,64,83,80,-62.06,59
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:25.954,21.367,2.187,2.187,4,0,13,86,225,88,86,225,375,80,8,300,10,0,287,-6,287.063,9.261,16.971,57,57,,65,0,0,0,-1,0,-2.0,-16.0,-1004.0,62,64,82,80,-62.0,59
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:26.061,21.475,2.295,2.295,4,-2,21,83,223,96,83,225,375,80,8,300,10,2,279,-3,279.023,9.886,21.409,57,57,,65,0,0,0,-1,0,-15.0,-1.0,-997.0,62,64,82,80,-62.02,59
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:26.166,21.579,2.399,2.399,4,-2,21,83,223,96,83,225,375,80,8,300,10,2,279,-3,279.023,9.259,21.409,57,57,,65,0,0,0,-1,0,-29.0,-12.0,-1004.0,62,64,81,80,-62.04,60
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:26.274,21.688,2.508,2.508,4,-2,21,83,223,96,83,225,375,80,8,300,10,2,279,-3,279.023,11.09,21.409,57,57,,65,0,0,0,-1,0,2.0,-9.0,-986.0,62,64,81,80,-62.04,60
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:26.378,21.792,2.611,2.611,4,-2,21,83,223,96,83,225,375,80,8,300,10,2,279,-3,279.023,11.09,21.409,57,57,,65,0,0,0,0,0,-34.0,-9.0,-1020.0,62,64,81,80,-62.09,60
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:26.486,21.899,2.719,2.719,4,-1,29,81,224,104,81,225,375,80,8,300,10,1,271,-1,271.004,12.668,28.117,57,57,,65,0,0,0,0,0,-33.0,0.0,-1021.0,61,64,81,80,-62.12,60
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:26.588,22.002,2.821,2.821,4,-1,29,81,224,104,81,225,375,80,8,300,10,1,271,-1,271.004,12.668,28.117,57,57,,65,0,0,0,0,0,-12.0,-6.0,-981.0,61,64,80,80,-62.11,60
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:26.695,22.108,2.928,2.928,4,-1,29,81,224,104,81,225,375,80,8,300,10,1,271,-1,271.004,13.934,28.117,57,57,,65,0,0,0,0,0,-13.0,5.0,-987.0,61,64,80,80,-62.13,60
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:26.803,22.216,3.036,3.036,4,-1,29,81,224,104,81,225,375,80,8,300,10,1,271,-1,271.004,12.589,24.418,57,57,,65,0,0,0,-1,0,0.0,-2.0,-983.0,61,64,80,80,-62.14,60
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:26.908,22.321,3.141,3.141,4,-1,34,80,224,109,80,225,375,80,8,300,10,1,266,0,266.002,13.497,28.251,57,57,,65,0,0,0,-1,0,-21.0,5.0,-1006.0,61,64,79,80,-62.06,60
20260620_224104,diamond_75_tail_lv1_new_prepare,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-20T22:41:27.011,22.425,3.245,3.245,4,-1,34,80,224,109,80,225,375,80,8,300,10,1,266,0,266.002,15.658,28.251,57,57,,65,0,0,0,-1,0,-42.0,8.0,-1000.0,61,64,80,80,-62.11,60
