run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:54.454,17.894,0.0,0.0,3,-11,11,80,139,86,80,150,375,80,7,300,10,11,289,0,289.209,10.495,19.421,67,67,,-3,0,-2,0,0,0,47.0,-9.0,-1002.0,70,72,80,70,-74.67,166
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:54.560,18.0,0.107,0.107,3,-11,11,80,139,86,80,150,375,80,7,300,10,11,289,0,289.209,10.495,19.421,67,67,,-3,2,0,0,0,0,49.0,-11.0,-1022.0,70,72,80,70,-74.7,166
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:54.667,18.107,0.214,0.214,3,-11,11,80,139,86,80,150,375,80,7,300,10,11,289,0,289.209,9.936,19.421,67,67,,-3,3,2,0,0,0,46.0,8.0,-988.0,70,72,81,70,-74.81,166
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:54.772,18.212,0.319,0.319,3,-9,11,81,141,86,81,150,375,80,7,300,10,9,289,-1,289.142,11.635,27.549,67,67,,-3,3,1,0,0,0,69.0,-16.0,-1023.0,70,72,80,70,-74.73,166
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:54.879,18.319,0.425,0.425,3,-9,11,81,141,86,81,150,375,80,7,300,10,9,289,-1,289.142,11.524,27.549,67,67,,-3,3,1,0,0,0,69.0,-16.0,-1023.0,70,72,80,70,-74.73,166
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:54.987,18.427,0.533,0.533,3,-9,11,81,141,86,81,150,375,80,7,300,10,9,289,-1,289.142,11.524,27.549,67,67,,-3,4,0,0,0,0,31.0,5.0,-997.0,70,72,81,70,-74.69,167
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:55.093,18.533,0.639,0.639,3,-9,11,81,141,86,81,150,375,80,7,300,10,9,289,-1,289.142,11.667,27.549,67,67,,-3,4,0,0,0,0,32.0,9.0,-1007.0,70,72,80,70,-74.76,167
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:55.200,18.64,0.746,0.746,3,-13,16,80,137,91,80,150,375,80,7,300,10,13,284,0,284.297,12.306,23.648,67,67,,-3,3,0,0,0,0,47.0,-14.0,-967.0,70,72,79,70,-74.82,167
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:55.307,18.747,0.853,0.853,3,-13,16,80,137,91,80,150,375,80,7,300,10,13,284,0,284.297,12.478,23.648,67,67,,-3,2,0,0,0,0,74.0,-50.0,-1003.0,70,72,79,70,-74.76,167
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:55.413,18.853,0.959,0.959,3,-13,16,80,137,91,80,150,375,80,7,300,10,13,284,0,284.297,12.786,23.648,67,67,,-2,3,0,0,0,0,47.0,-31.0,-992.0,70,72,79,70,-74.75,167
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:55.517,18.957,1.063,1.063,3,-13,16,80,137,91,80,150,375,80,7,300,10,13,284,0,284.297,12.814,23.648,67,67,,-2,2,1,0,0,0,62.0,-22.0,-1006.0,70,72,78,70,-74.81,167
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:55.621,19.061,1.167,1.167,3,-15,19,79,135,94,79,150,375,80,7,300,10,15,281,1,281.402,17.035,35.188,67,67,,-2,4,3,0,0,0,71.0,-44.0,-988.0,70,72,77,70,-74.77,167
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:55.727,19.168,1.274,1.274,3,-15,19,79,135,94,79,150,375,80,7,300,10,15,281,1,281.402,17.035,35.188,67,67,,-2,4,2,0,0,0,50.0,-59.0,-1000.0,70,72,76,70,-74.75,167
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:55.834,19.274,1.38,1.38,3,-15,19,79,135,94,79,150,375,80,7,300,10,15,281,1,281.402,14.686,27.735,67,67,,-2,-1,0,0,0,0,55.0,-28.0,-988.0,70,72,75,70,-74.73,167
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:55.941,19.381,1.487,1.487,3,-15,16,78,135,91,78,150,375,80,7,300,10,15,284,2,284.403,14.172,27.957,67,67,,-2,0,2,0,0,0,58.0,-53.0,-945.0,69,72,74,70,-74.77,167
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:56.047,19.487,1.594,1.594,3,-15,16,78,135,91,78,150,375,80,7,300,10,15,284,2,284.403,14.172,27.957,67,67,,-2,1,2,-1,0,0,42.0,-55.0,-997.0,69,72,74,70,-74.74,168
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:56.150,19.59,1.697,1.697,3,-15,16,78,135,91,78,150,375,80,7,300,10,15,284,2,284.403,13.928,27.957,67,67,,-3,1,3,-1,0,0,12.0,-31.0,-1009.0,69,72,74,70,-74.76,168
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:56.257,19.697,1.803,1.803,3,-15,16,78,135,91,78,150,375,80,7,300,10,15,284,2,284.403,14.701,31.0,67,67,,-3,2,4,-1,0,0,38.0,-48.0,-1070.0,69,72,74,70,-74.8,168
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:56.361,19.801,1.908,1.908,3,-18,22,74,132,97,74,150,375,80,7,300,10,18,278,6,278.647,16.616,33.563,67,67,,-3,2,3,-1,0,0,23.0,-27.0,-1043.0,69,72,76,70,-74.73,168
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:56.468,19.908,2.014,2.014,3,-18,22,74,132,97,74,150,375,80,7,300,10,18,278,6,278.647,16.616,33.563,67,67,,-4,2,3,-1,0,0,27.0,-37.0,-995.0,69,72,76,70,-74.74,168
20260621_163336,diamond_75_tail_lv2_new_002,diamond,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T16:33:56.572,20.012,2.119,2.119,3,-18,22,74,132,97,74,150,375,80,7,300,10,18,278,6,278.647,16.399,33.563,67,67,,-4,2,2,-1,0,0,24.0,-18.0,-996.0,69,72,76,70,-74.81,168
