run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_1,192.168.0.101,B11,1,diamond_1,2,2,0,node_logging,2026-05-19T20:00:56.913,16.651,0.0,0.0,2,-8,23,81,92,23,81,100,250,80,7,250,10,8,227,-1,227.143,10.149,31.212,57,57,,5,3,-1,0,0,-1,42.0,0.0,-1051.0,69,71,75,60,47.97,111
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_5,2026-05-19T20:00:56.913,16.651,0.0,0.0,2,1,13,82,51,63,82,50,300,80,7,250,10,-1,237,-2,237.011,10.149,31.212,58,58,,1,0,0,0,0,0,5.0,5.0,-981.0,67,69,85,70,48.04,119
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_5,2026-05-19T20:00:56.913,16.651,0.0,0.0,3,0,-10,88,100,40,88,100,300,80,8,250,10,0,260,-8,260.123,10.149,31.212,69,69,,-6,-2,-1,0,0,0,-21.0,-11.0,-1065.0,70,73,61,70,48.1,127
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_5,2026-05-19T20:00:56.913,16.651,0.0,0.0,4,0,-1,85,150,49,85,150,300,80,1,250,10,0,251,-5,251.05,10.149,31.212,49,49,,0,0,1,0,0,0,-5.0,-7.0,-1001.0,64,67,83,80,48.46,135
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-19T20:00:56.913,16.651,0.0,0.0,4,-1,6,86,99,106,86,100,350,80,1,250,10,1,244,-6,244.076,10.149,31.212,60,60,,2,0,0,0,0,0,4.0,-24.0,-990.0,65,68,85,80,47.25,134
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_1,192.168.0.101,B11,1,diamond_1,2,2,0,node_segment_1_of_5,2026-05-19T20:00:57.021,16.759,0.108,0.108,2,-5,26,79,95,26,79,100,250,80,7,250,10,5,224,1,224.058,11.235,35.134,57,57,,5,3,-2,0,0,0,43.0,7.0,-1004.0,69,71,73,60,47.57,111
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_5,2026-05-19T20:00:57.021,16.759,0.108,0.108,2,1,13,82,51,63,82,50,300,80,7,250,10,-1,237,-2,237.011,11.235,35.134,58,58,,1,0,0,0,0,0,10.0,-18.0,-992.0,67,69,85,70,47.97,119
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_5,2026-05-19T20:00:57.021,16.759,0.108,0.108,3,0,-10,88,100,40,88,100,300,80,8,250,10,0,260,-8,260.123,11.235,35.134,69,69,,-6,-1,-1,0,0,0,-20.0,6.0,-1001.0,70,73,67,70,48.13,128
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_5,2026-05-19T20:00:57.021,16.759,0.108,0.108,4,0,-1,85,150,49,85,150,300,80,1,250,10,0,251,-5,251.05,11.235,35.134,49,49,,0,0,1,0,0,0,6.0,-21.0,-995.0,64,67,83,80,48.45,135
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-19T20:00:57.021,16.759,0.108,0.108,4,-1,6,86,99,106,86,100,350,80,1,250,10,1,244,-6,244.076,11.235,35.134,60,60,,1,0,0,0,0,0,14.0,-13.0,-988.0,65,68,86,80,47.24,134
