run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-19T20:00:56.913,16.651,0.0,0.0,4,-1,6,86,99,106,86,100,350,80,1,250,10,1,244,-6,244.076,10.149,31.212,60,60,,2,0,0,0,0,0,4.0,-24.0,-990.0,65,68,85,80,47.25,134
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-19T20:00:57.021,16.759,0.108,0.108,4,-1,6,86,99,106,86,100,350,80,1,250,10,1,244,-6,244.076,11.235,35.134,60,60,,1,0,0,0,0,0,14.0,-13.0,-988.0,65,68,86,80,47.24,134
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-19T20:00:57.127,16.865,0.214,0.214,4,-1,6,86,99,106,86,100,350,80,1,250,10,1,244,-6,244.076,11.873,35.578,60,60,,1,0,0,0,0,0,13.0,-11.0,-977.0,65,67,86,80,47.24,134
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-19T20:00:57.235,16.973,0.322,0.322,4,-1,6,86,99,106,86,100,350,80,1,250,10,1,244,-6,244.076,11.94,35.578,60,60,,1,0,0,0,0,0,9.0,-16.0,-965.0,65,67,85,80,47.34,134
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-19T20:00:57.343,17.08,0.43,0.43,4,-1,5,87,99,105,87,100,350,80,1,250,10,1,245,-7,245.102,11.934,35.578,60,60,,1,-1,0,0,0,0,10.0,-4.0,-979.0,65,67,85,80,47.3,134
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-19T20:00:57.449,17.187,0.536,0.536,4,-1,5,87,99,105,87,100,350,80,1,250,10,1,245,-7,245.102,11.034,33.875,60,60,,1,-1,0,0,0,0,0.0,2.0,-992.0,65,67,85,80,47.32,135
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-19T20:00:57.555,17.293,0.642,0.642,4,-1,5,87,99,105,87,100,350,80,1,250,10,1,245,-7,245.102,11.273,35.0,60,60,,1,0,0,0,0,0,-11.0,-10.0,-1008.0,65,67,84,80,47.28,135
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-19T20:00:57.662,17.399,0.749,0.749,4,-1,5,87,99,105,87,100,350,80,1,250,10,1,245,-7,245.102,11.21,35.0,60,60,,1,0,1,0,0,0,-9.0,-12.0,-1019.0,65,67,84,80,47.29,135
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-19T20:00:57.766,17.503,0.853,0.853,4,0,7,87,100,107,87,100,350,80,1,250,10,0,243,-7,243.101,11.082,35.0,60,60,,1,0,1,0,0,0,-4.0,-6.0,-1004.0,65,67,83,80,47.31,135
20260519_200040,diamond_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-19T20:00:57.874,17.612,0.961,0.961,4,0,7,87,100,107,87,100,350,80,1,250,10,0,243,-7,243.101,11.525,35.44,60,60,,1,0,0,-1,0,0,-7.0,3.0,-1006.0,65,67,83,80,47.26,135
