run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:40.050,21.085,0.0,0.0,8,9,0,87,109,300,87,100,50,80,3,250,10,-9,-250,-7,250.26,10.209,21.67,91,91,,0,2,2,0,0,0,14.0,-28.0,-971.0,58,61,84,70,-70.46,14
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:40.156,21.191,0.106,0.106,8,9,0,87,109,300,87,100,50,80,3,250,10,-9,-250,-7,250.26,10.209,21.67,91,91,,0,1,2,0,0,0,31.0,-12.0,-1055.0,58,61,84,70,-70.49,15
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:40.264,21.299,0.214,0.214,8,9,0,87,109,300,87,100,50,80,3,250,10,-9,-250,-7,250.26,10.209,21.67,91,91,,0,1,1,0,0,0,18.0,0.0,-1024.0,58,61,84,70,-70.45,15
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:40.371,21.407,0.322,0.322,8,9,0,87,109,300,87,100,50,80,3,250,10,-9,-250,-7,250.26,10.0,20.69,91,91,,0,1,0,0,0,0,54.0,-37.0,-1030.0,58,61,84,70,-70.51,15
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:40.478,21.514,0.428,0.428,8,9,0,87,109,300,87,100,50,80,3,250,10,-9,-250,-7,250.26,10.45,19.944,91,91,,0,2,0,0,0,0,71.0,-41.0,-1031.0,58,61,85,70,-70.49,15
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:40.586,21.622,0.537,0.537,8,9,0,87,109,300,87,100,50,80,3,250,10,-9,-250,-7,250.26,10.45,19.944,91,91,,0,2,1,0,0,0,1.0,-28.0,-971.0,58,61,84,70,-70.48,15
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:40.691,21.727,0.642,0.642,8,9,0,87,109,300,87,100,50,80,3,250,10,-9,-250,-7,250.26,10.45,19.944,91,91,,0,2,2,0,0,0,26.0,-7.0,-967.0,58,61,85,70,-70.53,15
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:40.798,21.834,0.749,0.749,8,9,0,87,109,300,87,100,50,80,3,250,10,-9,-250,-7,250.26,11.398,21.942,91,91,,0,2,2,0,0,0,-15.0,-13.0,-985.0,58,61,85,70,-70.44,15
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:40.904,21.939,0.854,0.854,8,9,0,87,109,300,87,100,50,80,3,250,10,-9,-250,-7,250.26,10.655,20.491,91,91,,0,0,1,0,0,0,22.0,-21.0,-1012.0,58,61,84,70,-70.52,15
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:41.012,22.047,0.962,0.962,8,9,0,87,109,300,87,100,50,80,3,250,10,-9,-250,-7,250.26,10.655,20.491,91,91,,0,1,2,0,0,0,50.0,6.0,-1034.0,59,60,85,70,-70.56,15
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:41.120,22.155,1.07,1.07,8,14,-3,85,114,297,85,100,50,80,3,250,10,-14,-247,-5,247.447,10.426,21.304,91,91,,0,2,1,0,0,0,91.0,-23.0,-995.0,59,60,85,70,-70.51,16
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:41.227,22.262,1.177,1.177,8,14,-3,85,114,297,85,100,50,80,3,250,10,-14,-247,-5,247.447,11.705,22.909,91,91,,0,4,1,0,0,0,59.0,-1.0,-982.0,59,60,85,70,-70.43,16
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:41.336,22.371,1.286,1.286,8,14,-3,85,114,297,85,100,50,80,3,250,10,-14,-247,-5,247.447,11.705,22.909,91,91,,0,3,0,0,0,0,43.0,0.0,-968.0,59,60,86,70,-70.6,16
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:41.444,22.479,1.394,1.394,8,14,-3,85,114,297,85,100,50,80,3,250,10,-14,-247,-5,247.447,11.705,22.909,91,91,,0,3,0,0,0,0,-1.0,-7.0,-1008.0,59,60,86,70,-70.59,16
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:41.552,22.588,1.503,1.503,8,13,-2,85,113,298,85,100,50,80,3,250,10,-13,-248,-5,248.391,11.565,22.909,91,91,,0,2,0,0,0,0,10.0,15.0,-1000.0,59,60,86,70,-70.58,16
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:41.660,22.696,1.611,1.611,8,13,-2,85,113,298,85,100,50,80,3,250,10,-13,-248,-5,248.391,12.27,24.743,91,91,,0,1,0,0,0,0,36.0,1.0,-974.0,59,60,87,70,-70.67,16
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:41.769,22.804,1.719,1.719,8,13,-2,85,113,298,85,100,50,80,3,250,10,-13,-248,-5,248.391,11.677,24.743,90,91,,0,1,0,0,0,0,69.0,-7.0,-1009.0,59,60,87,70,-70.52,16
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:41.877,22.913,1.828,1.828,8,13,-2,85,113,298,85,100,50,80,3,250,10,-13,-248,-5,248.391,11.677,24.743,90,91,,0,2,0,0,0,0,47.0,-25.0,-982.0,59,60,86,70,-70.51,16
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:41.982,23.018,1.933,1.933,8,11,-2,87,111,298,87,100,50,80,3,250,10,-11,-248,-7,248.343,11.689,23.329,90,91,,0,2,1,0,0,0,49.0,-19.0,-955.0,59,61,86,70,-70.54,16
20260522_145618,diamond_tail_lv1_new_prepare,diamond,tail wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-22T14:56:42.087,23.122,2.037,2.037,8,11,-2,87,111,298,87,100,50,80,3,250,10,-11,-248,-7,248.343,14.958,35.102,90,91,,0,2,0,0,0,0,88.0,-47.0,-954.0,59,61,86,70,-70.48,16
