run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_1,192.168.0.101,B11,1,diamond_1,1,2,7,node_segment_1_of_5,2026-05-25T14:55:54.179,24.5,0.0,0.0,1,0,-11,82,100,339,82,100,100,80,4,250,10,0,-239,-2,239.008,11.851,23.335,75,75,,-4,2,0,0,0,0,16.0,14.0,-1005.0,63,66,82,70,-19.8,106
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T14:55:54.179,24.5,0.0,0.0,7,0,1,80,50,301,80,50,50,80,2,250,10,0,-251,0,251.0,11.851,23.335,76,76,,3,0,0,0,0,0,3.0,4.0,-1009.0,62,66,83,70,-19.08,114
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-25T14:55:54.179,24.5,0.0,0.0,8,6,3,80,106,303,80,100,50,80,3,250,10,-6,-253,0,253.071,11.851,23.335,74,74,,11,-1,0,0,0,0,-17.0,-35.0,-1003.0,64,66,78,70,-19.39,78
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_4,192.168.0.106,B14,4,diamond_4,1,3,6,node_segment_1_of_5,2026-05-25T14:55:54.179,24.5,0.0,0.0,1,-5,2,87,145,302,87,150,50,80,4,250,10,5,-252,-7,252.147,11.851,23.335,76,76,,8,0,0,0,0,0,-16.0,11.0,-996.0,59,62,84,80,-18.65,114
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-25T14:55:54.179,24.5,0.0,0.0,6,-1,30,84,99,230,84,100,0,80,2,250,10,1,-230,-4,230.037,11.851,23.335,75,75,,11,1,0,0,0,0,51.0,22.0,-1045.0,60,63,81,50,-19.87,110
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_1,192.168.0.101,B11,1,diamond_1,1,2,7,node_segment_1_of_5,2026-05-25T14:55:54.285,24.606,0.107,0.107,1,0,-13,83,100,337,83,100,100,80,4,250,10,0,-237,-3,237.019,8.367,15.475,75,75,,-4,2,0,0,0,0,36.0,-8.0,-990.0,63,66,82,70,-19.81,106
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T14:55:54.285,24.606,0.107,0.107,7,1,-2,81,51,298,81,50,50,80,2,250,10,-1,-248,-1,248.004,8.367,15.475,76,76,,3,0,0,0,0,0,5.0,-24.0,-1001.0,62,66,83,70,-18.99,114
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-25T14:55:54.285,24.606,0.107,0.107,8,6,3,80,106,303,80,100,50,80,3,250,10,-6,-253,0,253.071,8.367,15.475,74,74,,11,-1,0,0,0,0,-13.0,0.0,-952.0,64,66,79,70,-19.36,78
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_4,192.168.0.106,B14,4,diamond_4,1,3,6,node_segment_1_of_5,2026-05-25T14:55:54.285,24.606,0.107,0.107,1,-5,2,87,145,302,87,150,50,80,4,250,10,5,-252,-7,252.147,8.367,15.475,76,76,,8,0,0,0,0,0,-32.0,8.0,-982.0,59,62,84,80,-18.65,114
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-25T14:55:54.285,24.606,0.107,0.107,7,0,-8,84,100,242,84,100,0,80,2,250,10,0,-242,-4,242.033,8.367,15.475,75,75,,11,1,0,0,0,0,39.0,0.0,-1023.0,60,63,81,50,-19.75,110
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_1,192.168.0.101,B11,1,diamond_1,1,2,7,node_segment_1_of_5,2026-05-25T14:55:54.393,24.714,0.214,0.214,1,0,-13,83,100,337,83,100,100,80,4,250,10,0,-237,-3,237.019,8.367,15.475,75,75,,-4,2,0,0,0,0,5.0,10.0,-982.0,63,66,83,70,-19.85,107
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T14:55:54.393,24.714,0.214,0.214,7,1,-2,81,51,298,81,50,50,80,2,250,10,-1,-248,-1,248.004,8.367,15.475,76,76,,2,0,1,0,0,0,17.0,-13.0,-1006.0,62,65,82,70,-19.15,114
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-25T14:55:54.393,24.714,0.214,0.214,8,6,3,80,106,303,80,100,50,80,3,250,10,-6,-253,0,253.071,8.367,15.475,74,74,,11,-1,0,0,0,0,-5.0,12.0,-972.0,64,66,80,70,-19.36,78
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_4,192.168.0.106,B14,4,diamond_4,1,3,6,node_segment_1_of_5,2026-05-25T14:55:54.393,24.714,0.214,0.214,1,-5,2,87,145,302,87,150,50,80,4,250,10,5,-252,-7,252.147,8.367,15.475,76,76,,8,0,0,0,0,0,-20.0,6.0,-987.0,59,62,85,80,-18.71,114
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-25T14:55:54.393,24.714,0.214,0.214,7,0,-8,84,100,242,84,100,0,80,2,250,10,0,-242,-4,242.033,8.367,15.475,75,75,,12,1,0,0,0,0,47.0,13.0,-1025.0,60,63,81,50,-19.85,111
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_1,192.168.0.101,B11,1,diamond_1,1,2,7,node_segment_1_of_5,2026-05-25T14:55:54.502,24.822,0.323,0.323,1,0,-13,83,100,337,83,100,100,80,4,250,10,0,-237,-3,237.019,7.142,15.475,75,75,,-4,2,0,0,0,0,10.0,48.0,-1045.0,63,67,83,70,-19.81,107
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T14:55:54.502,24.822,0.323,0.323,7,1,-2,81,51,298,81,50,50,80,2,250,10,-1,-248,-1,248.004,7.142,15.475,76,76,,2,0,1,0,0,0,-13.0,-8.0,-1007.0,62,65,81,70,-19.1,114
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-25T14:55:54.502,24.822,0.323,0.323,8,6,3,80,106,303,80,100,50,80,3,250,10,-6,-253,0,253.071,7.142,15.475,74,74,,11,-1,1,0,0,0,-5.0,-5.0,-1037.0,64,66,80,70,-19.37,78
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_4,192.168.0.106,B14,4,diamond_4,1,3,6,node_segment_1_of_5,2026-05-25T14:55:54.502,24.822,0.323,0.323,1,0,1,87,150,301,87,150,50,80,4,250,10,0,-251,-7,251.098,7.142,15.475,76,76,,8,-1,0,0,0,0,9.0,-2.0,-1012.0,59,62,84,80,-18.69,115
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_5,192.168.0.107,B15,5,diamond_5,7,2,5,node_segment_1_of_5,2026-05-25T14:55:54.502,24.822,0.323,0.323,7,0,-8,84,100,242,84,100,0,80,2,250,10,0,-242,-4,242.033,7.142,15.475,75,75,,12,2,0,0,0,0,43.0,-8.0,-1003.0,60,63,82,50,-19.78,111
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_1,192.168.0.101,B11,1,diamond_1,1,2,7,node_segment_1_of_5,2026-05-25T14:55:54.608,24.929,0.43,0.43,1,0,-14,85,100,336,85,100,100,80,4,250,10,0,-236,-5,236.053,9.823,26.913,75,75,,-4,2,0,0,0,0,32.0,-11.0,-1022.0,63,67,82,70,-19.81,107
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_2,192.168.0.109,B10,2,diamond_2,7,1,6,node_segment_1_of_5,2026-05-25T14:55:54.608,24.929,0.43,0.43,7,1,-2,81,51,298,81,50,50,80,2,250,10,-1,-248,-1,248.004,9.823,26.913,76,76,,2,-2,0,0,0,0,15.0,-22.0,-992.0,62,65,80,70,-19.1,114
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_3,192.168.0.103,B13,3,diamond_3,8,2,6,node_segment_1_of_5,2026-05-25T14:55:54.608,24.929,0.43,0.43,1,7,-36,84,107,314,84,100,50,80,3,250,10,-7,-264,-4,264.123,9.823,26.913,74,74,,11,-2,0,0,0,0,-5.0,-17.0,-972.0,64,66,79,70,-19.34,79
20260525_145529,diamond_tail_lv2_new_001,diamond,tail wind,Level2,drone_4,192.168.0.106,B14,4,diamond_4,1,3,6,node_segment_1_of_5,2026-05-25T14:55:54.608,24.929,0.43,0.43,1,0,1,87,150,301,87,150,50,80,4,250,10,0,-251,-7,251.098,9.823,26.913,76,76,,8,-2,0,0,0,0,-12.0,10.0,-988.0,59,61,83,80,-18.69,115
