run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260623_175752,echalon_50_head_no_wind_new_001,echalon,head wind,no wind,50,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-23T17:58:12.811,20.096,0.0,0.0,2,6,-9,87,218.13203435596427,241.0,87,212.13203435596427,0.0,80,5,250,10,-6.0,-241.0,-7,241.176,11.64,22.119,47,47,,0,0,0,0,0,0,-12.0,4.0,-1005.0,61,64,85,80,-76.07,76
20260623_175752,echalon_50_head_no_wind_new_001,echalon,head wind,no wind,50,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-23T17:58:12.918,20.203,0.107,0.107,2,5,-11,87,217.13203435596427,239.0,87,212.13203435596427,0.0,80,5,250,10,-5.0,-239.0,-7,239.155,11.779,22.119,47,47,,0,0,0,0,0,0,-32.0,21.0,-1020.0,61,64,85,80,-76.15,77
20260623_175752,echalon_50_head_no_wind_new_001,echalon,head wind,no wind,50,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-23T17:58:13.027,20.312,0.216,0.216,2,5,-11,87,217.13203435596427,239.0,87,212.13203435596427,0.0,80,5,250,10,-5.0,-239.0,-7,239.155,12.073,22.871,47,47,,0,0,0,0,0,0,-4.0,-2.0,-958.0,61,64,85,80,-76.06,77
20260623_175752,echalon_50_head_no_wind_new_001,echalon,head wind,no wind,50,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-23T17:58:13.136,20.42,0.325,0.325,2,5,-11,87,217.13203435596427,239.0,87,212.13203435596427,0.0,80,5,250,10,-5.0,-239.0,-7,239.155,11.445,21.922,47,47,,0,-2,0,0,0,0,6.0,21.0,-994.0,61,64,84,80,-76.02,77
20260623_175752,echalon_50_head_no_wind_new_001,echalon,head wind,no wind,50,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-23T17:58:13.252,20.536,0.441,0.441,2,5,-11,87,217.13203435596427,239.0,87,212.13203435596427,0.0,80,5,250,10,-5.0,-239.0,-7,239.155,11.445,21.922,47,47,,0,-2,0,0,0,0,-36.0,-11.0,-965.0,61,64,84,80,-76.12,77
20260623_175752,echalon_50_head_no_wind_new_001,echalon,head wind,no wind,50,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-23T17:58:13.357,20.642,0.546,0.546,2,5,-8,87,217.13203435596427,242.0,87,212.13203435596427,0.0,80,5,250,10,-5.0,-242.0,-7,242.153,11.026,21.922,47,47,,0,-1,0,0,0,0,-3.0,-4.0,-1048.0,61,64,83,80,-76.08,77
20260623_175752,echalon_50_head_no_wind_new_001,echalon,head wind,no wind,50,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-23T17:58:13.468,20.753,0.658,0.658,2,5,-8,87,217.13203435596427,242.0,87,212.13203435596427,0.0,80,5,250,10,-5.0,-242.0,-7,242.153,11.011,21.922,47,47,,0,-1,0,0,0,0,-47.0,13.0,-972.0,61,64,83,80,-76.06,77
20260623_175752,echalon_50_head_no_wind_new_001,echalon,head wind,no wind,50,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-23T17:58:13.578,20.863,0.767,0.767,2,5,-8,87,217.13203435596427,242.0,87,212.13203435596427,0.0,80,5,250,10,-5.0,-242.0,-7,242.153,11.011,21.922,47,47,,0,-1,0,0,0,0,-27.0,-18.0,-1007.0,61,64,83,80,-76.15,77
20260623_175752,echalon_50_head_no_wind_new_001,echalon,head wind,no wind,50,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-23T17:58:13.685,20.97,0.874,0.874,2,5,-8,87,217.13203435596427,242.0,87,212.13203435596427,0.0,80,5,250,10,-5.0,-242.0,-7,242.153,11.011,21.922,47,47,,0,0,0,-1,0,0,34.0,-52.0,-977.0,61,64,82,80,-76.11,77
20260623_175752,echalon_50_head_no_wind_new_001,echalon,head wind,no wind,50,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-23T17:58:13.800,21.085,0.989,0.989,2,3,-7,87,215.13203435596427,243.0,87,212.13203435596427,0.0,80,5,250,10,-3.0,-243.0,-7,243.119,9.769,20.508,47,47,,0,0,0,-1,0,0,-2.0,3.0,-995.0,61,64,82,80,-76.13,77
