run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_logging,2026-06-23T20:03:39.060,166.419,0.0,0.0,1,-10,15,80,-10.0,227.13203435596427,80,0.0,462.13203435596427,80,6,250,10,10.0,235.0,0,235.213,10.072,21.735,74,74,,-11,1,3,0,0,0,14.0,-67.0,-975.0,61,63,78,70,-83.27,153
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T20:03:39.060,166.419,0.0,0.0,2,-6,5,80,43.49747468305833,167.63455967290594,80,49.49747468305833,412.63455967290594,80,7,250,10,6.0,245.0,0,245.073,10.072,21.735,75,75,,-22,1,3,0,0,0,0.0,-29.0,-991.0,61,64,81,60,-82.36,141
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T20:03:39.060,166.419,0.0,0.0,3,-10,-14,85,96.06601717798213,92.06601717798213,85,106.06601717798213,356.06601717798213,80,8,250,10,10.0,264.0,-5,264.237,10.072,21.735,72,72,,-1,0,0,0,0,0,25.0,9.0,-1018.0,61,63,81,70,-82.39,80
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T20:03:39.060,166.419,0.0,0.0,4,-2,-3,85,160.63455967290594,46.49747468305833,85,162.63455967290594,299.49747468305833,80,1,250,10,2.0,253.0,-5,253.057,10.072,21.735,74,74,,-9,1,0,0,0,0,10.0,-14.0,-967.0,57,59,83,70,-81.82,109
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T20:03:39.060,166.419,0.0,0.0,5,-2,11,83,210.13203435596427,11.0,83,212.13203435596427,250.0,80,2,250,10,2.0,239.0,-3,239.027,10.072,21.735,74,74,,3,1,1,0,0,0,4.0,-43.0,-981.0,59,61,80,80,-83.02,121
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T20:03:39.167,166.526,0.106,0.106,1,-11,13,80,-11.0,225.13203435596427,80,0.0,462.13203435596427,80,6,250,10,11.0,237.0,0,237.255,9.757,20.791,74,74,,-11,1,2,0,0,0,19.0,-19.0,-1025.0,61,63,77,60,-83.16,153
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T20:03:39.167,166.526,0.106,0.106,2,-5,4,80,44.49747468305833,166.63455967290594,80,49.49747468305833,412.63455967290594,80,7,250,10,5.0,246.0,0,246.051,9.757,20.791,75,75,,-23,0,3,0,0,0,-17.0,16.0,-1026.0,61,64,81,60,-82.3,141
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T20:03:39.167,166.526,0.106,0.106,3,-10,-14,85,96.06601717798213,92.06601717798213,85,106.06601717798213,356.06601717798213,80,8,250,10,10.0,264.0,-5,264.237,9.757,20.791,72,72,,-2,0,0,0,0,0,17.0,13.0,-1016.0,61,63,81,70,-82.33,80
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T20:03:39.167,166.526,0.106,0.106,4,-2,-3,85,160.63455967290594,46.49747468305833,85,162.63455967290594,299.49747468305833,80,1,250,10,2.0,253.0,-5,253.057,9.757,20.791,74,74,,-9,1,0,0,0,0,14.0,5.0,-999.0,57,60,82,70,-81.95,109
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T20:03:39.167,166.526,0.106,0.106,5,-2,11,83,210.13203435596427,11.0,83,212.13203435596427,250.0,80,2,250,10,2.0,239.0,-3,239.027,9.757,20.791,74,74,,3,0,1,1,0,0,-4.0,-14.0,-1017.0,59,61,80,80,-83.07,121
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T20:03:39.275,166.634,0.214,0.214,1,-11,13,80,-11.0,225.13203435596427,80,0.0,462.13203435596427,80,6,250,10,11.0,237.0,0,237.255,9.487,19.872,74,74,,-11,1,1,0,0,0,13.0,19.0,-1033.0,61,63,77,60,-83.11,153
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T20:03:39.275,166.634,0.214,0.214,2,-5,4,80,44.49747468305833,166.63455967290594,80,49.49747468305833,412.63455967290594,80,7,250,10,5.0,246.0,0,246.051,9.487,19.872,75,75,,-23,0,2,0,0,0,-7.0,9.0,-994.0,61,65,81,60,-82.25,141
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T20:03:39.275,166.634,0.214,0.214,3,-9,-12,83,97.06601717798213,94.06601717798213,83,106.06601717798213,356.06601717798213,80,8,250,10,9.0,262.0,-3,262.172,9.487,19.872,72,72,,-2,0,0,0,0,0,14.0,13.0,-983.0,61,63,81,70,-82.32,80
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T20:03:39.275,166.634,0.214,0.214,4,-2,-3,85,160.63455967290594,46.49747468305833,85,162.63455967290594,299.49747468305833,80,1,250,10,2.0,253.0,-5,253.057,9.487,19.872,74,74,,-9,0,0,0,0,0,28.0,-14.0,-1016.0,57,60,83,70,-81.85,109
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T20:03:39.275,166.634,0.214,0.214,5,-2,11,83,210.13203435596427,11.0,83,212.13203435596427,250.0,80,2,250,10,2.0,239.0,-3,239.027,9.487,19.872,74,74,,3,0,0,0,0,0,13.0,-9.0,-996.0,59,61,80,80,-82.99,121
20260623_200052,echalon_50_side_lv1_new_003,echalon,side wind,Level1,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T20:03:39.380,166.739,0.32,0.32,1,-11,13,80,-11.0,225.13203435596427,80,0.0,462.13203435596427,80,6,250,10,11.0,237.0,0,237.255,9.044,19.872,74,74,,-11,0,1,0,0,0,15.0,-6.0,-1038.0,61,63,77,60,-83.26,153
