run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260622_211505,echalon_50_tail_lv1_new_003,echalon,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_logging,2026-06-22T21:18:07.357,181.738,0.0,0.0,1,-9,3,82,-9.0,215.13203435596427,82,0.0,462.13203435596427,80,6,250,10,9.0,247.0,-2,247.172,6.084,12.776,75,75,,-118,0,0,0,0,0,-9.0,19.0,-1023.0,60,63,83,80,-73.76,159
20260622_211505,echalon_50_tail_lv1_new_003,echalon,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-22T21:18:07.357,181.738,0.0,0.0,2,2,-4,77,51.49747468305833,158.63455967290594,77,49.49747468305833,412.63455967290594,80,7,250,10,-2.0,254.0,3,254.026,6.084,12.776,74,74,,17,0,0,0,0,0,10.0,-20.0,-982.0,62,65,80,70,-72.9,147
20260622_211505,echalon_50_tail_lv1_new_003,echalon,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-22T21:18:07.357,181.738,0.0,0.0,3,-13,-9,81,93.06601717798213,97.06601717798213,81,106.06601717798213,356.06601717798213,80,8,250,10,13.0,259.0,-1,259.328,6.084,12.776,72,72,,-7,1,1,0,0,0,26.0,-13.0,-969.0,63,65,80,60,-73.09,79
20260622_211505,echalon_50_tail_lv1_new_003,echalon,tail wind,Level1,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-22T21:18:07.357,181.738,0.0,0.0,4,-3,-1,86,159.63455967290594,48.49747468305833,86,162.63455967290594,299.49747468305833,80,1,250,10,3.0,251.0,-6,251.09,6.084,12.776,73,73,,0,-1,0,0,0,0,-14.0,-18.0,-1018.0,58,60,84,70,-72.38,107
20260622_211505,echalon_50_tail_lv1_new_003,echalon,tail wind,Level1,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-22T21:18:07.357,181.738,0.0,0.0,5,3,1,86,215.13203435596427,1.0,86,212.13203435596427,250.0,80,2,250,10,-3.0,249.0,-6,249.09,6.084,12.776,73,73,,2,0,2,0,0,0,-6.0,-38.0,-999.0,59,62,83,70,-73.56,119
20260622_211505,echalon_50_tail_lv1_new_003,echalon,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-22T21:18:07.468,181.849,0.111,0.111,1,-9,3,82,-9.0,215.13203435596427,82,0.0,462.13203435596427,80,6,250,10,9.0,247.0,-2,247.172,6.084,12.776,75,75,,-118,0,0,0,0,0,6.0,-28.0,-1006.0,60,63,84,80,-73.76,159
20260622_211505,echalon_50_tail_lv1_new_003,echalon,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-22T21:18:07.468,181.849,0.111,0.111,2,2,-4,77,51.49747468305833,158.63455967290594,77,49.49747468305833,412.63455967290594,80,7,250,10,-2.0,254.0,3,254.026,6.084,12.776,74,74,,17,0,0,0,0,0,12.0,-14.0,-984.0,63,65,81,70,-72.93,147
20260622_211505,echalon_50_tail_lv1_new_003,echalon,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-22T21:18:07.468,181.849,0.111,0.111,3,-13,-9,81,93.06601717798213,97.06601717798213,81,106.06601717798213,356.06601717798213,80,8,250,10,13.0,259.0,-1,259.328,6.084,12.776,72,72,,-8,2,1,0,0,0,17.0,-4.0,-987.0,63,65,79,60,-73.04,79
20260622_211505,echalon_50_tail_lv1_new_003,echalon,tail wind,Level1,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-22T21:18:07.468,181.849,0.111,0.111,4,-3,-1,86,159.63455967290594,48.49747468305833,86,162.63455967290594,299.49747468305833,80,1,250,10,3.0,251.0,-6,251.09,6.084,12.776,73,73,,0,-1,0,0,0,0,7.0,-22.0,-1001.0,58,60,85,70,-72.49,107
20260622_211505,echalon_50_tail_lv1_new_003,echalon,tail wind,Level1,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-22T21:18:07.468,181.849,0.111,0.111,5,3,1,86,215.13203435596427,1.0,86,212.13203435596427,250.0,80,2,250,10,-3.0,249.0,-6,249.09,6.084,12.776,73,73,,2,0,2,0,0,0,-28.0,-23.0,-950.0,59,62,83,70,-73.5,119
20260622_211505,echalon_50_tail_lv1_new_003,echalon,tail wind,Level1,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-22T21:18:07.578,181.959,0.221,0.221,1,-9,3,82,-9.0,215.13203435596427,82,0.0,462.13203435596427,80,6,250,10,9.0,247.0,-2,247.172,6.084,12.776,75,75,,-118,0,0,0,0,0,-60.0,4.0,-994.0,60,63,85,80,-73.67,159
