run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260611_182612,echalon_75_head_lv1_new_002,echalon,head wind,Level1,75,drone_1,192.168.0.101,B11,1,echalon_1,6,0,5,node_logging,2026-06-11T18:26:32.905,20.607,0.0,0.0,6,11,-14,80,11.0,448.13203435596427,80,0.0,212.13203435596427,80,1,250,10,-11.0,-236.0,0,236.256,9.713,22.595,70,70,,-120,2,0,0,0,0,34.0,-5.0,-1035.0,61,64,77,70,-115.3,121
20260611_182612,echalon_75_head_lv1_new_002,echalon,head wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,7,1,5,node_segment_1_of_5,2026-06-11T18:26:32.905,20.607,0.0,0.0,7,5,3,78,54.49747468305833,415.63455967290594,78,49.49747468305833,162.63455967290594,80,2,250,10,-5.0,-253.0,2,253.057,9.713,22.595,67,67,,90,0,0,0,0,0,11.0,-10.0,-1002.0,63,65,79,70,-114.8,192
20260611_182612,echalon_75_head_lv1_new_002,echalon,head wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,8,2,5,node_segment_1_of_5,2026-06-11T18:26:32.905,20.607,0.0,0.0,8,2,0,83,108.06601717798213,356.06601717798213,83,106.06601717798213,106.06601717798213,80,3,250,10,-2.0,-250.0,-3,250.026,9.713,22.595,70,70,,-81,-1,0,0,0,0,2.0,8.0,-995.0,63,65,83,70,-114.89,133
20260611_182612,echalon_75_head_lv1_new_002,echalon,head wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,1,3,5,node_segment_1_of_5,2026-06-11T18:26:32.905,20.607,0.0,0.0,1,2,-5,89,164.63455967290594,294.49747468305833,89,162.63455967290594,49.49747468305833,80,4,250,10,-2.0,-245.0,-9,245.173,9.713,22.595,69,69,,177,-1,1,0,0,0,-38.0,-24.0,-1036.0,58,59,83,70,-114.39,136
20260611_182612,echalon_75_head_lv1_new_002,echalon,head wind,Level1,75,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-11T18:26:32.905,20.607,0.0,0.0,2,-2,5,73,210.13203435596427,255.0,73,212.13203435596427,0.0,80,5,250,10,2.0,-255.0,7,255.104,9.713,22.595,69,69,,-7,-3,0,0,0,0,-50.0,4.0,-1014.0,59,62,72,50,-115.73,165
20260611_182612,echalon_75_head_lv1_new_002,echalon,head wind,Level1,75,drone_1,192.168.0.101,B11,1,echalon_1,6,0,5,node_segment_1_of_5,2026-06-11T18:26:33.013,20.715,0.108,0.108,6,10,-14,79,10.0,448.13203435596427,79,0.0,212.13203435596427,80,1,250,10,-10.0,-236.0,1,236.214,8.853,21.876,70,70,,-120,2,0,0,0,0,30.0,-22.0,-984.0,61,64,77,70,-115.38,121
20260611_182612,echalon_75_head_lv1_new_002,echalon,head wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,7,1,5,node_segment_1_of_5,2026-06-11T18:26:33.013,20.715,0.108,0.108,7,5,3,78,54.49747468305833,415.63455967290594,78,49.49747468305833,162.63455967290594,80,2,250,10,-5.0,-253.0,2,253.057,8.853,21.876,67,67,,91,0,0,0,0,0,6.0,0.0,-992.0,63,65,80,70,-114.69,192
20260611_182612,echalon_75_head_lv1_new_002,echalon,head wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,8,2,5,node_segment_1_of_5,2026-06-11T18:26:33.013,20.715,0.108,0.108,8,2,0,83,108.06601717798213,356.06601717798213,83,106.06601717798213,106.06601717798213,80,3,250,10,-2.0,-250.0,-3,250.026,8.853,21.876,70,70,,-81,-1,0,0,0,0,-9.0,-16.0,-1077.0,63,65,83,70,-114.92,133
20260611_182612,echalon_75_head_lv1_new_002,echalon,head wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,1,3,5,node_segment_1_of_5,2026-06-11T18:26:33.013,20.715,0.108,0.108,1,0,-3,88,162.63455967290594,296.49747468305833,88,162.63455967290594,49.49747468305833,80,4,250,10,0.0,-247.0,-8,247.13,8.853,21.876,69,69,,177,-1,1,0,0,0,-33.0,-33.0,-1032.0,58,59,83,70,-114.34,137
20260611_182612,echalon_75_head_lv1_new_002,echalon,head wind,Level1,75,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-11T18:26:33.013,20.715,0.108,0.108,2,-2,5,73,210.13203435596427,255.0,73,212.13203435596427,0.0,80,5,250,10,2.0,-255.0,7,255.104,8.853,21.876,69,69,,-6,-2,0,0,0,0,-51.0,9.0,-978.0,59,62,73,50,-115.68,165
