run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260610_223247,echalon_75_tail_lv1_new_prepare,echalon,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,echalon_1,1,0,0,node_logging,2026-06-10T22:33:06.523,18.649,0.0,0.0,1,1,16,81,1.0,228.13203435596427,81,0.0,462.13203435596427,80,6,250,10,-1.0,234.0,-1,234.004,9.62,18.937,72,72,,-2,0,0,0,0,0,5.0,-12.0,-989.0,70,73,78,70,-94.05,149
20260610_223247,echalon_75_tail_lv1_new_prepare,echalon,tail wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-10T22:33:06.523,18.649,0.0,0.0,2,-2,7,80,47.49747468305833,169.63455967290594,80,49.49747468305833,412.63455967290594,80,7,250,10,2.0,243.0,0,243.008,9.62,18.937,55,55,,7,0,0,0,0,0,22.0,-21.0,-1015.0,69,71,81,60,-93.39,175
20260610_223247,echalon_75_tail_lv1_new_prepare,echalon,tail wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-10T22:33:06.523,18.649,0.0,0.0,3,-3,-4,85,103.06601717798213,102.06601717798213,85,106.06601717798213,356.06601717798213,80,8,250,10,3.0,254.0,-5,254.067,9.62,18.937,84,84,,-1,0,0,0,0,0,-7.0,2.0,-1007.0,66,67,84,70,-93.64,13
20260610_223247,echalon_75_tail_lv1_new_prepare,echalon,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-10T22:33:06.523,18.649,0.0,0.0,4,-1,19,83,161.63455967290594,68.49747468305833,83,162.63455967290594,299.49747468305833,80,1,250,10,1.0,231.0,-3,231.022,9.62,18.937,52,52,,-8,1,0,0,0,0,-2.0,5.0,-995.0,64,67,82,70,-93.12,165
20260610_223247,echalon_75_tail_lv1_new_prepare,echalon,tail wind,Level1,75,drone_5,192.168.0.107,B15,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-10T22:33:06.523,18.649,0.0,0.0,5,5,-1,83,217.13203435596427,-1.0,83,212.13203435596427,250.0,80,2,250,10,-5.0,251.0,-3,251.068,9.62,18.937,57,57,,9,0,0,0,0,0,46.0,-17.0,-1036.0,68,70,79,80,-94.37,190
20260610_223247,echalon_75_tail_lv1_new_prepare,echalon,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-10T22:33:06.632,18.758,0.109,0.109,1,1,16,81,1.0,228.13203435596427,81,0.0,462.13203435596427,80,6,250,10,-1.0,234.0,-1,234.004,9.897,18.937,72,72,,-2,0,0,0,0,0,-22.0,8.0,-1002.0,70,73,79,70,-94.1,149
20260610_223247,echalon_75_tail_lv1_new_prepare,echalon,tail wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-10T22:33:06.632,18.758,0.109,0.109,2,-2,7,80,47.49747468305833,169.63455967290594,80,49.49747468305833,412.63455967290594,80,7,250,10,2.0,243.0,0,243.008,9.897,18.937,55,55,,7,0,0,0,0,0,-4.0,-5.0,-1000.0,69,71,81,60,-93.38,175
20260610_223247,echalon_75_tail_lv1_new_prepare,echalon,tail wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-10T22:33:06.632,18.758,0.109,0.109,3,-2,-5,85,104.06601717798213,101.06601717798213,85,106.06601717798213,356.06601717798213,80,8,250,10,2.0,255.0,-5,255.057,9.897,18.937,84,84,,-1,0,0,0,0,0,-1.0,-5.0,-1003.0,66,67,84,70,-93.68,14
20260610_223247,echalon_75_tail_lv1_new_prepare,echalon,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-10T22:33:06.632,18.758,0.109,0.109,4,-1,19,83,161.63455967290594,68.49747468305833,83,162.63455967290594,299.49747468305833,80,1,250,10,1.0,231.0,-3,231.022,9.897,18.937,52,52,,-8,1,0,0,0,0,-16.0,0.0,-1010.0,64,67,82,70,-93.15,166
20260610_223247,echalon_75_tail_lv1_new_prepare,echalon,tail wind,Level1,75,drone_5,192.168.0.107,B15,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-10T22:33:06.632,18.758,0.109,0.109,5,5,-1,83,217.13203435596427,-1.0,83,212.13203435596427,250.0,80,2,250,10,-5.0,251.0,-3,251.068,9.897,18.937,57,57,,9,0,0,0,0,0,-5.0,-8.0,-1022.0,68,70,80,80,-94.34,190
