run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260829_162912,front_50_head_lv1_high_new_001,front,head wind,Level1,50,high,85,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:29:32.037,19.623,0.001,0.001,2,-5,0,85,-5,0,85,0,250,80,7,250,10,5,250,-5,250.1,7.908,16.976,81,81,,-12,0,0,0,0,0,-3.0,38.0,-1028.0,61,64,84,70,-98.07,56
20260829_162912,front_50_head_lv1_high_new_001,front,head wind,Level1,50,high,85,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:29:32.144,19.729,0.107,0.107,2,-6,0,85,-6,0,85,0,250,80,7,250,10,6,250,-5,250.122,7.158,15.008,81,81,,-12,0,0,0,0,0,18.0,9.0,-999.0,61,63,85,70,-98.07,56
20260829_162912,front_50_head_lv1_high_new_001,front,head wind,Level1,50,high,85,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:29:32.248,19.834,0.212,0.212,2,-6,0,85,-6,0,85,0,250,80,7,250,10,6,250,-5,250.122,3.664,6.17,81,81,,-12,0,0,0,0,0,11.0,-4.0,-961.0,61,63,84,70,-98.06,56
20260829_162912,front_50_head_lv1_high_new_001,front,head wind,Level1,50,high,85,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:29:32.353,19.938,0.316,0.316,2,-6,0,85,-6,0,85,0,250,80,7,250,10,6,250,-5,250.122,5.221,10.164,81,81,,-12,0,0,0,0,0,31.0,11.0,-988.0,61,63,84,70,-98.08,56
20260829_162912,front_50_head_lv1_high_new_001,front,head wind,Level1,50,high,85,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:29:32.456,20.042,0.42,0.42,2,-7,0,85,-7,0,85,0,250,80,7,250,10,7,250,-5,250.148,5.421,10.164,81,81,,-12,0,0,0,0,0,-2.0,22.0,-955.0,61,63,84,70,-98.07,56
20260829_162912,front_50_head_lv1_high_new_001,front,head wind,Level1,50,high,85,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:29:32.563,20.148,0.526,0.526,2,-7,0,85,-7,0,85,0,250,80,7,250,10,7,250,-5,250.148,5.433,10.164,81,81,,-12,0,0,0,0,0,-7.0,24.0,-1021.0,61,63,84,70,-98.07,56
20260829_162912,front_50_head_lv1_high_new_001,front,head wind,Level1,50,high,85,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:29:32.670,20.256,0.634,0.634,2,-7,0,85,-7,0,85,0,250,80,7,250,10,7,250,-5,250.148,5.447,10.407,81,81,,-12,0,0,0,0,0,-3.0,17.0,-978.0,61,63,83,70,-98.12,56
20260829_162912,front_50_head_lv1_high_new_001,front,head wind,Level1,50,high,85,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:29:32.777,20.362,0.74,0.74,2,-7,0,85,-7,0,85,0,250,80,7,250,10,7,250,-5,250.148,6.645,13.506,81,81,,-12,0,0,0,0,0,29.0,11.0,-1007.0,61,63,83,70,-98.08,57
20260829_162912,front_50_head_lv1_high_new_001,front,head wind,Level1,50,high,85,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:29:32.883,20.468,0.846,0.846,2,-7,0,85,-7,0,85,0,250,80,7,250,10,7,250,-5,250.148,6.645,13.506,81,81,,-12,0,0,0,0,0,-19.0,36.0,-994.0,61,63,82,70,-98.0,57
20260829_162912,front_50_head_lv1_high_new_001,front,head wind,Level1,50,high,85,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:29:32.986,20.571,0.949,0.949,2,-7,0,85,-7,0,85,0,250,80,7,250,10,7,250,-5,250.148,7.793,13.503,81,81,,-12,0,0,0,0,0,-13.0,-9.0,-1030.0,61,63,82,70,-98.12,57
20260829_162912,front_50_head_lv1_high_new_001,front,head wind,Level1,50,high,85,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:29:33.094,20.68,1.058,1.058,2,-7,0,85,-7,0,85,0,250,80,7,250,10,7,250,-5,250.148,7.793,13.503,81,81,,-12,0,0,0,0,0,-8.0,6.0,-960.0,61,64,82,70,-98.07,57
