run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260829_163524,front_50_head_lv1_low_new_001,front,head wind,Level1,50,low,30,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:39:18.629,234.48,0.0,0.0,6,-6,3,85,194,3,85,200,250,80,3,250,10,6,247,-5,247.123,4.941,10.706,29,29,,2,-2,0,0,0,0,-58.0,7.0,-1009.0,63,66,83,60,-98.03,334
20260829_163524,front_50_head_lv1_low_new_001,front,head wind,Level1,50,low,30,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:39:18.736,234.587,0.107,0.107,6,-6,3,85,194,3,85,200,250,80,3,250,10,6,247,-5,247.123,4.941,10.706,29,29,,2,-2,0,0,0,0,-55.0,-14.0,-1016.0,63,66,83,60,-98.05,335
20260829_163524,front_50_head_lv1_low_new_001,front,head wind,Level1,50,low,30,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:39:18.844,234.695,0.215,0.215,6,-6,3,85,194,3,85,200,250,80,3,250,10,6,247,-5,247.123,10.169,20.47,29,29,,2,-2,0,0,0,0,-41.0,-27.0,-1013.0,63,66,84,60,-98.01,335
20260829_163524,front_50_head_lv1_low_new_001,front,head wind,Level1,50,low,30,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:39:18.952,234.803,0.323,0.323,6,-6,3,85,194,3,85,200,250,80,3,250,10,6,247,-5,247.123,10.182,20.47,29,29,,2,-3,1,0,0,0,-40.0,6.0,-979.0,63,66,85,60,-97.93,335
20260829_163524,front_50_head_lv1_low_new_001,front,head wind,Level1,50,low,30,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:39:19.059,234.91,0.43,0.43,6,-6,3,85,194,3,85,200,250,80,3,250,10,6,247,-5,247.123,10.153,20.47,29,29,,1,-2,0,0,0,0,-71.0,2.0,-984.0,63,66,85,60,-98.0,335
20260829_163524,front_50_head_lv1_low_new_001,front,head wind,Level1,50,low,30,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:39:19.168,235.019,0.539,0.539,6,-6,3,85,194,3,85,200,250,80,3,250,10,6,247,-5,247.123,6.828,12.664,29,29,,1,-2,0,0,0,0,-54.0,-55.0,-966.0,63,66,86,60,-97.98,335
20260829_163524,front_50_head_lv1_low_new_001,front,head wind,Level1,50,low,30,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:39:19.272,235.123,0.643,0.643,6,-6,3,85,194,3,85,200,250,80,3,250,10,6,247,-5,247.123,6.828,12.664,29,29,,1,-3,1,0,0,0,-38.0,-20.0,-970.0,62,66,86,60,-98.06,335
20260829_163524,front_50_head_lv1_low_new_001,front,head wind,Level1,50,low,30,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:39:19.381,235.232,0.752,0.752,6,-6,3,85,194,3,85,200,250,80,3,250,10,6,247,-5,247.123,6.844,12.664,29,29,,1,-3,1,0,0,0,-35.0,-36.0,-998.0,62,66,86,60,-98.01,335
20260829_163524,front_50_head_lv1_low_new_001,front,head wind,Level1,50,low,30,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:39:19.488,235.339,0.859,0.859,6,-6,3,85,194,3,85,200,250,80,3,250,10,6,247,-5,247.123,6.844,12.664,29,29,,1,-3,0,0,0,0,-62.0,-31.0,-1004.0,62,66,86,60,-98.06,335
20260829_163524,front_50_head_lv1_low_new_001,front,head wind,Level1,50,low,30,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:39:19.595,235.446,0.966,0.966,6,-6,3,85,194,3,85,200,250,80,3,250,10,6,247,-5,247.123,5.258,11.167,29,29,,1,-3,1,0,0,0,-65.0,-24.0,-987.0,62,66,85,60,-98.05,335
20260829_163524,front_50_head_lv1_low_new_001,front,head wind,Level1,50,low,30,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:39:19.700,235.551,1.071,1.071,6,-6,3,85,194,3,85,200,250,80,3,250,10,6,247,-5,247.123,4.978,11.167,29,29,,1,-3,2,0,0,0,-74.0,-15.0,-998.0,62,66,85,60,-98.05,336
20260829_163524,front_50_head_lv1_low_new_001,front,head wind,Level1,50,low,30,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:39:19.809,235.66,1.18,1.18,6,-6,3,85,194,3,85,200,250,80,3,250,10,6,247,-5,247.123,5.17,11.167,29,29,,1,-4,3,0,0,0,-51.0,-35.0,-981.0,62,66,84,60,-98.09,336
