run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:43.924,19.356,0.001,0.001,2,-2,-8,86,-2,-8,86,0,250,80,7,250,10,2,258,-6,258.078,5.847,12.879,73,73,,-12,0,0,0,0,0,-31.0,2.0,-1005.0,65,68,84,70,-98.23,191
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_2,192.168.0.101,B10,2,front_2,3,1,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:43.924,19.356,0.001,0.001,3,1,1,83,51,1,83,50,250,80,8,250,10,-1,249,-3,249.02,5.847,12.879,73,73,,10,-1,0,0,0,0,-6.0,3.0,-971.0,64,66,84,70,-97.4,152
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:43.924,19.356,0.001,0.001,4,0,-2,83,100,-2,83,100,250,80,1,250,10,0,252,-3,252.018,5.847,12.879,66,66,,5,-3,-2,0,0,0,-47.0,-11.0,-1021.0,64,67,82,70,-97.82,73
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_4,192.168.0.103,B14,4,front_4,5,3,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:43.924,19.356,0.001,0.001,5,7,1,87,157,1,87,150,250,80,2,250,10,-7,249,-7,249.197,5.847,12.879,73,73,,7,-2,0,0,0,0,-42.0,-6.0,-986.0,60,62,84,40,-97.18,198
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:43.924,19.356,0.001,0.001,6,-6,4,84,194,4,84,200,250,80,3,250,10,6,246,-4,246.106,5.847,12.879,70,70,,6,-1,1,0,0,0,-44.0,25.0,-991.0,62,65,82,70,-98.22,166
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.032,19.464,0.109,0.109,2,-1,-6,86,-1,-6,86,0,250,80,7,250,10,1,256,-6,256.072,5.6,12.879,73,73,,-12,0,0,0,0,0,58.0,-17.0,-1030.0,65,68,84,70,-98.1,191
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_2,192.168.0.101,B10,2,front_2,3,1,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.032,19.464,0.109,0.109,3,1,0,83,51,0,83,50,250,80,8,250,10,-1,250,-3,250.02,5.6,12.879,73,73,,10,-1,0,0,0,0,-21.0,43.0,-978.0,64,66,83,70,-97.4,152
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.032,19.464,0.109,0.109,4,0,-2,83,100,-2,83,100,250,80,1,250,10,0,252,-3,252.018,5.6,12.879,66,66,,5,-3,-1,0,0,0,-70.0,42.0,-972.0,64,67,82,70,-97.8,73
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_4,192.168.0.103,B14,4,front_4,5,3,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.032,19.464,0.109,0.109,5,7,1,87,157,1,87,150,250,80,2,250,10,-7,249,-7,249.197,5.6,12.879,73,73,,7,-1,0,0,0,0,-24.0,-5.0,-1020.0,60,62,84,40,-97.2,198
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.032,19.464,0.109,0.109,6,-6,4,84,194,4,84,200,250,80,3,250,10,6,246,-4,246.106,5.6,12.879,70,70,,5,-1,0,0,0,0,-23.0,14.0,-947.0,62,65,83,70,-98.18,166
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.138,19.57,0.215,0.215,2,-1,-6,86,-1,-6,86,0,250,80,7,250,10,1,256,-6,256.072,5.6,12.879,73,73,,-12,0,0,0,0,0,-3.0,7.0,-983.0,65,68,84,70,-98.2,191
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_2,192.168.0.101,B10,2,front_2,3,1,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.138,19.57,0.215,0.215,3,1,0,83,51,0,83,50,250,80,8,250,10,-1,250,-3,250.02,5.6,12.879,73,73,,10,-1,0,0,0,0,31.0,1.0,-1004.0,64,66,83,70,-97.35,152
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.138,19.57,0.215,0.215,4,0,-2,83,100,-2,83,100,250,80,1,250,10,0,252,-3,252.018,5.6,12.879,66,66,,5,-4,-1,0,0,0,-61.0,-4.0,-967.0,64,67,81,70,-97.84,73
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_4,192.168.0.103,B14,4,front_4,5,3,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.138,19.57,0.215,0.215,5,7,1,87,157,1,87,150,250,80,2,250,10,-7,249,-7,249.197,5.6,12.879,73,73,,7,-1,1,0,0,0,-3.0,-2.0,-980.0,60,62,84,40,-97.1,198
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.138,19.57,0.215,0.215,6,-6,4,84,194,4,84,200,250,80,3,250,10,6,246,-4,246.106,5.6,12.879,70,70,,5,-1,0,0,0,0,6.0,3.0,-1039.0,62,65,84,70,-98.21,166
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.245,19.676,0.322,0.322,2,-1,-6,86,-1,-6,86,0,250,80,7,250,10,1,256,-6,256.072,5.571,12.879,73,73,,-12,0,0,0,0,0,68.0,-20.0,-945.0,65,68,83,70,-98.3,191
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_2,192.168.0.101,B10,2,front_2,3,1,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.245,19.676,0.322,0.322,3,1,0,83,51,0,83,50,250,80,8,250,10,-1,250,-3,250.02,5.571,12.879,73,73,,9,0,-1,0,0,0,-13.0,16.0,-1018.0,64,66,83,70,-97.47,152
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.245,19.676,0.322,0.322,4,0,-5,83,100,-5,83,100,250,80,1,250,10,0,255,-3,255.018,5.571,12.879,66,66,,5,-4,-1,0,0,0,-28.0,-9.0,-1016.0,64,67,81,70,-97.79,73
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_4,192.168.0.103,B14,4,front_4,5,3,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.245,19.676,0.322,0.322,5,7,1,87,157,1,87,150,250,80,2,250,10,-7,249,-7,249.197,5.571,12.879,73,73,,7,-1,0,0,0,0,-20.0,25.0,-1001.0,60,62,84,40,-97.2,198
20260829_163424,front_50_head_lv1_medium_new_001,front,head wind,Level1,50,medium,75,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-29T16:34:44.245,19.676,0.322,0.322,6,-6,4,84,194,4,84,200,250,80,3,250,10,6,246,-4,246.106,5.571,12.879,70,70,,5,-1,-1,0,0,0,-10.0,16.0,-992.0,62,65,84,70,-98.21,167
