run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260511_110526,front_50_head_lv2_005,front,head wind,Level2,drone_5,192.168.0.107,B02,5,front_5,5,4,0,node_segment_1,2026-05-11T11:05:45.674,18.99,0.0,0.0,5,21,1,80,221,1,80,200,250,80,2,250,10,-21,249,0,249.884,13.03,26.108,59,59,,-4,0,1,0,0,0,8.0,-13.0,-1028.0,58,61,79,80,-131.21,139
20260511_110526,front_50_head_lv2_005,front,head wind,Level2,drone_5,192.168.0.107,B02,5,front_5,5,4,0,node_segment_1,2026-05-11T11:05:45.782,19.099,0.108,0.108,5,21,1,80,221,1,80,200,250,80,2,250,10,-21,249,0,249.884,13.441,27.141,59,59,,-4,1,1,0,0,0,21.0,-19.0,-1026.0,58,61,79,80,-131.23,139
20260511_110526,front_50_head_lv2_005,front,head wind,Level2,drone_5,192.168.0.107,B02,5,front_5,5,4,0,node_segment_1,2026-05-11T11:05:45.888,19.205,0.214,0.214,5,21,1,80,221,1,80,200,250,80,2,250,10,-21,249,0,249.884,13.825,27.141,59,59,,-4,1,1,0,0,0,4.0,-19.0,-1004.0,58,61,79,80,-131.22,139
20260511_110526,front_50_head_lv2_005,front,head wind,Level2,drone_5,192.168.0.107,B02,5,front_5,5,4,0,node_segment_1,2026-05-11T11:05:45.996,19.312,0.322,0.322,5,18,1,79,218,1,79,200,250,80,2,250,10,-18,249,1,249.652,12.444,24.143,59,59,,-4,0,1,0,0,0,14.0,-19.0,-954.0,58,61,81,80,-131.17,140
20260511_110526,front_50_head_lv2_005,front,head wind,Level2,drone_5,192.168.0.107,B02,5,front_5,5,4,0,node_segment_1,2026-05-11T11:05:46.102,19.418,0.428,0.428,5,18,1,79,218,1,79,200,250,80,2,250,10,-18,249,1,249.652,12.444,24.143,59,59,,-4,-2,0,0,0,0,4.0,-11.0,-965.0,58,61,81,80,-131.25,140
20260511_110526,front_50_head_lv2_005,front,head wind,Level2,drone_5,192.168.0.107,B02,5,front_5,5,4,0,node_segment_1,2026-05-11T11:05:46.208,19.524,0.534,0.534,5,18,1,79,218,1,79,200,250,80,2,250,10,-18,249,1,249.652,13.998,28.079,59,59,,-4,-1,0,0,0,0,1.0,-27.0,-974.0,58,61,81,80,-131.25,140
20260511_110526,front_50_head_lv2_005,front,head wind,Level2,drone_5,192.168.0.107,B02,5,front_5,5,4,0,node_segment_1,2026-05-11T11:05:46.315,19.631,0.641,0.641,5,18,1,79,218,1,79,200,250,80,2,250,10,-18,249,1,249.652,13.893,28.079,59,59,,-4,0,0,-1,0,0,0.0,-10.0,-1006.0,58,61,81,80,-131.23,140
20260511_110526,front_50_head_lv2_005,front,head wind,Level2,drone_5,192.168.0.107,B02,5,front_5,5,4,0,node_segment_1,2026-05-11T11:05:46.420,19.736,0.746,0.746,5,16,2,82,216,2,82,200,250,80,2,250,10,-16,248,-2,248.524,13.117,26.108,59,59,,-4,0,1,-1,0,0,5.0,-36.0,-1007.0,58,61,81,80,-131.24,140
20260511_110526,front_50_head_lv2_005,front,head wind,Level2,drone_5,192.168.0.107,B02,5,front_5,5,4,0,node_segment_1,2026-05-11T11:05:46.526,19.842,0.852,0.852,5,16,2,82,216,2,82,200,250,80,2,250,10,-16,248,-2,248.524,13.117,26.108,59,59,,-4,0,0,-1,0,0,10.0,-38.0,-1009.0,58,61,81,80,-131.22,140
20260511_110526,front_50_head_lv2_005,front,head wind,Level2,drone_5,192.168.0.107,B02,5,front_5,5,4,0,node_segment_1,2026-05-11T11:05:46.632,19.948,0.958,0.958,5,16,2,82,216,2,82,200,250,80,2,250,10,-16,248,-2,248.524,12.206,24.223,59,59,,-4,0,0,-1,0,0,14.0,-34.0,-1008.0,59,62,80,80,-131.18,140
