run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260511_134142,front_50_head_lv2_008,front,head wind,Level2,drone_1,192.168.0.101,B06,1,front_1,1,0,0,node_to_node,2026-05-11T13:42:01.545,19.332,0.0,0.0,1,-10,6,84,-10,6,84,0,250,80,6,250,10,10,244,-4,244.238,10.726,25.009,63,63,,-7,2,0,0,0,0,39.0,3.0,-991.0,63,66,86,70,-119.62,217
20260511_134142,front_50_head_lv2_008,front,head wind,Level2,drone_2,192.168.0.102,B07,2,front_2,2,1,0,node_segment_1,2026-05-11T13:42:01.545,19.332,0.0,0.0,2,-1,9,87,49,9,87,50,250,80,7,250,10,1,241,-7,241.104,10.726,25.009,61,61,,-143,0,-1,0,0,0,-25.0,5.0,-979.0,62,65,83,60,-119.78,223
20260511_134142,front_50_head_lv2_008,front,head wind,Level2,drone_3,192.168.0.103,B10,3,front_3,3,2,0,node_segment_1,2026-05-11T13:42:01.545,19.332,0.0,0.0,3,1,-3,86,101,-3,86,100,250,80,8,250,10,-1,253,-6,253.073,10.726,25.009,66,66,,-16,-4,0,0,0,0,-64.0,14.0,-974.0,62,65,84,60,-119.4,147
20260511_134142,front_50_head_lv2_008,front,head wind,Level2,drone_4,192.168.0.106,B02,4,front_4,4,3,0,node_segment_1,2026-05-11T13:42:01.545,19.332,0.0,0.0,4,0,0,87,150,0,87,150,250,80,1,250,10,0,250,-7,250.098,10.726,25.009,60,60,,-23,-2,0,0,0,0,-48.0,-24.0,-1000.0,58,61,85,60,-118.58,215
20260511_134142,front_50_head_lv2_008,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-11T13:42:01.545,19.332,0.0,0.0,5,15,8,83,215,8,83,200,250,80,2,250,10,-15,242,-3,242.483,10.726,25.009,59,59,,-19,0,0,0,0,0,-10.0,-33.0,-991.0,60,64,82,80,-119.66,205
20260511_134142,front_50_head_lv2_008,front,head wind,Level2,drone_1,192.168.0.101,B06,1,front_1,1,0,0,node_segment_1,2026-05-11T13:42:01.654,19.442,0.109,0.109,1,-10,6,84,-10,6,84,0,250,80,6,250,10,10,244,-4,244.238,10.824,25.009,63,63,,-7,2,0,0,0,0,41.0,-6.0,-980.0,63,66,85,70,-119.66,217
20260511_134142,front_50_head_lv2_008,front,head wind,Level2,drone_2,192.168.0.102,B07,2,front_2,2,1,0,node_segment_1,2026-05-11T13:42:01.654,19.442,0.109,0.109,2,-1,9,87,49,9,87,50,250,80,7,250,10,1,241,-7,241.104,10.824,25.009,61,61,,-143,-1,0,0,0,0,-40.0,-5.0,-978.0,62,65,83,60,-119.88,223
20260511_134142,front_50_head_lv2_008,front,head wind,Level2,drone_3,192.168.0.103,B10,3,front_3,3,2,0,node_segment_1,2026-05-11T13:42:01.654,19.442,0.109,0.109,3,1,-3,86,101,-3,86,100,250,80,8,250,10,-1,253,-6,253.073,10.824,25.009,66,66,,-16,-4,1,0,0,0,-68.0,34.0,-985.0,62,65,84,60,-119.37,147
20260511_134142,front_50_head_lv2_008,front,head wind,Level2,drone_4,192.168.0.106,B02,4,front_4,4,3,0,node_segment_1,2026-05-11T13:42:01.654,19.442,0.109,0.109,4,0,-3,87,150,-3,87,150,250,80,1,250,10,0,253,-7,253.097,10.824,25.009,60,60,,-22,-2,1,0,0,0,-67.0,-6.0,-1012.0,58,61,86,60,-118.5,215
20260511_134142,front_50_head_lv2_008,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-11T13:42:01.654,19.442,0.109,0.109,5,15,8,83,215,8,83,200,250,80,2,250,10,-15,242,-3,242.483,10.824,25.009,59,59,,-19,0,0,0,0,0,-9.0,-28.0,-1005.0,60,64,81,80,-119.67,205
