run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:52.362,20.935,0.0,0.0,5,-10,-2,81,190,-2,81,200,250,80,2,250,10,10,252,-1,252.2,6.301,10.223,73,73,,146,0,3,0,0,0,-35.0,-69.0,-946.0,62,65,84,40,27.64,148
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:52.468,21.041,0.106,0.106,5,-10,-2,82,190,-2,82,200,250,80,2,250,10,10,252,-2,252.206,5.1,10.223,73,73,,146,0,4,0,0,0,-8.0,-42.0,-965.0,62,65,83,40,27.61,148
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:52.572,21.146,0.211,0.211,5,-10,-2,82,190,-2,82,200,250,80,2,250,10,10,252,-2,252.206,4.885,9.225,73,73,,146,0,3,0,0,0,-16.0,-28.0,-994.0,62,65,83,40,27.46,148
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:52.677,21.251,0.316,0.316,5,-10,-2,82,190,-2,82,200,250,80,2,250,10,10,252,-2,252.206,4.637,8.649,73,73,,147,0,1,0,0,0,13.0,-50.0,-1056.0,62,65,83,40,27.41,148
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:52.784,21.357,0.422,0.422,5,-10,-2,82,190,-2,82,200,250,80,2,250,10,10,252,-2,252.206,4.637,8.649,73,73,,147,-1,1,0,0,0,-19.0,-63.0,-1026.0,62,65,82,40,27.52,148
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:52.892,21.466,0.531,0.531,5,-15,-2,84,185,-2,84,200,250,80,2,250,10,15,252,-4,252.478,6.431,13.629,73,73,,147,-3,2,0,0,0,-92.0,-55.0,-897.0,62,65,82,40,27.56,148
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:52.996,21.569,0.634,0.634,5,-15,-2,84,185,-2,84,200,250,80,2,250,10,15,252,-4,252.478,6.649,13.629,73,73,,147,-3,2,0,0,0,-92.0,-55.0,-897.0,62,65,82,40,27.56,148
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:53.105,21.678,0.743,0.743,5,-15,-2,84,185,-2,84,200,250,80,2,250,10,15,252,-4,252.478,6.649,13.629,73,73,,147,-1,3,0,-1,0,32.0,-75.0,-1056.0,62,65,81,40,27.37,148
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:53.213,21.786,0.851,0.851,5,-11,-4,84,189,-4,84,200,250,80,2,250,10,11,254,-4,254.27,5.064,9.861,73,73,,147,-1,5,0,-1,0,34.0,-71.0,-1004.0,62,65,81,40,27.45,149
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:53.316,21.89,0.955,0.955,5,-11,-4,84,189,-4,84,200,250,80,2,250,10,11,254,-4,254.27,6.266,10.949,73,73,,147,0,4,0,-1,0,37.0,-71.0,-960.0,62,65,80,40,27.39,149
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:53.421,21.994,1.059,1.059,5,-11,-4,84,189,-4,84,200,250,80,2,250,10,11,254,-4,254.27,6.266,10.949,73,73,,147,0,4,0,-1,0,23.0,-36.0,-1038.0,62,65,80,40,27.51,149
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:53.526,22.099,1.164,1.164,5,-18,-1,81,182,-1,81,200,250,80,2,250,10,18,251,-1,251.647,9.064,17.984,73,73,,147,0,4,0,0,0,-36.0,-44.0,-1013.0,62,65,79,40,27.54,149
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:53.634,22.207,1.272,1.272,5,-18,-1,81,182,-1,81,200,250,80,2,250,10,18,251,-1,251.647,9.297,17.984,73,73,,147,0,3,0,0,0,-30.0,-62.0,-1005.0,62,65,79,40,27.41,149
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:53.740,22.314,1.379,1.379,5,-18,-1,81,182,-1,81,200,250,80,2,250,10,18,251,-1,251.647,7.076,17.508,73,73,,147,0,3,0,0,0,-24.0,-54.0,-988.0,62,65,78,40,27.34,149
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:53.846,22.419,1.484,1.484,5,-18,-1,81,182,-1,81,200,250,80,2,250,10,18,251,-1,251.647,7.076,17.508,73,73,,147,-1,3,0,0,0,-53.0,-67.0,-972.0,62,65,78,40,27.42,149
20260701_173531,front_50_side_lv1_new_003,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:35:53.954,22.527,1.592,1.592,5,-18,-1,81,182,-1,81,200,250,80,2,250,10,18,251,-1,251.647,6.393,15.851,73,73,,147,0,3,0,0,0,-1.0,-64.0,-1014.0,62,65,78,40,27.49,149
