run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260701_173902,front_50_side_lv1_new_005,front,side wind,Level1,50,drone_1,192.168.0.102,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-07-01T17:39:22.301,19.645,0.0,0.0,1,-5,-1,84,-5,-1,84,0,250,80,6,250,10,5,251,-4,251.082,4.714,9.54,56,56,,-5,-2,0,0,0,0,-42.0,-7.0,-1003.0,65,67,82,80,27.08,290
20260701_173902,front_50_side_lv1_new_005,front,side wind,Level1,50,drone_2,192.168.0.109,B10,2,front_2,6,1,0,node_segment_1_of_5,2026-07-01T17:39:22.301,19.645,0.0,0.0,6,-4,6,82,46,6,82,50,250,80,3,250,10,4,244,-2,244.041,4.714,9.54,55,55,,-17,2,0,0,0,0,19.0,-2.0,-995.0,65,68,84,70,28.09,256
20260701_173902,front_50_side_lv1_new_005,front,side wind,Level1,50,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-07-01T17:39:22.301,19.645,0.0,0.0,3,-5,-7,84,95,-7,84,100,250,80,8,250,10,5,257,-4,257.08,4.714,9.54,62,62,,103,0,0,0,0,0,18.0,-2.0,-983.0,66,68,82,70,27.99,186
20260701_173902,front_50_side_lv1_new_005,front,side wind,Level1,50,drone_4,192.168.0.106,B14,4,front_4,8,3,0,node_segment_1_of_5,2026-07-01T17:39:22.301,19.645,0.0,0.0,8,4,1,84,154,1,84,150,250,80,5,250,10,-4,249,-4,249.064,4.714,9.54,59,59,,107,1,1,0,0,0,34.0,-36.0,-1007.0,60,62,83,70,28.36,259
20260701_173902,front_50_side_lv1_new_005,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:39:22.301,19.645,0.0,0.0,5,0,-4,82,200,-4,82,200,250,80,2,250,10,0,254,-2,254.008,4.714,9.54,52,52,,145,0,1,0,0,0,10.0,-46.0,-959.0,63,66,85,80,27.14,269
20260701_173902,front_50_side_lv1_new_005,front,side wind,Level1,50,drone_1,192.168.0.102,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-07-01T17:39:22.408,19.752,0.107,0.107,1,0,-2,83,0,-2,83,0,250,80,6,250,10,0,252,-3,252.018,5.145,9.54,56,56,,-5,-1,0,0,0,0,-22.0,19.0,-1037.0,65,67,80,80,27.09,290
20260701_173902,front_50_side_lv1_new_005,front,side wind,Level1,50,drone_2,192.168.0.109,B10,2,front_2,6,1,0,node_segment_1_of_5,2026-07-01T17:39:22.408,19.752,0.107,0.107,6,-5,6,82,45,6,82,50,250,80,3,250,10,5,244,-2,244.059,5.145,9.54,55,55,,-17,2,0,0,0,0,33.0,16.0,-977.0,65,68,83,70,28.11,256
20260701_173902,front_50_side_lv1_new_005,front,side wind,Level1,50,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-07-01T17:39:22.408,19.752,0.107,0.107,3,-5,-7,84,95,-7,84,100,250,80,8,250,10,5,257,-4,257.08,5.145,9.54,62,62,,103,0,0,0,0,0,32.0,-7.0,-1003.0,66,68,82,70,27.92,186
20260701_173902,front_50_side_lv1_new_005,front,side wind,Level1,50,drone_4,192.168.0.106,B14,4,front_4,8,3,0,node_segment_1_of_5,2026-07-01T17:39:22.408,19.752,0.107,0.107,8,4,1,84,154,1,84,150,250,80,5,250,10,-4,249,-4,249.064,5.145,9.54,59,59,,107,1,1,0,0,0,10.0,-26.0,-1007.0,60,62,83,70,28.33,259
20260701_173902,front_50_side_lv1_new_005,front,side wind,Level1,50,drone_5,192.168.0.107,B12,5,front_5,5,4,0,node_segment_1_of_5,2026-07-01T17:39:22.408,19.752,0.107,0.107,5,2,-7,85,202,-7,85,200,250,80,2,250,10,-2,257,-5,257.056,5.145,9.54,52,52,,145,1,1,0,0,0,55.0,-28.0,-994.0,63,66,85,80,27.18,269
20260701_173902,front_50_side_lv1_new_005,front,side wind,Level1,50,drone_1,192.168.0.102,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-07-01T17:39:22.512,19.855,0.211,0.211,1,0,-2,83,0,-2,83,0,250,80,6,250,10,0,252,-3,252.018,5.145,9.54,56,56,,-5,-1,0,0,0,0,-30.0,0.0,-1018.0,65,67,80,80,27.1,290
20260701_173902,front_50_side_lv1_new_005,front,side wind,Level1,50,drone_2,192.168.0.109,B10,2,front_2,6,1,0,node_segment_1_of_5,2026-07-01T17:39:22.512,19.855,0.211,0.211,6,-5,6,82,45,6,82,50,250,80,3,250,10,5,244,-2,244.059,5.145,9.54,55,55,,-17,2,0,0,0,0,43.0,0.0,-1008.0,65,68,84,70,28.17,256
