run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260511_174408,front_50_tail_lv1_004,front,tail wind,Level1,drone_3,192.168.0.103,B07,3,front_3,8,2,5,node_segment_1,2026-05-11T17:44:27.099,18.709,0.0,0.0,8,9,0,83,109,250,83,100,0,80,3,250,10,-9,-250,-3,250.18,11.733,23.98,47,47,,-7,1,1,0,0,0,65.0,2.0,-999.0,65,67,83,70,-128.59,256
20260511_174408,front_50_tail_lv1_004,front,tail wind,Level1,drone_3,192.168.0.103,B07,3,front_3,8,2,5,node_segment_1,2026-05-11T17:44:27.206,18.816,0.107,0.107,8,9,0,83,109,250,83,100,0,80,3,250,10,-9,-250,-3,250.18,10.99,23.98,47,47,,-7,1,0,0,0,0,115.0,-24.0,-1012.0,65,67,83,70,-128.44,256
20260511_174408,front_50_tail_lv1_004,front,tail wind,Level1,drone_3,192.168.0.103,B07,3,front_3,8,2,5,node_segment_1,2026-05-11T17:44:27.312,18.922,0.213,0.213,8,9,0,83,109,250,83,100,0,80,3,250,10,-9,-250,-3,250.18,10.524,23.98,47,47,,-7,3,0,0,0,0,111.0,5.0,-976.0,65,67,84,80,-128.36,256
20260511_174408,front_50_tail_lv1_004,front,tail wind,Level1,drone_3,192.168.0.103,B07,3,front_3,8,2,5,node_segment_1,2026-05-11T17:44:27.420,19.03,0.321,0.321,8,6,0,85,106,250,85,100,0,80,3,250,10,-6,-250,-5,250.122,12.285,29.497,47,47,,-7,3,0,-1,0,0,104.0,-19.0,-919.0,65,67,84,80,-128.31,256
20260511_174408,front_50_tail_lv1_004,front,tail wind,Level1,drone_3,192.168.0.103,B07,3,front_3,8,2,5,node_segment_1,2026-05-11T17:44:27.528,19.138,0.429,0.429,8,6,0,85,106,250,85,100,0,80,3,250,10,-6,-250,-5,250.122,13.476,32.484,47,47,,-7,4,0,-1,0,0,65.0,-27.0,-910.0,65,67,84,80,-128.28,256
20260511_174408,front_50_tail_lv1_004,front,tail wind,Level1,drone_3,192.168.0.103,B07,3,front_3,8,2,5,node_segment_1,2026-05-11T17:44:27.636,19.246,0.537,0.537,8,6,0,85,106,250,85,100,0,80,3,250,10,-6,-250,-5,250.122,13.072,32.484,47,47,,-8,5,1,-1,0,0,41.0,-26.0,-986.0,65,67,84,80,-128.35,256
20260511_174408,front_50_tail_lv1_004,front,tail wind,Level1,drone_3,192.168.0.103,B07,3,front_3,8,2,5,node_segment_1,2026-05-11T17:44:27.745,19.355,0.646,0.646,8,6,0,85,106,250,85,100,0,80,3,250,10,-6,-250,-5,250.122,13.189,32.484,47,47,,-8,3,2,0,0,0,47.0,26.0,-1016.0,65,67,84,70,-128.46,256
20260511_174408,front_50_tail_lv1_004,front,tail wind,Level1,drone_3,192.168.0.103,B07,3,front_3,8,2,5,node_segment_1,2026-05-11T17:44:27.853,19.463,0.754,0.754,8,5,0,86,105,250,86,100,0,80,3,250,10,-5,-250,-6,250.122,13.271,32.484,47,47,,-8,2,1,0,0,0,90.0,23.0,-1010.0,65,67,83,70,-128.37,256
20260511_174408,front_50_tail_lv1_004,front,tail wind,Level1,drone_3,192.168.0.103,B07,3,front_3,8,2,5,node_segment_1,2026-05-11T17:44:27.961,19.571,0.862,0.862,8,5,0,86,105,250,86,100,0,80,3,250,10,-5,-250,-6,250.122,12.895,29.896,47,47,,-8,4,0,-1,0,0,69.0,-9.0,-1014.0,65,67,82,70,-128.38,257
20260511_174408,front_50_tail_lv1_004,front,tail wind,Level1,drone_3,192.168.0.103,B07,3,front_3,8,2,5,node_segment_1,2026-05-11T17:44:28.067,19.678,0.968,0.968,8,5,0,86,105,250,86,100,0,80,3,250,10,-5,-250,-6,250.122,12.895,29.896,47,47,,-8,4,-1,-1,0,0,51.0,15.0,-1009.0,65,67,82,70,-128.44,257
