run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_logging,2026-05-18T16:32:08.026,19.862,0.0,0.0,6,4,-17,84,4,233,84,0,0,80,1,250,10,-4,-233,-4,233.069,4.415,9.54,67,67,,-101,3,0,0,0,0,19.0,3.0,-1013.0,65,68,82,70,10.95,201
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:08.135,19.971,0.109,0.109,6,4,-17,84,4,233,84,0,0,80,1,250,10,-4,-233,-4,233.069,4.958,9.54,67,67,,-102,3,0,0,0,0,12.0,-39.0,-956.0,65,68,83,70,10.98,201
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:08.241,20.078,0.216,0.216,6,4,-17,84,4,233,84,0,0,80,1,250,10,-4,-233,-4,233.069,5.329,10.671,67,67,,-101,3,0,0,0,0,5.0,-39.0,-993.0,65,68,83,70,11.0,201
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:08.350,20.186,0.324,0.324,6,2,-20,85,2,230,85,0,0,80,1,250,10,-2,-230,-5,230.063,5.797,10.671,67,67,,-101,1,0,0,0,0,23.0,-29.0,-1040.0,65,67,84,70,10.98,201
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:08.458,20.295,0.433,0.433,6,2,-20,85,2,230,85,0,0,80,1,250,10,-2,-230,-5,230.063,5.785,10.531,67,67,,-101,0,1,0,0,0,48.0,-21.0,-1011.0,65,67,84,70,10.96,201
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:08.565,20.401,0.539,0.539,6,2,-20,85,2,230,85,0,0,80,1,250,10,-2,-230,-5,230.063,5.269,10.531,67,67,,-101,1,1,0,0,0,21.0,-8.0,-1006.0,65,67,84,70,10.99,201
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:08.671,20.507,0.646,0.646,5,7,21,86,7,221,86,0,0,80,1,250,10,-7,-221,-6,221.192,4.768,10.531,67,67,,-101,1,1,0,0,0,5.0,-26.0,-984.0,65,67,82,70,10.96,201
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:08.776,20.612,0.75,0.75,5,7,21,86,7,221,86,0,0,80,1,250,10,-7,-221,-6,221.192,4.768,10.531,67,67,,-101,1,1,0,0,0,36.0,-45.0,-1029.0,65,67,83,70,10.99,201
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:08.883,20.719,0.858,0.858,5,7,21,86,7,221,86,0,0,80,1,250,10,-7,-221,-6,221.192,4.414,10.208,67,67,,-101,1,1,0,0,0,12.0,-13.0,-1005.0,65,67,82,70,11.02,202
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:08.991,20.827,0.966,0.966,5,7,21,86,7,221,86,0,0,80,1,250,10,-7,-221,-6,221.192,3.602,8.549,67,67,,-101,1,1,0,0,0,14.0,-4.0,-991.0,65,67,82,70,10.99,202
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:09.100,20.936,1.074,1.074,5,7,21,86,7,221,86,0,0,80,1,250,10,-7,-221,-6,221.192,3.602,8.549,67,67,,-101,1,1,0,0,0,8.0,-19.0,-992.0,65,67,81,70,10.93,202
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:09.206,21.042,1.181,1.181,5,3,19,87,3,219,87,0,0,80,1,250,10,-3,-219,-7,219.132,4.57,9.034,67,67,,-101,2,1,0,0,0,19.0,-12.0,-976.0,65,67,81,70,11.0,202
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:09.312,21.148,1.286,1.286,5,3,19,87,3,219,87,0,0,80,1,250,10,-3,-219,-7,219.132,4.57,9.034,67,67,,-101,2,1,0,0,0,29.0,-18.0,-1002.0,64,67,81,70,11.05,202
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:09.416,21.253,1.391,1.391,5,3,19,87,3,219,87,0,0,80,1,250,10,-3,-219,-7,219.132,3.872,8.249,67,67,,-101,2,0,0,0,0,19.0,5.0,-1022.0,64,67,81,70,11.05,202
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:09.524,21.36,1.498,1.498,5,3,19,87,3,219,87,0,0,80,1,250,10,-3,-219,-7,219.132,3.872,8.249,67,67,,-101,2,0,0,1,0,-9.0,12.0,-1027.0,64,67,80,70,11.09,202
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:09.631,21.468,1.606,1.606,5,1,15,85,1,215,85,0,0,80,1,250,10,-1,-215,-5,215.06,5.021,8.387,67,67,,-101,2,0,0,1,0,-10.0,-2.0,-937.0,64,67,80,70,11.03,202
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:09.738,21.574,1.713,1.713,5,1,15,85,1,215,85,0,0,80,1,250,10,-1,-215,-5,215.06,4.307,9.237,67,67,,-101,3,0,0,1,0,5.0,-29.0,-971.0,64,67,80,70,11.01,202
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:09.845,21.681,1.82,1.82,5,1,15,85,1,215,85,0,0,80,1,250,10,-1,-215,-5,215.06,4.073,7.94,67,67,,-101,2,0,0,0,0,22.0,-31.0,-1017.0,64,67,80,70,11.01,202
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:09.954,21.791,1.929,1.929,5,1,15,85,1,215,85,0,0,80,1,250,10,-1,-215,-5,215.06,4.073,7.94,67,67,,-101,1,1,0,0,0,40.0,-31.0,-1018.0,64,67,80,70,11.0,203
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:10.061,21.898,2.036,2.036,5,3,5,83,3,205,83,0,0,80,1,250,10,-3,-205,-3,205.044,4.421,8.747,67,67,,-101,1,1,0,0,0,52.0,-39.0,-1031.0,64,67,79,70,11.03,203
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:10.166,22.003,2.141,2.141,5,3,5,83,3,205,83,0,0,80,1,250,10,-3,-205,-3,205.044,4.704,10.308,67,67,,-101,2,1,0,0,0,16.0,-62.0,-944.0,64,67,78,70,11.05,203
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:10.270,22.106,2.245,2.245,5,3,5,83,3,205,83,0,0,80,1,250,10,-3,-205,-3,205.044,6.043,11.292,67,67,,-101,1,1,0,0,0,3.0,27.0,-1046.0,64,67,79,70,11.02,203
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:10.376,22.213,2.351,2.351,5,3,5,83,3,205,83,0,0,80,1,250,10,-3,-205,-3,205.044,6.043,11.292,67,67,,-101,2,0,0,1,0,38.0,-13.0,-1018.0,65,67,78,70,11.09,203
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:10.482,22.319,2.457,2.457,5,2,1,81,2,201,81,0,0,80,1,250,10,-2,-201,-1,201.012,6.634,12.769,67,67,,-101,4,0,0,1,0,44.0,-16.0,-1003.0,65,67,78,70,11.03,203
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:10.585,22.421,2.559,2.559,5,2,1,81,2,201,81,0,0,80,1,250,10,-2,-201,-1,201.012,7.322,13.781,67,67,,-100,4,0,0,0,0,30.0,0.0,-1068.0,65,67,79,70,11.15,203
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:10.691,22.527,2.666,2.666,5,2,1,81,2,201,81,0,0,80,1,250,10,-2,-201,-1,201.012,6.337,13.702,67,67,,-100,2,-1,0,0,0,-17.0,-4.0,-948.0,65,67,78,70,11.07,203
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:10.796,22.632,2.77,2.77,5,2,1,81,2,201,81,0,0,80,1,250,10,-2,-201,-1,201.012,6.337,13.702,67,67,,-100,2,-1,0,0,0,70.0,-58.0,-1022.0,65,67,78,70,11.01,203
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:10.900,22.736,2.874,2.874,5,2,-2,81,2,198,81,0,0,80,1,250,10,-2,-198,-1,198.013,6.649,17.179,67,67,,-101,4,2,1,0,0,28.0,-68.0,-1007.0,65,67,76,70,11.03,204
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:11.008,22.844,2.983,2.983,5,2,-2,81,2,198,81,0,0,80,1,250,10,-2,-198,-1,198.013,6.649,17.179,67,67,,-101,5,4,1,0,0,20.0,-46.0,-969.0,65,67,75,70,11.04,204
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:11.117,22.953,3.091,3.091,5,2,-2,81,2,198,81,0,0,80,1,250,10,-2,-198,-1,198.013,6.581,19.426,67,67,,-101,4,3,0,0,0,20.0,-9.0,-1028.0,65,67,75,70,11.0,204
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:11.224,23.06,3.198,3.198,5,2,-6,79,2,194,79,0,0,80,1,250,10,-2,-194,1,194.013,6.802,19.426,67,67,,-101,3,3,0,0,0,0.0,11.0,-1037.0,65,67,74,60,10.97,204
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:11.332,23.169,3.307,3.307,5,2,-6,79,2,194,79,0,0,80,1,250,10,-2,-194,1,194.013,6.44,20.838,67,67,,-101,3,2,0,0,0,50.0,-59.0,-984.0,65,68,73,60,10.96,204
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:11.439,23.276,3.414,3.414,5,2,-6,79,2,194,79,0,0,80,1,250,10,-2,-194,1,194.013,5.33,13.82,67,67,,-101,3,2,0,0,0,56.0,-66.0,-972.0,65,68,73,60,10.94,204
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:11.547,23.384,3.522,3.522,5,2,-6,79,2,194,79,0,0,80,1,250,10,-2,-194,1,194.013,6.551,18.819,67,67,,-101,3,1,0,0,0,16.0,-26.0,-1000.0,65,68,73,60,11.0,204
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:11.652,23.488,3.627,3.627,5,2,-6,79,2,194,79,0,0,80,1,250,10,-2,-194,1,194.013,6.551,18.819,67,67,,-101,2,1,0,0,0,52.0,-61.0,-1006.0,65,68,73,60,10.97,204
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:11.759,23.595,3.733,3.733,5,4,-13,75,4,187,75,0,0,80,1,250,10,-4,-187,5,187.11,7.304,17.742,67,67,,-101,2,2,0,0,0,30.0,-7.0,-992.0,65,68,74,60,10.95,204
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:11.865,23.701,3.84,3.84,5,4,-13,75,4,187,75,0,0,80,1,250,10,-4,-187,5,187.11,7.202,17.742,67,67,,-101,3,1,0,0,0,8.0,2.0,-1008.0,65,68,74,60,11.02,204
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:11.970,23.806,3.945,3.945,5,4,-13,75,4,187,75,0,0,80,1,250,10,-4,-187,5,187.11,8.686,20.214,67,67,,-101,3,1,0,0,0,31.0,15.0,-1021.0,65,68,75,70,10.96,205
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:12.078,23.914,4.053,4.053,5,6,-13,75,6,187,75,0,0,80,1,250,10,-6,-187,5,187.163,9.319,18.622,67,67,,-101,3,0,0,0,0,43.0,-37.0,-1001.0,65,68,75,70,11.01,205
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:12.186,24.022,4.161,4.161,5,6,-13,75,6,187,75,0,0,80,1,250,10,-6,-187,5,187.163,9.285,18.622,67,67,,-101,3,1,0,0,0,70.0,-55.0,-988.0,65,68,76,70,11.04,205
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:12.295,24.131,4.269,4.269,5,6,-13,75,6,187,75,0,0,80,1,250,10,-6,-187,5,187.163,8.393,18.622,67,67,,-101,3,3,0,0,0,45.0,-19.0,-979.0,64,67,76,70,10.99,205
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:12.403,24.239,4.378,4.378,5,6,-13,75,6,187,75,0,0,80,1,250,10,-6,-187,5,187.163,7.941,16.94,67,67,,-101,3,2,0,0,0,52.0,-12.0,-1026.0,64,67,77,70,10.95,205
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:12.509,24.345,4.483,4.483,5,5,-14,76,5,186,76,0,0,80,1,250,10,-5,-186,4,186.11,7.71,16.94,67,67,,-101,4,1,0,0,0,61.0,-34.0,-972.0,64,67,77,70,10.94,205
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:12.615,24.451,4.589,4.589,5,5,-14,76,5,186,76,0,0,80,1,250,10,-5,-186,4,186.11,5.746,13.151,67,67,,-101,4,1,0,0,0,36.0,6.0,-940.0,64,67,77,70,10.98,205
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:12.722,24.558,4.697,4.697,5,5,-14,76,5,186,76,0,0,80,1,250,10,-5,-186,4,186.11,5.746,13.151,67,67,,-101,4,0,0,0,0,90.0,-25.0,-1033.0,64,67,78,70,10.97,205
20260518_163148,front_50_tail_lv1_new_002,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T16:32:12.829,24.665,4.803,4.803,5,5,-14,76,5,186,76,0,0,80,1,250,10,-5,-186,4,186.11,6.132,14.133,67,67,,-101,6,0,0,0,0,95.0,-32.0,-1039.0,64,67,77,70,10.9,205
