run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_logging,2026-06-05T18:52:49.173,125.048,0.0,0.0,6,-10,-3,85,-10,247,85,0,0,80,1,250,10,10,-247,-5,247.253,6.438,14.027,70,70,,179,-1,-1,0,0,0,-24.0,-41.0,-977.0,61,64,85,70,1.48,71
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-05T18:52:49.173,125.048,0.0,0.0,7,1,3,85,76,253,85,75,0,80,2,250,10,-1,-253,-5,253.051,6.438,14.027,74,74,,-165,-1,0,0,0,0,-9.0,-20.0,-995.0,62,64,86,80,2.05,139
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-06-05T18:52:49.173,125.048,0.0,0.0,8,4,-6,87,154,244,87,150,0,80,3,250,10,-4,-244,-7,244.133,6.438,14.027,68,68,,178,-2,0,0,0,0,-35.0,-8.0,-1004.0,62,63,85,80,1.95,75
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-06-05T18:52:49.173,125.048,0.0,0.0,1,-1,12,85,224,262,85,225,0,80,4,250,10,1,-262,-5,262.05,6.438,14.027,72,72,,162,-2,2,0,0,0,-64.0,-2.0,-1019.0,57,60,83,70,2.54,78
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-06-05T18:52:49.173,125.048,0.0,0.0,2,3,-4,86,303,246,86,300,0,80,5,250,10,-3,-246,-6,246.091,6.438,14.027,67,67,,-9,1,0,0,0,0,11.0,3.0,-995.0,59,62,84,70,1.32,78
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-05T18:52:49.278,125.153,0.105,0.105,6,-11,0,86,-11,250,86,0,0,80,1,250,10,11,-250,-6,250.314,6.807,15.014,70,70,,179,0,-1,0,0,0,-39.0,-41.0,-969.0,61,64,85,70,1.45,71
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-05T18:52:49.278,125.153,0.105,0.105,7,1,3,85,76,253,85,75,0,80,2,250,10,-1,-253,-5,253.051,6.807,15.014,74,74,,-165,-1,0,0,0,0,-21.0,-16.0,-983.0,62,64,85,80,2.05,139
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-06-05T18:52:49.278,125.153,0.105,0.105,8,3,-5,87,153,245,87,150,0,80,3,250,10,-3,-245,-7,245.118,6.807,15.014,68,68,,178,-2,0,0,0,0,-57.0,9.0,-1007.0,62,63,84,80,1.86,75
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-06-05T18:52:49.278,125.153,0.105,0.105,1,-1,12,85,224,262,85,225,0,80,4,250,10,1,-262,-5,262.05,6.807,15.014,72,72,,162,-3,1,0,0,0,-60.0,6.0,-1018.0,57,60,84,70,2.56,78
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-06-05T18:52:49.278,125.153,0.105,0.105,2,4,-3,86,304,247,86,300,0,80,5,250,10,-4,-247,-6,247.105,6.807,15.014,67,67,,-9,1,0,0,0,0,17.0,2.0,-1029.0,59,62,84,70,1.38,78
