run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260606_164249,front_75_head_lv1_new_003,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-06T16:43:06.984,17.705,0.0,0.0,7,0,0,84,75,250,84,75,0,80,2,250,10,0,-250,-4,250.032,6.207,12.308,54,54,,-133,-3,0,0,0,0,-33.0,-4.0,-1012.0,65,67,86,70,-67.06,288
20260606_164249,front_75_head_lv1_new_003,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-06T16:43:07.092,17.813,0.108,0.108,7,4,3,85,79,253,85,75,0,80,2,250,10,-4,-253,-5,253.081,7.412,15.303,54,54,,-133,-2,0,0,0,0,-55.0,-19.0,-1023.0,65,67,86,70,-67.18,288
20260606_164249,front_75_head_lv1_new_003,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-06T16:43:07.195,17.916,0.211,0.211,7,4,3,85,79,253,85,75,0,80,2,250,10,-4,-253,-5,253.081,7.393,15.245,54,54,,-134,-2,0,0,0,0,-72.0,-21.0,-1021.0,64,67,86,70,-67.27,288
20260606_164249,front_75_head_lv1_new_003,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-06T16:43:07.301,18.023,0.317,0.317,7,4,3,85,79,253,85,75,0,80,2,250,10,-4,-253,-5,253.081,7.204,15.245,54,54,,-134,-3,0,0,0,0,-25.0,-23.0,-997.0,64,67,86,70,-67.08,288
20260606_164249,front_75_head_lv1_new_003,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-06T16:43:07.405,18.126,0.421,0.421,7,4,3,85,79,253,85,75,0,80,2,250,10,-4,-253,-5,253.081,7.423,15.245,54,54,,-134,-2,1,0,0,0,-47.0,-25.0,-993.0,64,67,86,70,-67.04,288
20260606_164249,front_75_head_lv1_new_003,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-06T16:43:07.511,18.232,0.527,0.527,7,0,0,84,75,250,84,75,0,80,2,250,10,0,-250,-4,250.032,7.001,14.305,54,54,,-134,-4,1,0,0,0,-35.0,-41.0,-968.0,64,67,86,70,-67.0,288
20260606_164249,front_75_head_lv1_new_003,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-06T16:43:07.615,18.337,0.632,0.632,7,0,0,84,75,250,84,75,0,80,2,250,10,0,-250,-4,250.032,6.581,13.248,54,54,,-134,-4,1,0,0,0,-26.0,-41.0,-985.0,64,67,85,70,-67.03,288
20260606_164249,front_75_head_lv1_new_003,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-06T16:43:07.720,18.442,0.737,0.737,7,0,0,84,75,250,84,75,0,80,2,250,10,0,-250,-4,250.032,6.581,13.248,54,54,,-134,-3,1,1,0,0,-40.0,-39.0,-977.0,64,67,85,70,-66.99,288
20260606_164249,front_75_head_lv1_new_003,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-06T16:43:07.826,18.547,0.842,0.842,7,0,-2,84,75,248,84,75,0,80,2,250,10,0,-248,-4,248.032,6.548,13.248,54,54,,-134,-2,2,1,0,0,-35.0,-47.0,-999.0,64,67,84,70,-66.99,288
20260606_164249,front_75_head_lv1_new_003,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-06T16:43:07.932,18.654,0.949,0.949,7,0,-2,84,75,248,84,75,0,80,2,250,10,0,-248,-4,248.032,5.776,11.112,54,54,,-134,-2,2,1,0,0,-32.0,-49.0,-1015.0,64,67,84,70,-67.16,288
