run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,6,1,node_segment_1_of_5,2026-06-10T17:59:01.773,18.345,0.0,58,58,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_2,192.168.0.109,B10,2,front_2,7,2,node_segment_1_of_5,2026-06-10T17:59:01.773,18.345,0.0,55,55,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_3,192.168.0.103,B13,3,front_3,8,3,node_segment_1_of_5,2026-06-10T17:59:01.773,18.345,0.0,58,58,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,1,4,node_segment_1_of_5,2026-06-10T17:59:01.773,18.345,0.0,55,55,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_5,192.168.0.107,B15,5,front_5,2,5,node_segment_1_of_5,2026-06-10T17:59:01.773,18.345,0.0,57,57,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,6,1,node_segment_1_of_5,2026-06-10T17:59:01.881,18.452,0.108,58,58,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_2,192.168.0.109,B10,2,front_2,7,2,node_segment_1_of_5,2026-06-10T17:59:01.881,18.452,0.108,55,55,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_3,192.168.0.103,B13,3,front_3,8,3,node_segment_1_of_5,2026-06-10T17:59:01.881,18.452,0.108,58,58,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,1,4,node_segment_1_of_5,2026-06-10T17:59:01.881,18.452,0.108,55,55,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_5,192.168.0.107,B15,5,front_5,2,5,node_segment_1_of_5,2026-06-10T17:59:01.881,18.452,0.108,57,57,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,6,1,node_segment_1_of_5,2026-06-10T17:59:01.989,18.561,0.216,58,58,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_2,192.168.0.109,B10,2,front_2,7,2,node_segment_1_of_5,2026-06-10T17:59:01.989,18.561,0.216,55,55,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_3,192.168.0.103,B13,3,front_3,8,3,node_segment_1_of_5,2026-06-10T17:59:01.989,18.561,0.216,58,58,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,1,4,node_segment_1_of_5,2026-06-10T17:59:01.989,18.561,0.216,55,55,0
20260610_175843,front_75_head_lv2_new_005,front,head wind,Level2,75,drone_5,192.168.0.107,B15,5,front_5,2,5,node_segment_1_of_5,2026-06-10T17:59:01.989,18.561,0.216,57,57,0
