run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_logging,2026-06-06T15:38:08.419,15.818,0.0,0.0,6,2,-1,82,2,249,82,0,0,80,1,250,10,-2,-249,-2,249.016,1.603,2.986,57,57,,5,1,0,0,0,0,23.0,-25.0,-975.0,73,76,79,40,-61.93,185
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-06T15:38:08.529,15.928,0.11,0.11,6,2,-1,82,2,249,82,0,0,80,1,250,10,-2,-249,-2,249.016,1.599,2.98,57,57,,5,1,0,0,0,0,-11.0,19.0,-1007.0,73,76,79,40,-61.93,185
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-06T15:38:08.636,16.036,0.218,0.218,6,2,-1,82,2,249,82,0,0,80,1,250,10,-2,-249,-2,249.016,1.599,2.98,57,57,,5,1,0,0,0,0,9.0,-19.0,-1001.0,73,76,79,40,-61.94,185
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-06T15:38:08.741,16.14,0.323,0.323,6,0,-4,81,0,246,81,0,0,80,1,250,10,0,-246,-1,246.002,1.241,3.409,57,57,,5,0,0,0,0,0,23.0,-8.0,-991.0,73,76,79,40,-61.92,185
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-06T15:38:08.849,16.248,0.43,0.43,6,0,-4,81,0,246,81,0,0,80,1,250,10,0,-246,-1,246.002,1.507,4.228,57,57,,5,-2,0,0,0,0,49.0,-61.0,-963.0,73,76,79,40,-61.98,186
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-06T15:38:08.956,16.355,0.537,0.537,6,0,-4,81,0,246,81,0,0,80,1,250,10,0,-246,-1,246.002,1.708,4.228,57,57,,5,-1,0,0,0,0,-32.0,20.0,-1011.0,73,76,79,40,-62.0,186
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-06T15:38:09.062,16.461,0.643,0.643,6,0,-4,81,0,246,81,0,0,80,1,250,10,0,-246,-1,246.002,1.708,4.228,57,57,,5,0,0,0,0,0,16.0,-28.0,-978.0,73,76,79,40,-62.03,186
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-06T15:38:09.166,16.565,0.748,0.748,6,1,-5,81,1,245,81,0,0,80,1,250,10,-1,-245,-1,245.004,1.08,2.589,57,57,,5,0,0,-1,0,0,-3.0,-9.0,-997.0,73,76,79,40,-61.98,186
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-06T15:38:09.273,16.672,0.854,0.854,6,1,-5,81,1,245,81,0,0,80,1,250,10,-1,-245,-1,245.004,0.691,2.233,57,57,,5,0,0,-1,0,0,28.0,-27.0,-1006.0,73,76,79,40,-62.02,186
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-06T15:38:09.379,16.779,0.961,0.961,6,1,-5,81,1,245,81,0,0,80,1,250,10,-1,-245,-1,245.004,0.68,2.233,57,57,,5,0,0,-1,0,0,-28.0,6.0,-1006.0,73,76,79,40,-62.03,186
