run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_logging,2026-06-06T15:38:08.419,15.818,0.0,0.0,6,2,-1,82,2,249,82,0,0,80,1,250,10,-2,-249,-2,249.016,1.603,2.986,57,57,,5,1,0,0,0,0,23.0,-25.0,-975.0,73,76,79,40,-61.93,185
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-06T15:38:08.419,15.818,0.0,0.0,7,3,4,78,78,254,78,75,0,80,2,250,10,-3,-254,2,254.026,1.603,2.986,57,57,,8,0,0,0,0,0,15.0,-11.0,-1008.0,69,73,80,50,-61.3,210
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-06-06T15:38:08.419,15.818,0.0,0.0,8,0,0,74,150,250,74,150,0,80,3,250,10,0,-250,6,250.072,1.603,2.986,60,60,,5,0,0,0,0,0,-6.0,15.0,-1012.0,73,75,72,60,-61.62,203
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-06-06T15:38:08.419,15.818,0.0,0.0,1,0,2,86,225,252,86,225,0,80,4,250,10,0,-252,-6,252.071,1.603,2.986,48,48,,-5,0,0,0,0,0,-5.0,-5.0,-996.0,66,68,86,70,-61.07,194
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-06-06T15:38:08.419,15.818,0.0,0.0,2,0,1,84,300,251,84,300,0,80,5,250,10,0,-251,-4,251.032,1.603,2.986,49,49,,-8,0,0,0,0,0,17.0,-2.0,-1009.0,68,70,84,80,-62.17,216
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-06T15:38:08.529,15.928,0.11,0.11,6,2,-1,82,2,249,82,0,0,80,1,250,10,-2,-249,-2,249.016,1.599,2.98,57,57,,5,1,0,0,0,0,-11.0,19.0,-1007.0,73,76,79,40,-61.93,185
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-06T15:38:08.529,15.928,0.11,0.11,7,3,4,78,78,254,78,75,0,80,2,250,10,-3,-254,2,254.026,1.599,2.98,57,57,,8,0,0,0,0,0,12.0,-11.0,-984.0,69,73,81,50,-61.31,210
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-06-06T15:38:08.529,15.928,0.11,0.11,8,0,0,74,150,250,74,150,0,80,3,250,10,0,-250,6,250.072,1.599,2.98,60,60,,5,0,0,0,0,0,-9.0,1.0,-994.0,73,75,72,60,-61.59,203
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-06-06T15:38:08.529,15.928,0.11,0.11,1,0,1,87,225,251,87,225,0,80,4,250,10,0,-251,-7,251.098,1.599,2.98,48,48,,-5,0,0,0,0,0,-5.0,4.0,-1013.0,66,68,86,70,-61.06,194
20260606_153752,front_75_head_no_wind_new_prepare,front,head wind,no wind,75,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-06-06T15:38:08.529,15.928,0.11,0.11,2,0,1,84,300,251,84,300,0,80,5,250,10,0,-251,-4,251.032,1.599,2.98,49,49,,-8,0,0,0,0,0,-23.0,16.0,-980.0,68,70,84,80,-62.16,216
