run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260609_173532,front_75_tail_lv2_new_001,front,tail wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-09T17:35:57.714,24.747,0.0,0.0,4,-2,-1,83,223,-1,83,225,250,80,1,250,10,2,251,-3,251.026,9.443,20.506,69,69,,-8,0,0,0,0,0,-3.0,-8.0,-1002.0,55,58,79,60,-88.63,80
20260609_173532,front_75_tail_lv2_new_001,front,tail wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-09T17:35:57.820,24.854,0.107,0.107,4,-2,-1,83,223,-1,83,225,250,80,1,250,10,2,251,-3,251.026,9.823,20.506,69,69,,-8,0,0,0,0,0,33.0,-15.0,-998.0,55,58,78,60,-88.68,80
20260609_173532,front_75_tail_lv2_new_001,front,tail wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-09T17:35:57.926,24.96,0.213,0.213,4,-2,-1,83,223,-1,83,225,250,80,1,250,10,2,251,-3,251.026,9.823,20.506,69,69,,-7,0,1,0,0,0,21.0,21.0,-1025.0,55,58,78,60,-88.59,80
20260609_173532,front_75_tail_lv2_new_001,front,tail wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-09T17:35:58.030,25.064,0.317,0.317,4,-3,-4,82,222,-4,82,225,250,80,1,250,10,3,254,-2,254.026,11.266,24.347,69,69,,-7,1,0,0,0,0,6.0,11.0,-1050.0,55,58,78,60,-88.5,80
20260609_173532,front_75_tail_lv2_new_001,front,tail wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-09T17:35:58.137,25.17,0.424,0.424,4,-3,-4,82,222,-4,82,225,250,80,1,250,10,3,254,-2,254.026,11.266,24.347,69,69,,-6,0,0,0,0,0,8.0,12.0,-1003.0,55,58,78,60,-88.55,80
20260609_173532,front_75_tail_lv2_new_001,front,tail wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-09T17:35:58.241,25.274,0.527,0.527,4,-3,-4,82,222,-4,82,225,250,80,1,250,10,3,254,-2,254.026,11.064,24.347,69,69,,-6,-1,0,0,0,0,-1.0,-2.0,-981.0,55,58,79,60,-88.64,80
20260609_173532,front_75_tail_lv2_new_001,front,tail wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-09T17:35:58.349,25.382,0.635,0.635,4,-2,-6,80,223,-6,80,225,250,80,1,250,10,2,256,0,256.008,11.353,24.347,69,69,,-7,-1,0,0,0,0,-27.0,-11.0,-984.0,55,58,79,60,-88.55,81
20260609_173532,front_75_tail_lv2_new_001,front,tail wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-09T17:35:58.455,25.488,0.741,0.741,4,-2,-6,80,223,-6,80,225,250,80,1,250,10,2,256,0,256.008,8.89,18.19,69,69,,-7,0,1,0,0,0,-15.0,12.0,-976.0,55,58,80,70,-88.56,81
20260609_173532,front_75_tail_lv2_new_001,front,tail wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-09T17:35:58.558,25.591,0.845,0.845,4,-2,-6,80,223,-6,80,225,250,80,1,250,10,2,256,0,256.008,8.89,18.19,69,69,,-7,-1,1,0,0,0,0.0,34.0,-966.0,55,58,80,70,-88.52,81
20260609_173532,front_75_tail_lv2_new_001,front,tail wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-09T17:35:58.667,25.701,0.954,0.954,4,-2,-6,80,223,-6,80,225,250,80,1,250,10,2,256,0,256.008,9.123,18.19,69,69,,-7,-1,0,0,0,0,-10.0,-8.0,-1001.0,55,58,80,70,-88.45,81
