run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260609_185448,front_75_tail_lv2_new_003,front,tail wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_logging,2026-06-09T18:55:07.920,19.179,0.0,0.0,1,0,21,82,0,21,82,0,250,80,6,250,10,0,229,-2,229.009,2.937,6.41,67,67,,147,3,0,0,0,0,36.0,10.0,-1051.0,65,67,79,80,-93.23,164
20260609_185448,front_75_tail_lv2_new_003,front,tail wind,Level2,75,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-06-09T18:55:07.920,19.179,0.0,0.0,2,-1,-4,82,74,-4,82,75,250,80,7,250,10,1,254,-2,254.01,2.937,6.41,66,66,,-14,1,0,0,0,0,32.0,-22.0,-997.0,65,67,84,80,-92.55,195
20260609_185448,front_75_tail_lv2_new_003,front,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-06-09T18:55:07.920,19.179,0.0,0.0,3,-7,8,88,143,8,88,150,250,80,8,250,10,7,242,-8,242.233,2.937,6.41,67,67,,-53,8,1,0,0,0,168.0,32.0,-1006.0,66,69,86,80,-92.99,153
20260609_185448,front_75_tail_lv2_new_003,front,tail wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-09T18:55:07.920,19.179,0.0,0.0,4,-2,2,85,223,2,85,225,250,80,1,250,10,2,248,-5,248.058,2.937,6.41,66,66,,37,0,0,0,0,0,-16.0,6.0,-997.0,60,62,82,80,-92.25,205
20260609_185448,front_75_tail_lv2_new_003,front,tail wind,Level2,75,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-06-09T18:55:07.920,19.179,0.0,0.0,5,-1,2,87,299,2,87,300,250,80,2,250,10,1,248,-7,248.101,2.937,6.41,63,63,,161,0,0,0,0,0,-14.0,-9.0,-989.0,62,65,85,70,-93.53,220
20260609_185448,front_75_tail_lv2_new_003,front,tail wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-09T18:55:08.026,19.285,0.107,0.107,1,-2,21,82,-2,21,82,0,250,80,6,250,10,2,229,-2,229.017,3.048,6.115,67,67,,147,3,0,0,0,0,41.0,-23.0,-995.0,65,67,79,80,-93.22,164
20260609_185448,front_75_tail_lv2_new_003,front,tail wind,Level2,75,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-06-09T18:55:08.026,19.285,0.107,0.107,2,-1,-4,82,74,-4,82,75,250,80,7,250,10,1,254,-2,254.01,3.048,6.115,66,66,,-14,0,0,0,0,0,6.0,-23.0,-969.0,65,67,84,80,-92.63,195
20260609_185448,front_75_tail_lv2_new_003,front,tail wind,Level2,75,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-06-09T18:55:08.026,19.285,0.107,0.107,3,-7,8,88,143,8,88,150,250,80,8,250,10,7,242,-8,242.233,3.048,6.115,67,67,,-53,8,0,0,0,0,150.0,0.0,-974.0,66,69,86,80,-93.02,153
20260609_185448,front_75_tail_lv2_new_003,front,tail wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-09T18:55:08.026,19.285,0.107,0.107,4,-3,2,85,222,2,85,225,250,80,1,250,10,3,248,-5,248.069,3.048,6.115,66,66,,37,0,0,0,0,0,-24.0,0.0,-996.0,60,62,83,80,-92.19,205
20260609_185448,front_75_tail_lv2_new_003,front,tail wind,Level2,75,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-06-09T18:55:08.026,19.285,0.107,0.107,5,-1,2,87,299,2,87,300,250,80,2,250,10,1,248,-7,248.101,3.048,6.115,63,63,,161,0,0,0,0,0,12.0,-22.0,-1042.0,62,65,86,70,-93.52,220
