run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260508_130640,front_head_lv1_005,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,3,0,node_segment_1,2026-05-08T13:10:19.372,218.747,0.0,0.0,4,3,-7,86,153,-7,86,150,250,80,1,250,10,-3,257,-6,257.088,9.683,18.514,69,69,,-8,-1,1,0,0,0,-12.0,-22.0,-1036.0,57,59,81,70,12.59,138
20260508_130640,front_head_lv1_005,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,3,0,node_segment_1,2026-05-08T13:10:19.479,218.854,0.107,0.107,4,3,-7,86,153,-7,86,150,250,80,1,250,10,-3,257,-6,257.088,9.683,18.514,69,69,,-7,0,2,0,0,0,-24.0,-21.0,-1038.0,57,59,81,70,12.49,138
20260508_130640,front_head_lv1_005,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,3,0,node_segment_1,2026-05-08T13:10:19.586,218.961,0.214,0.214,4,3,-7,86,153,-7,86,150,250,80,1,250,10,-3,257,-6,257.088,9.683,18.514,69,69,,-7,0,2,0,0,0,3.0,-34.0,-1017.0,57,60,81,70,12.41,139
20260508_130640,front_head_lv1_005,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,3,0,node_segment_1,2026-05-08T13:10:19.691,219.066,0.319,0.319,4,1,-7,84,151,-7,84,150,250,80,1,250,10,-1,257,-4,257.033,11.468,22.201,69,69,,-7,-2,1,0,0,0,-10.0,-31.0,-1001.0,57,60,81,70,12.39,139
20260508_130640,front_head_lv1_005,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,3,0,node_segment_1,2026-05-08T13:10:19.799,219.174,0.427,0.427,4,1,-7,84,151,-7,84,150,250,80,1,250,10,-1,257,-4,257.033,11.468,22.201,69,69,,-7,-2,1,0,0,0,-5.0,-26.0,-986.0,57,60,81,70,12.38,139
20260508_130640,front_head_lv1_005,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,3,0,node_segment_1,2026-05-08T13:10:19.905,219.28,0.533,0.533,4,1,-7,84,151,-7,84,150,250,80,1,250,10,-1,257,-4,257.033,11.468,22.201,69,69,,-7,-1,1,-1,0,0,-17.0,-24.0,-1009.0,57,60,81,70,12.45,139
20260508_130640,front_head_lv1_005,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,3,0,node_segment_1,2026-05-08T13:10:20.011,219.386,0.64,0.64,4,1,-7,84,151,-7,84,150,250,80,1,250,10,-1,257,-4,257.033,10.167,18.714,69,69,,-7,-1,1,-1,0,0,-17.0,-19.0,-1005.0,57,60,81,70,12.36,139
20260508_130640,front_head_lv1_005,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,3,0,node_segment_1,2026-05-08T13:10:20.119,219.494,0.748,0.748,4,-1,-5,83,149,-5,83,150,250,80,1,250,10,1,255,-3,255.02,10.039,18.003,69,69,,-7,0,1,0,0,0,-29.0,-7.0,-1000.0,57,60,81,70,12.34,139
20260508_130640,front_head_lv1_005,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,3,0,node_segment_1,2026-05-08T13:10:20.226,219.602,0.855,0.855,4,-1,-5,83,149,-5,83,150,250,80,1,250,10,1,255,-3,255.02,9.846,18.003,69,69,,-7,-1,1,0,0,0,-37.0,2.0,-976.0,57,60,81,70,12.3,139
20260508_130640,front_head_lv1_005,front,head wind,Level1,drone_4,192.168.0.106,B06,4,front_4,4,3,0,node_segment_1,2026-05-08T13:10:20.335,219.71,0.964,0.964,4,-1,-5,83,149,-5,83,150,250,80,1,250,10,1,255,-3,255.02,9.846,18.003,69,69,,-7,-1,1,0,0,0,-34.0,-1.0,-1013.0,57,60,80,70,12.26,139
