run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_1,192.168.0.101,B11,1,front_1,1,6,node_segment_1_of_5,2026-05-15T16:41:54.068,25.281,0.001,72,72,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_2,192.168.0.109,B10,2,front_2,2,7,node_segment_1_of_5,2026-05-15T16:41:54.068,25.281,0.001,76,76,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_3,192.168.0.103,B13,3,front_3,3,8,node_segment_1_of_5,2026-05-15T16:41:54.068,25.281,0.001,67,67,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_4,192.168.0.106,B14,4,front_4,4,1,node_segment_1_of_5,2026-05-15T16:41:54.068,25.281,0.001,72,72,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_5,192.168.0.107,B15,5,front_5,5,2,node_segment_1_of_5,2026-05-15T16:41:54.068,25.281,0.001,74,74,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_1,192.168.0.101,B11,1,front_1,1,6,node_segment_1_of_5,2026-05-15T16:41:54.171,25.385,0.104,72,72,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_2,192.168.0.109,B10,2,front_2,2,7,node_segment_1_of_5,2026-05-15T16:41:54.171,25.385,0.104,76,76,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_3,192.168.0.103,B13,3,front_3,3,8,node_segment_1_of_5,2026-05-15T16:41:54.171,25.385,0.104,67,67,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_4,192.168.0.106,B14,4,front_4,4,1,node_segment_1_of_5,2026-05-15T16:41:54.171,25.385,0.104,72,72,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_5,192.168.0.107,B15,5,front_5,5,2,node_segment_1_of_5,2026-05-15T16:41:54.171,25.385,0.104,74,74,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_1,192.168.0.101,B11,1,front_1,1,6,node_segment_1_of_5,2026-05-15T16:41:54.278,25.491,0.211,72,72,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_2,192.168.0.109,B10,2,front_2,2,7,node_segment_1_of_5,2026-05-15T16:41:54.278,25.491,0.211,76,76,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_3,192.168.0.103,B13,3,front_3,3,8,node_segment_1_of_5,2026-05-15T16:41:54.278,25.491,0.211,67,67,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_4,192.168.0.106,B14,4,front_4,4,1,node_segment_1_of_5,2026-05-15T16:41:54.278,25.491,0.211,72,72,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_5,192.168.0.107,B15,5,front_5,5,2,node_segment_1_of_5,2026-05-15T16:41:54.278,25.491,0.211,74,74,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_1,192.168.0.101,B11,1,front_1,1,6,node_segment_1_of_5,2026-05-15T16:41:54.386,25.599,0.319,72,72,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_2,192.168.0.109,B10,2,front_2,2,7,node_segment_1_of_5,2026-05-15T16:41:54.386,25.599,0.319,76,76,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_3,192.168.0.103,B13,3,front_3,3,8,node_segment_1_of_5,2026-05-15T16:41:54.386,25.599,0.319,67,67,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_4,192.168.0.106,B14,4,front_4,4,1,node_segment_1_of_5,2026-05-15T16:41:54.386,25.599,0.319,72,72,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_5,192.168.0.107,B15,5,front_5,5,2,node_segment_1_of_5,2026-05-15T16:41:54.386,25.599,0.319,74,74,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_1,192.168.0.101,B11,1,front_1,1,6,node_segment_1_of_5,2026-05-15T16:41:54.494,25.707,0.427,72,72,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_2,192.168.0.109,B10,2,front_2,2,7,node_segment_1_of_5,2026-05-15T16:41:54.494,25.707,0.427,76,76,0
20260515_164128,front_head_lv1_new_001,front,head wind,Level1,drone_3,192.168.0.103,B13,3,front_3,3,8,node_segment_1_of_5,2026-05-15T16:41:54.494,25.707,0.427,67,67,0
