run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:07.570,52.538,0.0,0.0,3,1,-9,82,101,-9,82,100,250,80,8,250,10,-1,259,-2,259.01,7.278,16.731,69,69,,0,0,0,0,0,0,-9.0,6.0,-999.0,62,65,83,70,24.32,68
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:07.675,52.643,0.105,0.105,3,-3,-2,84,97,-2,84,100,250,80,8,250,10,3,252,-4,252.05,6.716,13.0,69,69,,0,0,0,0,0,0,14.0,-12.0,-996.0,62,65,83,70,24.34,68
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:07.783,52.751,0.213,0.213,3,-3,-2,84,97,-2,84,100,250,80,8,250,10,3,252,-4,252.05,6.716,13.0,69,69,,0,0,0,0,0,0,6.0,1.0,-970.0,62,65,84,70,24.33,69
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:07.890,52.858,0.32,0.32,3,-3,-2,84,97,-2,84,100,250,80,8,250,10,3,252,-4,252.05,6.716,13.0,69,69,,0,-1,0,0,0,0,2.0,8.0,-992.0,62,65,84,70,24.25,69
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:07.998,52.966,0.428,0.428,3,-2,-4,85,98,-4,85,100,250,80,8,250,10,2,254,-5,254.057,8.255,15.873,69,69,,0,-1,0,0,0,0,6.0,1.0,-986.0,62,65,84,70,24.33,69
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:08.106,53.074,0.536,0.536,3,-2,-4,85,98,-4,85,100,250,80,8,250,10,2,254,-5,254.057,8.255,15.873,69,69,,0,0,0,0,0,0,-12.0,6.0,-995.0,62,64,83,70,24.41,69
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:08.210,53.178,0.64,0.64,3,-2,-4,85,98,-4,85,100,250,80,8,250,10,2,254,-5,254.057,8.255,15.873,69,69,,0,0,0,0,0,0,10.0,-5.0,-990.0,62,64,84,70,24.34,69
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:08.318,53.286,0.748,0.748,3,-2,-4,85,98,-4,85,100,250,80,8,250,10,2,254,-5,254.057,8.629,16.676,69,69,,0,0,0,0,0,0,13.0,2.0,-983.0,62,64,83,70,24.36,69
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:08.425,53.393,0.855,0.855,3,-1,-2,86,99,-2,86,100,250,80,8,250,10,1,252,-6,252.073,8.565,17.765,69,69,,0,0,0,0,0,0,14.0,-5.0,-993.0,62,64,83,70,24.31,69
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:08.529,53.497,0.959,0.959,3,-1,-2,86,99,-2,86,100,250,80,8,250,10,1,252,-6,252.073,8.565,17.765,69,69,,0,0,0,-1,0,0,-2.0,13.0,-996.0,62,64,82,70,24.3,69
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:08.637,53.605,1.067,1.067,3,-1,-2,86,99,-2,86,100,250,80,8,250,10,1,252,-6,252.073,8.565,17.765,69,69,,0,0,0,-1,0,0,0.0,2.0,-1002.0,62,64,82,70,24.35,69
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:08.743,53.711,1.173,1.173,3,-1,-2,86,99,-2,86,100,250,80,8,250,10,1,252,-6,252.073,7.777,16.219,69,69,,0,0,0,-1,0,0,-2.0,2.0,-1006.0,62,64,82,70,24.38,69
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:08.847,53.815,1.277,1.277,3,-3,0,85,97,0,85,100,250,80,8,250,10,3,250,-5,250.068,9.345,20.558,69,69,,0,0,0,-1,0,0,18.0,-4.0,-994.0,62,64,82,70,24.32,70
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:08.954,53.922,1.384,1.384,3,-3,0,85,97,0,85,100,250,80,8,250,10,3,250,-5,250.068,9.345,20.558,69,69,,0,0,0,-1,0,0,2.0,12.0,-1004.0,62,64,81,70,24.3,70
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:09.061,54.028,1.49,1.49,3,-3,0,85,97,0,85,100,250,80,8,250,10,3,250,-5,250.068,9.345,20.558,69,69,,0,0,0,-1,0,0,-4.0,11.0,-1007.0,62,64,80,70,24.33,70
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:09.167,54.135,1.597,1.597,3,-3,0,85,97,0,85,100,250,80,8,250,10,3,250,-5,250.068,10.128,22.285,69,69,,0,0,0,-1,0,0,8.0,0.0,-998.0,62,64,80,70,24.33,70
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:09.273,54.241,1.703,1.703,3,-4,1,84,96,1,84,100,250,80,8,250,10,4,249,-4,249.064,10.61,24.106,69,69,,0,0,0,-1,0,0,6.0,-4.0,-998.0,62,64,80,60,24.33,70
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:09.380,54.348,1.81,1.81,3,-4,1,84,96,1,84,100,250,80,8,250,10,4,249,-4,249.064,10.61,24.106,69,69,,0,0,0,-1,0,0,-2.0,-1.0,-1005.0,62,64,80,60,24.29,70
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:09.486,54.454,1.916,1.916,3,-4,1,84,96,1,84,100,250,80,8,250,10,4,249,-4,249.064,10.799,24.106,69,69,,0,0,0,-1,0,0,0.0,0.0,-1000.0,62,64,80,60,24.33,70
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:09.592,54.56,2.022,2.022,3,-6,5,82,94,5,82,100,250,80,8,250,10,6,245,-2,245.082,8.732,18.716,69,69,,0,0,0,0,0,0,-4.0,3.0,-994.0,62,64,80,60,24.33,70
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:09.701,54.668,2.13,2.13,3,-6,5,82,94,5,82,100,250,80,8,250,10,6,245,-2,245.082,8.732,18.716,69,69,,0,0,0,0,0,0,1.0,0.0,-1004.0,62,64,81,60,24.33,70
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:09.808,54.776,2.238,2.238,3,-6,5,82,94,5,82,100,250,80,8,250,10,6,245,-2,245.082,8.732,18.716,69,69,,0,0,0,0,0,0,3.0,3.0,-1004.0,62,64,80,60,24.3,71
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:09.916,54.884,2.346,2.346,3,-6,5,82,94,5,82,100,250,80,8,250,10,6,245,-2,245.082,10.914,18.716,69,69,,0,0,0,-1,0,0,-2.0,3.0,-993.0,62,64,81,60,24.3,71
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:10.022,54.99,2.452,2.452,3,-7,7,83,93,7,83,100,250,80,8,250,10,7,243,-3,243.119,10.535,18.077,69,69,,0,0,0,-1,0,0,0.0,-1.0,-996.0,62,64,81,60,24.3,71
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:10.126,55.094,2.556,2.556,3,-7,7,83,93,7,83,100,250,80,8,250,10,7,243,-3,243.119,10.783,17.586,69,69,,0,0,0,-1,0,0,0.0,11.0,-992.0,62,63,81,70,24.31,71
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:10.234,55.202,2.664,2.664,3,-7,7,83,93,7,83,100,250,80,8,250,10,7,243,-3,243.119,10.783,17.586,69,69,,0,0,0,-1,0,0,-7.0,21.0,-990.0,62,63,81,70,24.28,71
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:10.339,55.307,2.769,2.769,3,-7,7,83,93,7,83,100,250,80,8,250,10,7,243,-3,243.119,9.7,17.586,69,69,,-1,0,0,-1,0,0,0.0,-5.0,-993.0,62,63,80,70,24.31,71
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:10.444,55.412,2.874,2.874,3,-7,7,83,93,7,83,100,250,80,8,250,10,7,243,-3,243.119,9.797,18.668,69,69,,0,0,0,-1,0,0,0.0,10.0,-997.0,62,63,80,60,24.35,71
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:10.551,55.519,2.981,2.981,3,-9,13,82,91,13,82,100,250,80,8,250,10,9,237,-2,237.179,10.038,19.186,69,69,,0,0,0,-1,0,0,4.0,-1.0,-997.0,62,63,80,60,24.35,71
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:10.658,55.626,3.088,3.088,3,-9,13,82,91,13,82,100,250,80,8,250,10,9,237,-2,237.179,10.038,19.186,69,69,,0,0,0,-1,0,0,0.0,2.0,-1001.0,62,63,80,60,24.31,71
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:10.767,55.735,3.197,3.197,3,-9,13,82,91,13,82,100,250,80,8,250,10,9,237,-2,237.179,10.789,19.186,69,69,,0,0,0,-1,0,0,-4.0,4.0,-1003.0,62,63,80,60,24.28,71
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:10.874,55.842,3.304,3.304,3,-10,18,82,90,18,82,100,250,80,8,250,10,10,232,-2,232.224,8.977,14.336,69,69,,-1,0,0,-1,0,0,5.0,-11.0,-1001.0,62,63,80,60,24.35,72
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:10.979,55.947,3.409,3.409,3,-10,18,82,90,18,82,100,250,80,8,250,10,10,232,-2,232.224,8.917,14.336,69,69,,-1,0,0,-1,0,0,-13.0,1.0,-998.0,62,63,80,60,24.28,72
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:11.087,56.055,3.517,3.517,3,-10,18,82,90,18,82,100,250,80,8,250,10,10,232,-2,232.224,8.917,14.336,69,69,,-1,0,0,0,0,0,0.0,1.0,-994.0,62,64,79,60,24.3,72
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:11.191,56.159,3.621,3.621,3,-10,18,82,90,18,82,100,250,80,8,250,10,10,232,-2,232.224,7.588,13.115,69,69,,-1,0,0,0,0,0,0.0,-4.0,-1005.0,62,64,79,60,24.36,72
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:11.298,56.266,3.728,3.728,3,-11,26,80,89,26,80,100,250,80,8,250,10,11,224,0,224.27,8.139,15.281,69,69,,0,0,0,0,0,0,-2.0,-3.0,-997.0,62,64,79,60,24.31,72
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:11.406,56.374,3.836,3.836,3,-11,26,80,89,26,80,100,250,80,8,250,10,11,224,0,224.27,8.139,15.281,69,69,,0,0,0,0,0,0,0.0,2.0,-997.0,62,64,79,60,24.33,72
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:11.511,56.479,3.941,3.941,3,-11,26,80,89,26,80,100,250,80,8,250,10,11,224,0,224.27,8.139,15.281,69,69,,0,0,0,0,0,0,-13.0,-15.0,-1006.0,62,64,79,60,24.33,72
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:11.619,56.587,4.049,4.049,3,-11,26,80,89,26,80,100,250,80,8,250,10,11,224,0,224.27,8.387,16.148,69,69,,0,0,0,0,0,0,4.0,-9.0,-993.0,62,64,78,60,24.33,72
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:11.727,56.695,4.157,4.157,4,-4,-21,81,96,29,81,100,250,80,8,250,10,4,221,-1,221.038,8.205,16.453,69,69,,0,0,0,0,0,0,3.0,-6.0,-1002.0,62,64,79,60,24.32,72
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:11.835,56.803,4.265,4.265,4,-4,-21,81,96,29,81,100,250,80,8,250,10,4,221,-1,221.038,8.205,16.453,69,69,,0,0,0,0,0,0,-4.0,-4.0,-997.0,62,64,79,60,24.33,73
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:11.942,56.91,4.372,4.372,4,-4,-21,81,96,29,81,100,250,80,8,250,10,4,221,-1,221.038,8.205,16.453,69,69,,0,0,0,0,0,0,-10.0,2.0,-1001.0,62,64,80,60,24.36,73
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:12.050,57.018,4.48,4.48,4,-4,-21,81,96,29,81,100,250,80,8,250,10,4,221,-1,221.038,10.043,18.884,69,69,,0,0,0,0,0,0,11.0,-15.0,-991.0,62,64,80,60,24.31,73
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:12.154,57.122,4.584,4.584,4,-5,-16,81,95,34,81,100,250,80,8,250,10,5,216,-1,216.06,8.138,18.884,69,69,,0,0,0,0,0,0,-6.0,-6.0,-1001.0,62,64,80,60,24.34,73
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:12.261,57.229,4.691,4.691,4,-5,-16,81,95,34,81,100,250,80,8,250,10,5,216,-1,216.06,8.138,18.884,69,69,,0,0,0,0,0,0,1.0,-22.0,-996.0,62,64,80,60,24.33,73
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:12.369,57.336,4.798,4.798,4,-5,-16,81,95,34,81,100,250,80,8,250,10,5,216,-1,216.06,8.138,18.884,69,69,,0,0,0,0,0,0,18.0,-13.0,-988.0,62,64,79,60,24.32,73
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:12.476,57.444,4.906,4.906,4,-5,-16,81,95,34,81,100,250,80,8,250,10,5,216,-1,216.06,7.791,18.884,69,69,,0,0,1,-1,0,0,5.0,-5.0,-994.0,62,64,79,60,24.37,73
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:12.582,57.55,5.012,5.012,4,-5,-16,81,95,34,81,100,250,80,8,250,10,5,216,-1,216.06,7.791,18.884,69,69,,0,0,1,-1,0,0,6.0,-9.0,-996.0,62,64,79,60,24.38,73
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:12.690,57.657,5.119,5.119,4,-3,-11,82,97,39,82,100,250,80,8,250,10,3,211,-2,211.031,7.931,18.884,69,69,,0,0,0,0,0,0,2.0,-17.0,-1003.0,62,64,79,60,24.35,73
20260507_114115,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B09,3,front_3,3,2,0,node_segment_1,2026-05-07T11:42:12.797,57.765,5.227,5.227,4,-3,-11,82,97,39,82,100,250,80,8,250,10,3,211,-2,211.031,7.931,18.884,69,69,,0,0,0,0,0,0,-2.0,-2.0,-1009.0,62,64,79,60,24.32,73
