run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_1,192.168.0.101,B07,1,front_1,1,0,0,node_to_node,2026-05-11T14:55:49.756,180.801,0.0,0.0,1,-2,1,86,-2,1,86,0,250,80,6,250,10,2,249,-6,249.08,6.619,14.027,67,67,,-12,1,-1,0,0,0,32.0,22.0,-1025.0,60,63,84,70,-120.12,113
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_2,192.168.0.102,B10,2,front_2,2,1,0,node_segment_1,2026-05-11T14:55:49.756,180.801,0.0,0.0,2,-4,5,87,46,5,87,50,250,80,7,250,10,4,245,-7,245.133,6.619,14.027,70,70,,-14,1,0,0,0,0,32.0,11.0,-1000.0,61,64,85,80,-120.23,181
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_3,192.168.0.103,B02,3,front_3,3,2,0,node_segment_1,2026-05-11T14:55:49.756,180.801,0.0,0.0,3,1,-10,85,101,-10,85,100,250,80,8,250,10,-1,260,-5,260.05,6.619,14.027,67,67,,-37,-1,0,0,0,0,-44.0,42.0,-982.0,59,61,85,60,-119.75,101
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_4,192.168.0.106,B04,4,front_4,4,3,0,node_segment_1,2026-05-11T14:55:49.756,180.801,0.0,0.0,4,-3,0,92,147,0,92,150,250,80,1,250,10,3,250,-12,250.306,6.619,14.027,68,68,,33,-2,0,0,0,0,-29.0,-9.0,-989.0,57,59,89,70,-118.84,158
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_5,192.168.0.107,B06,5,front_5,5,4,0,node_segment_1,2026-05-11T14:55:49.756,180.801,0.0,0.0,5,10,2,87,210,2,87,200,250,80,2,250,10,-10,248,-7,248.3,6.619,14.027,59,59,,-134,-2,0,0,0,0,-48.0,-11.0,-1008.0,57,60,83,70,-120.03,45
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_1,192.168.0.101,B07,1,front_1,1,0,0,node_segment_1,2026-05-11T14:55:49.865,180.91,0.109,0.109,1,-1,1,86,-1,1,86,0,250,80,6,250,10,1,249,-6,249.074,6.422,14.027,67,67,,-12,1,-1,0,0,0,24.0,32.0,-1000.0,60,63,84,70,-120.18,113
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_2,192.168.0.102,B10,2,front_2,2,1,0,node_segment_1,2026-05-11T14:55:49.865,180.91,0.109,0.109,2,-4,5,87,46,5,87,50,250,80,7,250,10,4,245,-7,245.133,6.422,14.027,70,70,,-15,1,0,0,0,0,49.0,-15.0,-1005.0,61,64,85,80,-120.15,181
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_3,192.168.0.103,B02,3,front_3,3,2,0,node_segment_1,2026-05-11T14:55:49.865,180.91,0.109,0.109,3,1,-10,85,101,-10,85,100,250,80,8,250,10,-1,260,-5,260.05,6.422,14.027,67,67,,-37,-2,-1,0,0,0,-37.0,31.0,-993.0,59,61,85,60,-119.67,101
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_4,192.168.0.106,B04,4,front_4,4,3,0,node_segment_1,2026-05-11T14:55:49.865,180.91,0.109,0.109,4,-2,0,93,148,0,93,150,250,80,1,250,10,2,250,-13,250.346,6.422,14.027,68,68,,33,-3,0,0,0,0,-33.0,21.0,-1018.0,57,59,90,70,-118.81,159
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_5,192.168.0.107,B06,5,front_5,5,4,0,node_segment_1,2026-05-11T14:55:49.865,180.91,0.109,0.109,5,10,2,87,210,2,87,200,250,80,2,250,10,-10,248,-7,248.3,6.422,14.027,59,59,,-134,-2,0,0,0,0,-35.0,-20.0,-1001.0,57,60,82,70,-120.12,45
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_1,192.168.0.101,B07,1,front_1,1,0,0,node_segment_1,2026-05-11T14:55:49.972,181.017,0.216,0.216,1,-1,1,86,-1,1,86,0,250,80,6,250,10,1,249,-6,249.074,2.828,7.009,67,67,,-12,1,0,0,0,0,-11.0,55.0,-993.0,60,63,84,70,-120.22,114
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_2,192.168.0.102,B10,2,front_2,2,1,0,node_segment_1,2026-05-11T14:55:49.972,181.017,0.216,0.216,2,-4,5,87,46,5,87,50,250,80,7,250,10,4,245,-7,245.133,2.828,7.009,70,70,,-15,1,0,0,0,0,27.0,3.0,-1003.0,61,64,85,80,-120.27,181
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_3,192.168.0.103,B02,3,front_3,3,2,0,node_segment_1,2026-05-11T14:55:49.972,181.017,0.216,0.216,3,1,-10,85,101,-10,85,100,250,80,8,250,10,-1,260,-5,260.05,2.828,7.009,67,67,,-37,-1,-1,0,0,0,-37.0,43.0,-1012.0,59,61,85,60,-119.64,101
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_4,192.168.0.106,B04,4,front_4,4,3,0,node_segment_1,2026-05-11T14:55:49.972,181.017,0.216,0.216,4,-2,0,93,148,0,93,150,250,80,1,250,10,2,250,-13,250.346,2.828,7.009,68,68,,34,-2,1,0,0,0,-38.0,19.0,-1005.0,57,59,89,70,-118.83,159
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_5,192.168.0.107,B06,5,front_5,5,4,0,node_segment_1,2026-05-11T14:55:49.972,181.017,0.216,0.216,5,1,2,86,201,2,86,200,250,80,2,250,10,-1,248,-6,248.075,2.828,7.009,59,59,,-134,-2,0,0,0,0,-57.0,-2.0,-1013.0,57,60,83,70,-120.08,45
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_1,192.168.0.101,B07,1,front_1,1,0,0,node_segment_1,2026-05-11T14:55:50.078,181.123,0.322,0.322,1,-1,1,86,-1,1,86,0,250,80,6,250,10,1,249,-6,249.074,2.256,5.029,67,67,,-12,0,-1,0,0,0,45.0,18.0,-989.0,60,63,84,70,-120.14,114
20260511_145248,front_head_lv2_009,front,head wind,Level2,drone_2,192.168.0.102,B10,2,front_2,2,1,0,node_segment_1,2026-05-11T14:55:50.078,181.123,0.322,0.322,2,-4,5,87,46,5,87,50,250,80,7,250,10,4,245,-7,245.133,2.256,5.029,70,70,,-15,1,0,0,0,0,9.0,32.0,-998.0,61,64,85,80,-120.27,181
