run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-05-16T14:08:58.580,169.691,0.0,0.0,1,-7,19,83,-7,19,83,0,250,80,6,250,10,7,231,-3,231.126,11.749,28.493,73,73,,1,2,-1,0,0,0,31.0,9.0,-1019.0,60,63,77,70,-48.55,72
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-05-16T14:08:58.580,169.691,0.0,0.0,2,3,13,81,53,13,81,50,250,80,7,250,10,-3,237,-1,237.021,11.749,28.493,74,74,,0,1,-1,0,0,0,19.0,5.0,-993.0,63,66,83,70,-47.8,153
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:58.580,169.691,0.0,0.0,3,1,1,81,101,1,81,100,250,80,8,250,10,-1,249,-1,249.004,11.749,28.493,71,71,,0,-2,0,0,0,0,-29.0,3.0,-985.0,59,60,79,20,-48.12,59
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-05-16T14:08:58.580,169.691,0.0,0.0,4,2,0,86,152,0,86,150,250,80,1,250,10,-2,250,-6,250.08,11.749,28.493,75,75,,3,-3,-1,0,0,0,-63.0,0.0,-1014.0,59,61,83,70,-47.46,141
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-05-16T14:08:58.580,169.691,0.0,0.0,5,21,4,80,221,4,80,200,250,80,2,250,10,-21,246,0,246.895,11.749,28.493,69,69,,-2,-3,0,0,0,0,-36.0,-14.0,-1006.0,57,60,80,70,-48.54,60
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-05-16T14:08:58.690,169.801,0.11,0.11,1,-4,21,80,-4,21,80,0,250,80,6,250,10,4,229,0,229.035,9.574,23.294,73,73,,1,2,-1,0,0,0,27.0,19.0,-1045.0,60,63,77,60,-48.52,73
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-05-16T14:08:58.690,169.801,0.11,0.11,2,3,13,81,53,13,81,50,250,80,7,250,10,-3,237,-1,237.021,9.574,23.294,74,74,,0,0,-1,0,0,0,14.0,16.0,-1014.0,63,66,83,70,-47.73,153
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:58.690,169.801,0.11,0.11,3,1,1,81,101,1,81,100,250,80,8,250,10,-1,249,-1,249.004,9.574,23.294,71,71,,1,-1,0,0,0,0,-7.0,19.0,-978.0,59,60,79,20,-48.12,59
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-05-16T14:08:58.690,169.801,0.11,0.11,4,2,0,86,152,0,86,150,250,80,1,250,10,-2,250,-6,250.08,9.574,23.294,75,75,,3,-3,-1,0,0,0,-54.0,-13.0,-1005.0,59,61,83,70,-47.47,141
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-05-16T14:08:58.690,169.801,0.11,0.11,5,18,-3,80,218,-3,80,200,250,80,2,250,10,-18,253,0,253.64,9.574,23.294,69,69,,-2,-2,0,0,0,0,-29.0,0.0,-1010.0,57,60,80,70,-48.57,60
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-05-16T14:08:58.792,169.903,0.212,0.212,1,-4,21,80,-4,21,80,0,250,80,6,250,10,4,229,0,229.035,9.798,23.294,73,73,,1,2,0,0,0,0,24.0,60.0,-1044.0,60,63,76,60,-48.55,73
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-05-16T14:08:58.792,169.903,0.212,0.212,2,3,13,81,53,13,81,50,250,80,7,250,10,-3,237,-1,237.021,9.798,23.294,74,74,,0,0,-1,0,0,0,10.0,10.0,-998.0,63,66,82,70,-47.69,153
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:58.792,169.903,0.212,0.212,3,0,3,82,100,3,82,100,250,80,8,250,10,0,247,-2,247.008,9.798,23.294,71,71,,1,-1,0,0,0,0,-44.0,21.0,-1015.0,59,60,78,20,-48.11,59
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-05-16T14:08:58.792,169.903,0.212,0.212,4,2,0,86,152,0,86,150,250,80,1,250,10,-2,250,-6,250.08,9.798,23.294,75,75,,3,-3,0,0,0,0,-84.0,8.0,-995.0,59,61,82,70,-47.41,141
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-05-16T14:08:58.792,169.903,0.212,0.212,5,18,-3,80,218,-3,80,200,250,80,2,250,10,-18,253,0,253.64,9.798,23.294,69,69,,-2,-1,0,0,0,0,-26.0,21.0,-997.0,57,60,80,70,-48.57,61
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-05-16T14:08:58.900,170.011,0.32,0.32,1,-4,21,80,-4,21,80,0,250,80,6,250,10,4,229,0,229.035,10.163,23.294,73,73,,1,1,0,0,0,0,34.0,4.0,-1000.0,60,63,75,60,-48.54,73
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-05-16T14:08:58.900,170.011,0.32,0.32,2,3,8,81,53,8,81,50,250,80,7,250,10,-3,242,-1,242.021,10.163,23.294,74,74,,0,0,0,0,0,0,2.0,10.0,-990.0,63,66,83,70,-47.72,153
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:58.900,170.011,0.32,0.32,3,0,3,82,100,3,82,100,250,80,8,250,10,0,247,-2,247.008,10.163,23.294,71,71,,0,-1,0,0,0,0,-44.0,15.0,-1003.0,59,60,78,20,-48.03,59
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-05-16T14:08:58.900,170.011,0.32,0.32,4,-1,0,85,149,0,85,150,250,80,1,250,10,1,250,-5,250.052,10.163,23.294,75,75,,3,-4,0,0,0,0,-70.0,-5.0,-989.0,59,61,83,70,-47.41,141
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-05-16T14:08:58.900,170.011,0.32,0.32,5,18,-3,80,218,-3,80,200,250,80,2,250,10,-18,253,0,253.64,10.163,23.294,69,69,,-2,-1,-1,0,0,0,-45.0,8.0,-984.0,57,60,80,70,-48.61,61
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-05-16T14:08:59.006,170.117,0.426,0.426,1,-4,21,80,-4,21,80,0,250,80,6,250,10,4,229,0,229.035,10.163,23.294,73,73,,1,-1,0,0,0,0,39.0,7.0,-1016.0,60,63,73,60,-48.62,73
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-05-16T14:08:59.006,170.117,0.426,0.426,2,3,8,81,53,8,81,50,250,80,7,250,10,-3,242,-1,242.021,10.163,23.294,74,74,,0,-3,0,0,0,0,13.0,-1.0,-992.0,63,66,83,70,-47.81,153
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:59.006,170.117,0.426,0.426,3,0,3,82,100,3,82,100,250,80,8,250,10,0,247,-2,247.008,10.163,23.294,71,71,,0,-2,-1,0,0,0,-28.0,17.0,-1021.0,59,60,77,20,-48.13,59
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-05-16T14:08:59.006,170.117,0.426,0.426,4,-1,0,85,149,0,85,150,250,80,1,250,10,1,250,-5,250.052,10.163,23.294,75,75,,3,-4,0,0,0,0,-70.0,-5.0,-989.0,59,61,83,70,-47.41,141
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-05-16T14:08:59.006,170.117,0.426,0.426,5,18,-3,80,218,-3,80,200,250,80,2,250,10,-18,253,0,253.64,10.163,23.294,69,69,,-2,-1,-1,0,0,0,-45.0,8.0,-984.0,57,60,80,70,-48.61,61
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-05-16T14:08:59.109,170.22,0.529,0.529,1,-6,19,77,-6,19,77,0,250,80,6,250,10,6,231,3,231.097,10.344,23.323,73,73,,1,0,0,0,0,0,22.0,13.0,-1009.0,60,63,75,60,-48.59,73
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-05-16T14:08:59.109,170.22,0.529,0.529,2,3,8,81,53,8,81,50,250,80,7,250,10,-3,242,-1,242.021,10.344,23.323,74,74,,0,-1,0,0,0,0,5.0,13.0,-1004.0,63,66,83,70,-47.78,153
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:59.109,170.22,0.529,0.529,3,0,3,82,100,3,82,100,250,80,8,250,10,0,247,-2,247.008,10.344,23.323,71,71,,0,-3,-1,0,0,0,-49.0,13.0,-1021.0,59,60,77,20,-48.11,59
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-05-16T14:08:59.109,170.22,0.529,0.529,4,-1,0,85,149,0,85,150,250,80,1,250,10,1,250,-5,250.052,10.344,23.323,75,75,,3,-6,0,0,0,0,-79.0,3.0,-980.0,59,61,83,70,-47.38,141
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-05-16T14:08:59.109,170.22,0.529,0.529,5,17,7,79,217,7,79,200,250,80,2,250,10,-17,243,1,243.596,10.344,23.323,69,69,,-2,-2,0,0,0,0,-62.0,5.0,-986.0,57,60,80,70,-48.63,61
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-05-16T14:08:59.217,170.328,0.637,0.637,1,-6,19,77,-6,19,77,0,250,80,6,250,10,6,231,3,231.097,10.766,23.323,73,73,,1,0,0,0,0,0,24.0,39.0,-1012.0,60,63,75,60,-48.5,73
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-05-16T14:08:59.217,170.328,0.637,0.637,2,3,8,81,53,8,81,50,250,80,7,250,10,-3,242,-1,242.021,10.766,23.323,74,74,,0,0,0,0,0,0,-1.0,28.0,-1002.0,63,66,83,70,-47.73,153
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:59.217,170.328,0.637,0.637,3,-3,2,81,97,2,81,100,250,80,8,250,10,3,248,-1,248.02,10.766,23.323,71,71,,0,-2,0,-1,0,0,-47.0,-3.0,-997.0,59,60,76,20,-48.12,59
20260516_140608,front_head_lv2_new_001,front,head wind,Level2,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-05-16T14:08:59.217,170.328,0.637,0.637,4,-1,0,85,149,0,85,150,250,80,1,250,10,1,250,-5,250.052,10.766,23.323,75,75,,3,-5,0,0,0,0,-48.0,-18.0,-1014.0,59,61,82,70,-47.39,141
