run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_1,192.168.0.101,B02,1,front_1,6,0,5,node_logging,2026-05-11T16:18:37.216,111.677,0.0,0.0,6,21,-12,84,21,238,84,0,0,80,1,250,10,-21,-238,-4,238.958,13.627,26.898,64,64,,44,6,2,0,0,0,100.0,14.0,-1019.0,66,69,83,70,-122.2,123
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_2,192.168.0.102,B04,2,front_2,7,1,5,node_segment_1,2026-05-11T16:18:37.216,111.677,0.0,0.0,7,15,2,79,65,252,79,50,0,80,2,250,10,-15,-252,1,252.448,13.627,26.898,65,65,,139,1,2,0,0,0,46.0,-54.0,-1008.0,66,69,77,40,-122.2,172
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_3,192.168.0.103,B06,3,front_3,8,2,5,node_segment_1,2026-05-11T16:18:37.216,111.677,0.0,0.0,8,-1,-7,80,99,243,80,100,0,80,3,250,10,1,-243,0,243.002,13.627,26.898,65,65,,18,4,1,0,0,0,24.0,-8.0,-976.0,63,65,79,60,-121.7,152
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_4,192.168.0.106,B07,4,front_4,1,3,5,node_segment_1,2026-05-11T16:18:37.216,111.677,0.0,0.0,1,-6,-7,84,144,243,84,150,0,80,4,250,10,6,-243,-4,243.107,13.627,26.898,69,69,,-6,1,0,0,0,0,42.0,51.0,-929.0,59,61,84,70,-120.68,87
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_5,192.168.0.107,B10,5,front_5,2,4,5,node_segment_1,2026-05-11T16:18:37.216,111.677,0.0,0.0,2,2,1,87,202,251,87,200,0,80,5,250,10,-2,-251,-7,251.106,13.627,26.898,64,64,,0,4,1,0,0,0,12.0,6.0,-956.0,59,61,85,70,-121.88,42
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_1,192.168.0.101,B02,1,front_1,6,0,5,node_segment_1,2026-05-11T16:18:37.322,111.783,0.106,0.106,6,21,-12,84,21,238,84,0,0,80,1,250,10,-21,-238,-4,238.958,13.432,26.898,64,64,,45,5,2,0,0,0,111.0,-47.0,-964.0,66,69,82,70,-122.24,124
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_2,192.168.0.102,B04,2,front_2,7,1,5,node_segment_1,2026-05-11T16:18:37.322,111.783,0.106,0.106,7,15,2,79,65,252,79,50,0,80,2,250,10,-15,-252,1,252.448,13.432,26.898,65,65,,138,1,1,0,0,0,48.0,-15.0,-1041.0,66,69,76,40,-122.38,172
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_3,192.168.0.103,B06,3,front_3,8,2,5,node_segment_1,2026-05-11T16:18:37.322,111.783,0.106,0.106,8,0,-3,80,100,247,80,100,0,80,3,250,10,0,-247,0,247.0,13.432,26.898,65,65,,18,2,1,0,0,0,69.0,13.0,-989.0,63,65,80,60,-121.6,152
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_4,192.168.0.106,B07,4,front_4,1,3,5,node_segment_1,2026-05-11T16:18:37.322,111.783,0.106,0.106,1,-6,-7,84,144,243,84,150,0,80,4,250,10,6,-243,-4,243.107,13.432,26.898,69,69,,-6,2,0,0,-1,0,33.0,24.0,-999.0,58,62,84,70,-120.59,87
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_5,192.168.0.107,B10,5,front_5,2,4,5,node_segment_1,2026-05-11T16:18:37.322,111.783,0.106,0.106,2,2,1,87,202,251,87,200,0,80,5,250,10,-2,-251,-7,251.106,13.432,26.898,64,64,,0,3,2,0,0,0,-3.0,23.0,-962.0,59,61,84,70,-121.79,42
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_1,192.168.0.101,B02,1,front_1,6,0,5,node_segment_1,2026-05-11T16:18:37.428,111.888,0.212,0.212,6,21,-12,84,21,238,84,0,0,80,1,250,10,-21,-238,-4,238.958,13.405,26.898,64,64,,45,6,1,0,0,0,119.0,-104.0,-980.0,66,69,82,70,-122.23,124
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_2,192.168.0.102,B04,2,front_2,7,1,5,node_segment_1,2026-05-11T16:18:37.428,111.888,0.212,0.212,7,15,2,79,65,252,79,50,0,80,2,250,10,-15,-252,1,252.448,13.405,26.898,65,65,,138,2,2,0,0,0,24.0,-40.0,-908.0,66,69,76,40,-122.31,172
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_3,192.168.0.103,B06,3,front_3,8,2,5,node_segment_1,2026-05-11T16:18:37.428,111.888,0.212,0.212,8,0,-3,80,100,247,80,100,0,80,3,250,10,0,-247,0,247.0,13.405,26.898,65,65,,19,2,0,0,0,0,53.0,4.0,-981.0,63,65,80,60,-121.66,152
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_4,192.168.0.106,B07,4,front_4,1,3,5,node_segment_1,2026-05-11T16:18:37.428,111.888,0.212,0.212,1,-6,-7,84,144,243,84,150,0,80,4,250,10,6,-243,-4,243.107,13.405,26.898,69,69,,-6,2,-3,0,0,0,45.0,5.0,-1041.0,58,62,84,70,-120.7,87
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_5,192.168.0.107,B10,5,front_5,2,4,5,node_segment_1,2026-05-11T16:18:37.428,111.888,0.212,0.212,2,6,-2,87,206,248,87,200,0,80,5,250,10,-6,-248,-7,248.171,13.405,26.898,64,64,,0,1,2,0,0,-1,16.0,18.0,-976.0,59,62,82,60,-121.92,42
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_1,192.168.0.101,B02,1,front_1,6,0,5,node_segment_1,2026-05-11T16:18:37.532,111.992,0.316,0.316,6,21,-12,84,21,238,84,0,0,80,1,250,10,-21,-238,-4,238.958,13.803,27.898,64,64,,45,6,2,0,0,0,34.0,-12.0,-1000.0,66,69,82,70,-122.2,124
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_2,192.168.0.102,B04,2,front_2,7,1,5,node_segment_1,2026-05-11T16:18:37.532,111.992,0.316,0.316,7,15,2,79,65,252,79,50,0,80,2,250,10,-15,-252,1,252.448,13.803,27.898,65,65,,137,1,3,0,0,0,25.0,-88.0,-1057.0,66,69,75,40,-122.35,172
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_3,192.168.0.103,B06,3,front_3,8,2,5,node_segment_1,2026-05-11T16:18:37.532,111.992,0.316,0.316,8,0,-3,80,100,247,80,100,0,80,3,250,10,0,-247,0,247.0,13.803,27.898,65,65,,19,2,0,0,0,0,48.0,-18.0,-987.0,63,65,80,70,-121.6,152
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_4,192.168.0.106,B07,4,front_4,1,3,5,node_segment_1,2026-05-11T16:18:37.532,111.992,0.316,0.316,1,-7,-7,85,143,243,85,150,0,80,4,250,10,7,-243,-5,243.152,13.803,27.898,69,69,,-6,2,-3,0,0,0,62.0,-5.0,-1008.0,58,62,84,70,-120.68,87
20260511_161645,front_tail_lv1_001,front,tail wind,Level1,drone_5,192.168.0.107,B10,5,front_5,2,4,5,node_segment_1,2026-05-11T16:18:37.532,111.992,0.316,0.316,2,6,-2,87,206,248,87,200,0,80,5,250,10,-6,-248,-7,248.171,13.803,27.898,64,64,,0,0,1,0,0,-1,18.0,17.0,-1048.0,59,62,82,60,-121.98,43
