run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260512_161423,front_tail_lv1_010,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,2,5,node_segment_1,2026-05-12T16:14:46.482,22.68,0.0,0.0,7,16,39,95,116,239,95,100,0,80,3,250,10,-16,-239,-15,240.004,12.36,22.996,41,41,,1,2,0,0,0,0,48.0,-8.0,-981.0,66,68,87,80,-131.33,272
20260512_161423,front_tail_lv1_010,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,2,5,node_segment_1,2026-05-12T16:14:46.590,22.788,0.109,0.109,8,4,-2,87,104,248,87,100,0,80,3,250,10,-4,-248,-7,248.131,9.91,22.996,41,41,,0,3,1,0,0,0,45.0,4.0,-995.0,66,68,85,80,-131.32,272
20260512_161423,front_tail_lv1_010,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,2,5,node_segment_1,2026-05-12T16:14:46.697,22.895,0.215,0.215,8,4,-2,87,104,248,87,100,0,80,3,250,10,-4,-248,-7,248.131,11.419,26.898,41,41,,0,2,1,0,0,0,77.0,-15.0,-956.0,66,68,85,80,-131.3,273
20260512_161423,front_tail_lv1_010,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,2,5,node_segment_1,2026-05-12T16:14:46.799,22.997,0.317,0.317,8,4,-2,87,104,248,87,100,0,80,3,250,10,-4,-248,-7,248.131,11.419,26.898,41,41,,0,4,0,0,0,0,20.0,-10.0,-1000.0,66,68,84,80,-131.28,273
20260512_161423,front_tail_lv1_010,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,2,5,node_segment_1,2026-05-12T16:14:46.903,23.101,0.421,0.421,8,4,-2,87,104,248,87,100,0,80,3,250,10,-4,-248,-7,248.131,12.573,26.898,41,41,,0,3,2,0,0,-1,29.0,-4.0,-980.0,66,68,84,80,-131.38,273
20260512_161423,front_tail_lv1_010,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,2,5,node_segment_1,2026-05-12T16:14:47.011,23.209,0.529,0.529,7,20,39,94,120,239,94,100,0,80,3,250,10,-20,-239,-14,240.244,15.783,26.935,41,41,,0,4,1,0,0,0,26.0,-18.0,-1043.0,66,68,82,70,-131.51,273
20260512_161423,front_tail_lv1_010,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,2,5,node_segment_1,2026-05-12T16:14:47.118,23.316,0.636,0.636,7,20,39,94,120,239,94,100,0,80,3,250,10,-20,-239,-14,240.244,16.228,28.963,41,41,,0,2,0,0,0,0,18.0,-14.0,-1029.0,66,68,81,70,-131.44,273
20260512_161423,front_tail_lv1_010,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,2,5,node_segment_1,2026-05-12T16:14:47.224,23.422,0.742,0.742,7,20,39,94,120,239,94,100,0,80,3,250,10,-20,-239,-14,240.244,15.187,28.963,41,41,,0,1,-1,0,0,0,67.0,-31.0,-1072.0,65,68,81,70,-131.35,273
20260512_161423,front_tail_lv1_010,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,2,5,node_segment_1,2026-05-12T16:14:47.328,23.526,0.847,0.847,7,20,39,94,120,239,94,100,0,80,3,250,10,-20,-239,-14,240.244,15.187,28.963,41,41,,0,0,0,0,0,0,62.0,2.0,-1032.0,65,68,80,70,-131.29,273
20260512_161423,front_tail_lv1_010,front,tail wind,Level1,drone_3,192.168.0.103,B05,3,front_3,8,2,5,node_segment_1,2026-05-12T16:14:47.431,23.629,0.95,0.95,8,4,-5,83,104,245,83,100,0,80,3,250,10,-4,-245,-3,245.051,11.988,27.996,41,41,,0,1,2,0,0,0,39.0,-16.0,-978.0,65,68,81,70,-131.51,273
