run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260519_154535,front_tail_lv2_new_001,front,tail wind,Level2,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-19T15:45:55.307,19.952,0.0,0.0,6,5,-15,82,5,235,82,0,0,80,1,250,10,-5,-235,-2,235.062,6.317,16.408,74,74,,-4,3,-1,0,-1,0,59.0,-21.0,-954.0,64,68,80,80,79.19,161
20260519_154535,front_tail_lv2_new_001,front,tail wind,Level2,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-05-19T15:45:55.307,19.952,0.0,0.0,7,18,6,79,68,256,79,50,0,80,2,250,10,-18,-256,1,256.634,6.317,16.408,72,72,,-1,2,-1,0,-1,0,78.0,-13.0,-1040.0,66,68,82,40,79.74,178
20260519_154535,front_tail_lv2_new_001,front,tail wind,Level2,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-05-19T15:45:55.307,19.952,0.0,0.0,8,3,-5,76,103,245,76,100,0,80,3,250,10,-3,-245,4,245.051,6.317,16.408,74,74,,-4,3,-1,0,0,0,48.0,9.0,-1040.0,66,68,73,60,79.47,141
20260519_154535,front_tail_lv2_new_001,front,tail wind,Level2,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-05-19T15:45:55.307,19.952,0.0,0.0,1,4,-2,84,154,248,84,150,0,80,4,250,10,-4,-248,-4,248.065,6.317,16.408,73,73,,175,5,0,0,0,0,95.0,-26.0,-993.0,61,63,83,70,80.06,158
20260519_154535,front_tail_lv2_new_001,front,tail wind,Level2,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-05-19T15:45:55.307,19.952,0.0,0.0,2,5,1,81,205,251,81,200,0,80,5,250,10,-5,-251,-1,251.052,6.317,16.408,72,72,,-91,0,0,0,0,0,22.0,14.0,-997.0,62,64,79,70,79.06,110
20260519_154535,front_tail_lv2_new_001,front,tail wind,Level2,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-19T15:45:55.412,20.056,0.105,0.105,6,6,-15,81,6,235,81,0,0,80,1,250,10,-6,-235,-1,235.079,6.394,15.46,74,74,,-4,4,-1,0,0,0,119.0,-36.0,-1073.0,64,68,80,80,79.02,162
20260519_154535,front_tail_lv2_new_001,front,tail wind,Level2,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-05-19T15:45:55.412,20.056,0.105,0.105,7,18,6,79,68,256,79,50,0,80,2,250,10,-18,-256,1,256.634,6.394,15.46,72,72,,-1,3,-3,0,-1,0,49.0,-39.0,-998.0,66,68,81,40,79.64,178
20260519_154535,front_tail_lv2_new_001,front,tail wind,Level2,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-05-19T15:45:55.412,20.056,0.105,0.105,8,3,-5,76,103,245,76,100,0,80,3,250,10,-3,-245,4,245.051,6.394,15.46,74,74,,-3,4,0,0,0,0,71.0,3.0,-1011.0,66,68,74,60,79.41,141
20260519_154535,front_tail_lv2_new_001,front,tail wind,Level2,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-05-19T15:45:55.412,20.056,0.105,0.105,1,4,-2,84,154,248,84,150,0,80,4,250,10,-4,-248,-4,248.065,6.394,15.46,73,73,,175,5,1,0,0,0,101.0,-7.0,-1013.0,61,63,84,70,79.82,158
20260519_154535,front_tail_lv2_new_001,front,tail wind,Level2,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-05-19T15:45:55.412,20.056,0.105,0.105,2,5,1,81,205,251,81,200,0,80,5,250,10,-5,-251,-1,251.052,6.394,15.46,72,72,,-91,1,0,0,0,0,0.0,17.0,-996.0,62,64,79,70,79.09,110
20260519_154535,front_tail_lv2_new_001,front,tail wind,Level2,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-19T15:45:55.519,20.163,0.212,0.212,6,6,-15,81,6,235,81,0,0,80,1,250,10,-6,-235,-1,235.079,5.82,13.246,74,74,,-4,5,-1,0,0,0,130.0,-25.0,-1028.0,65,68,81,80,78.94,162
