run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:27.156,106.982,0.001,0.001,4,-8,0,82,92,0,82,100,250,80,1,250,10,8,250,-2,250.136,7.208,16.03,82,82,,42,-1,1,0,0,0,-11.0,-1.0,-1007.0,60,62,80,70,-91.55,45
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:27.261,107.087,0.106,0.106,4,-8,0,82,92,0,82,100,250,80,1,250,10,8,250,-2,250.136,7.41,16.03,82,82,,42,-1,1,0,0,0,-13.0,-12.0,-985.0,60,63,81,70,-91.6,45
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:27.366,107.192,0.211,0.211,4,-8,0,82,92,0,82,100,250,80,1,250,10,8,250,-2,250.136,7.41,16.03,82,82,,42,-1,1,0,0,0,10.0,-28.0,-1000.0,60,63,81,70,-91.58,46
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:27.471,107.297,0.317,0.317,4,-10,0,82,90,0,82,100,250,80,1,250,10,10,250,-2,250.208,8.016,17.067,82,82,,42,-1,1,0,0,0,1.0,-5.0,-999.0,60,63,81,70,-91.54,46
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:27.580,107.405,0.425,0.425,4,-10,0,82,90,0,82,100,250,80,1,250,10,10,250,-2,250.208,7.816,17.067,82,82,,42,-2,0,0,0,0,-10.0,-25.0,-1024.0,60,63,81,70,-91.55,46
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:27.684,107.509,0.529,0.529,4,-10,0,82,90,0,82,100,250,80,1,250,10,10,250,-2,250.208,7.816,17.067,82,82,,42,-2,1,0,0,0,-4.0,-8.0,-997.0,60,63,81,70,-91.46,46
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:27.790,107.615,0.635,0.635,4,-10,0,82,90,0,82,100,250,80,1,250,10,10,250,-2,250.208,7.816,17.067,82,82,,42,-1,1,0,0,0,-10.0,-24.0,-983.0,60,63,81,70,-91.51,46
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:27.898,107.724,0.743,0.743,4,-15,-1,82,85,-1,82,100,250,80,1,250,10,15,251,-2,251.456,10.028,23.11,82,82,,42,-1,1,0,0,0,-9.0,-16.0,-988.0,60,63,81,70,-91.59,46
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:28.004,107.83,0.85,0.85,4,-15,-1,82,85,-1,82,100,250,80,1,250,10,15,251,-2,251.456,10.022,23.11,82,82,,42,-1,1,0,0,0,-14.0,0.0,-1000.0,60,63,81,70,-91.59,46
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:28.108,107.934,0.953,0.953,4,-15,-1,82,85,-1,82,100,250,80,1,250,10,15,251,-2,251.456,10.022,23.11,82,82,,42,-1,1,0,0,0,-24.0,-9.0,-999.0,60,63,80,70,-91.59,46
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:28.212,108.038,1.057,1.057,4,-15,-1,82,85,-1,82,100,250,80,1,250,10,15,251,-2,251.456,9.246,21.344,82,82,,42,-1,1,0,0,0,0.0,-8.0,-990.0,60,63,81,70,-91.51,46
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:28.318,108.144,1.164,1.164,4,-19,-2,82,81,-2,82,100,250,80,1,250,10,19,252,-2,252.723,11.051,25.425,82,82,,42,-1,1,0,0,0,1.0,-18.0,-996.0,60,63,80,70,-91.6,47
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:28.424,108.25,1.27,1.27,4,-19,-2,82,81,-2,82,100,250,80,1,250,10,19,252,-2,252.723,11.051,25.425,82,82,,42,-1,1,0,0,0,-35.0,-5.0,-1000.0,60,63,81,70,-91.52,47
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:28.531,108.356,1.376,1.376,4,-19,-2,82,81,-2,82,100,250,80,1,250,10,19,252,-2,252.723,11.051,25.425,82,82,,42,-1,1,0,0,0,-30.0,1.0,-994.0,60,63,80,70,-91.52,47
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:28.639,108.464,1.484,1.484,4,-23,2,82,77,2,82,100,250,80,1,250,10,23,248,-2,249.072,13.421,31.498,82,82,,42,-1,1,0,0,0,-8.0,-36.0,-999.0,60,63,80,70,-91.56,47
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:28.747,108.572,1.592,1.592,4,-23,2,82,77,2,82,100,250,80,1,250,10,23,248,-2,249.072,13.898,31.498,82,82,,42,-1,1,0,0,0,-24.0,-6.0,-1002.0,60,63,80,70,-91.51,47
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:28.853,108.679,1.698,1.698,4,-23,2,82,77,2,82,100,250,80,1,250,10,23,248,-2,249.072,13.898,31.498,82,82,,42,-1,1,0,0,0,-22.0,-8.0,-990.0,60,63,80,70,-91.52,47
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:28.961,108.786,1.806,1.806,4,-23,2,82,77,2,82,100,250,80,1,250,10,23,248,-2,249.072,13.898,31.498,82,82,,42,-1,1,-1,0,0,-11.0,-13.0,-988.0,60,63,80,70,-91.53,47
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:29.068,108.893,1.913,1.913,3,21,-6,82,,,,100,250,80,1,250,10,,,,,11.7,22.105,82,82,,42,-1,1,-1,0,0,5.0,-28.0,-993.0,60,63,80,70,-91.61,47
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:29.175,109.001,2.021,2.021,3,21,-6,82,,,,100,250,80,1,250,10,,,,,11.615,22.105,82,82,,42,-1,1,-1,0,0,-10.0,-28.0,-983.0,60,63,80,70,-91.52,47
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:29.283,109.109,2.129,2.129,3,21,-6,82,,,,100,250,80,1,250,10,,,,,11.615,22.105,82,82,,42,-1,2,-1,0,0,7.0,-39.0,-1006.0,61,63,80,70,-91.56,47
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:29.390,109.216,2.235,2.235,3,14,1,83,,,,100,250,80,1,250,10,,,,,11.496,22.491,82,82,,42,-1,2,-1,0,0,-10.0,-30.0,-990.0,61,63,81,70,-91.51,48
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:29.497,109.322,2.342,2.342,3,14,1,83,,,,100,250,80,1,250,10,,,,,12.816,24.072,82,82,,42,0,2,-1,0,0,-13.0,-20.0,-990.0,61,63,80,70,-91.48,48
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:29.602,109.428,2.448,2.448,3,14,1,83,,,,100,250,80,1,250,10,,,,,12.816,24.072,82,82,,42,0,2,-1,0,0,-10.0,-35.0,-991.0,61,63,80,70,-91.52,48
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:29.709,109.534,2.554,2.554,3,14,1,83,,,,100,250,80,1,250,10,,,,,12.816,24.072,81,82,,42,0,2,-1,0,0,-16.0,-23.0,-1004.0,61,63,80,70,-91.57,48
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:29.815,109.64,2.66,2.66,3,8,3,83,,,,100,250,80,1,250,10,,,,,11.636,22.838,81,82,,42,-1,2,-1,0,0,-6.0,-49.0,-998.0,61,63,80,70,-91.51,48
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:29.921,109.747,2.766,2.766,3,8,3,83,,,,100,250,80,1,250,10,,,,,11.541,22.186,81,82,,42,-1,2,-1,0,0,0.0,-44.0,-994.0,61,63,80,70,-91.5,48
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:30.027,109.853,2.872,2.872,3,8,3,83,,,,100,250,80,1,250,10,,,,,11.541,22.186,81,82,,42,-1,2,-1,0,0,-14.0,-19.0,-989.0,61,63,80,70,-91.49,48
20260828_204540,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_positive_y_250cm,2026-08-28T20:47:30.134,109.96,2.979,2.979,3,8,3,83,,,,100,250,80,1,250,10,,,,,11.541,22.186,81,82,,42,-1,3,-1,0,0,11.0,-51.0,-988.0,61,63,80,70,-91.32,48
