run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260828_212850,prepare_high,front,head wind,no wind,50,high,85,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-28T21:29:10.337,19.839,0.0,0.0,2,-4,0,82,-4,0,82,0,250,80,7,250,10,4,250,-2,250.04,4.531,11.984,75,75,,48,0,0,0,0,0,22.0,-6.0,-1003.0,63,65,83,40,-94.15,65
20260828_212850,prepare_high,front,head wind,no wind,50,high,85,2,drone_2,192.168.0.101,B10,2,front_2,3,1,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-28T21:29:10.337,19.839,0.0,0.0,3,-4,-4,81,46,-4,81,50,250,80,8,250,10,4,254,-1,254.033,4.531,11.984,60,60,,34,0,0,0,0,0,0.0,25.0,-1001.0,60,63,83,70,-93.3,51
20260828_212850,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-28T21:29:10.337,19.839,0.0,0.0,4,-7,0,87,93,0,87,100,250,80,1,250,10,7,250,-7,250.196,4.531,11.984,74,74,,-6,0,0,0,0,0,-8.0,3.0,-1013.0,60,62,85,70,-93.36,17
20260828_212850,prepare_high,front,head wind,no wind,50,high,85,2,drone_4,192.168.0.103,B14,4,front_4,5,3,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-28T21:29:10.337,19.839,0.0,0.0,5,4,11,83,154,11,83,150,250,80,2,250,10,-4,239,-3,239.052,4.531,11.984,46,46,,47,0,0,0,0,0,-23.0,8.0,-1010.0,58,60,82,70,-92.89,52
20260828_212850,prepare_high,front,head wind,no wind,50,high,85,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-28T21:29:10.337,19.839,0.0,0.0,6,-4,1,79,196,1,79,200,250,80,3,250,10,4,249,1,249.034,4.531,11.984,74,74,,8,0,0,0,0,0,-16.0,-2.0,-1011.0,59,63,92,90,-93.94,73
20260828_212850,prepare_high,front,head wind,no wind,50,high,85,2,drone_1,192.168.0.100,B11,1,front_1,2,0,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-28T21:29:10.443,19.945,0.106,0.106,2,-4,0,82,-4,0,82,0,250,80,7,250,10,4,250,-2,250.04,4.531,11.984,75,75,,48,0,0,0,0,0,39.0,-5.0,-992.0,63,65,82,40,-94.16,65
20260828_212850,prepare_high,front,head wind,no wind,50,high,85,2,drone_2,192.168.0.101,B10,2,front_2,3,1,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-28T21:29:10.443,19.945,0.106,0.106,3,-4,-4,81,46,-4,81,50,250,80,8,250,10,4,254,-1,254.033,4.531,11.984,60,60,,34,0,0,0,0,0,-20.0,-3.0,-957.0,60,63,83,70,-93.25,51
20260828_212850,prepare_high,front,head wind,no wind,50,high,85,2,drone_3,192.168.0.102,B13,3,front_3,4,2,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-28T21:29:10.443,19.945,0.106,0.106,4,-7,0,87,93,0,87,100,250,80,1,250,10,7,250,-7,250.196,4.531,11.984,74,74,,-6,0,0,0,0,0,-18.0,6.0,-998.0,60,62,85,70,-93.34,17
20260828_212850,prepare_high,front,head wind,no wind,50,high,85,2,drone_4,192.168.0.103,B14,4,front_4,5,3,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-28T21:29:10.443,19.945,0.106,0.106,5,4,11,83,154,11,83,150,250,80,2,250,10,-4,239,-3,239.052,4.531,11.984,46,46,,47,0,0,0,0,0,-16.0,11.0,-1023.0,58,60,83,70,-92.81,52
20260828_212850,prepare_high,front,head wind,no wind,50,high,85,2,drone_5,192.168.0.104,B12,5,front_5,6,4,0,front_continuous_pad_feedback_positive_y_250cm,2026-08-28T21:29:10.443,19.945,0.106,0.106,6,-4,1,79,196,1,79,200,250,80,3,250,10,4,249,1,249.034,4.531,11.984,74,74,,8,0,0,0,0,0,14.0,-19.0,-985.0,59,63,92,90,-93.93,73
