run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260526_143306,vee_50_head_lv2_new_005,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T14:33:26.664,19.833,0.0,0.0,1,-5,-5,82,136.4213562373095,-5.0,82,141.4213562373095,250.0,80,8,250,10,5.0,255.0,-2,255.057,6.046,12.621,65,65,,1,1,1,0,0,0,17.0,-11.0,-990.0,60,63,82,70,2.07,199
20260526_143306,vee_50_head_lv2_new_005,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T14:33:26.778,19.947,0.114,0.114,1,-5,-5,82,136.4213562373095,-5.0,82,141.4213562373095,250.0,80,8,250,10,5.0,255.0,-2,255.057,6.046,12.621,65,65,,0,1,0,0,0,0,9.0,-32.0,-997.0,61,63,81,70,1.99,199
20260526_143306,vee_50_head_lv2_new_005,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T14:33:26.885,20.054,0.221,0.221,1,-5,-5,82,136.4213562373095,-5.0,82,141.4213562373095,250.0,80,8,250,10,5.0,255.0,-2,255.057,5.438,9.8,65,65,,0,0,0,0,0,0,0.0,-10.0,-993.0,61,63,82,70,1.97,199
20260526_143306,vee_50_head_lv2_new_005,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T14:33:26.990,20.159,0.326,0.326,1,-7,-6,83,134.4213562373095,-6.0,83,141.4213562373095,250.0,80,8,250,10,7.0,256.0,-3,256.113,5.128,9.8,65,65,,0,0,0,0,0,0,-4.0,-48.0,-1010.0,61,63,82,70,1.95,200
20260526_143306,vee_50_head_lv2_new_005,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T14:33:27.098,20.268,0.435,0.435,1,-7,-6,83,134.4213562373095,-6.0,83,141.4213562373095,250.0,80,8,250,10,7.0,256.0,-3,256.113,5.503,10.399,65,65,,0,-1,0,0,0,0,-16.0,-28.0,-1004.0,61,63,81,70,1.97,200
20260526_143306,vee_50_head_lv2_new_005,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T14:33:27.204,20.374,0.541,0.541,1,-7,-6,83,134.4213562373095,-6.0,83,141.4213562373095,250.0,80,8,250,10,7.0,256.0,-3,256.113,5.503,10.399,65,65,,1,-1,1,0,0,0,-31.0,-7.0,-1005.0,61,63,81,70,2.02,200
20260526_143306,vee_50_head_lv2_new_005,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T14:33:27.314,20.484,0.651,0.651,1,-7,-6,83,134.4213562373095,-6.0,83,141.4213562373095,250.0,80,8,250,10,7.0,256.0,-3,256.113,5.494,10.399,65,65,,1,-1,1,0,0,0,-48.0,-21.0,-988.0,61,63,81,70,2.05,200
20260526_143306,vee_50_head_lv2_new_005,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T14:33:27.424,20.594,0.761,0.761,1,-2,-3,83,139.4213562373095,-3.0,83,141.4213562373095,250.0,80,8,250,10,2.0,253.0,-3,253.026,5.59,12.023,65,65,,0,-1,0,0,0,0,-21.0,-17.0,-979.0,61,63,81,70,2.05,200
20260526_143306,vee_50_head_lv2_new_005,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T14:33:27.560,20.73,0.897,0.897,1,-2,-3,83,139.4213562373095,-3.0,83,141.4213562373095,250.0,80,8,250,10,2.0,253.0,-3,253.026,4.865,11.159,65,65,,0,-1,0,0,0,0,3.0,-30.0,-1010.0,61,63,81,70,2.1,200
20260526_143306,vee_50_head_lv2_new_005,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T14:33:27.665,20.834,1.001,1.001,1,-2,-3,83,139.4213562373095,-3.0,83,141.4213562373095,250.0,80,8,250,10,2.0,253.0,-3,253.026,4.969,11.159,65,65,,0,0,0,0,0,0,-19.0,-33.0,-962.0,61,63,81,70,2.09,200
