run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260526_132235,vee_50_head_no_wind_new_005,vee,head wind,no wind,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_logging,2026-05-26T13:22:49.886,14.453,0.0,0.0,1,-8,4,85,-8.0,4.0,85,0.0,250.0,80,6,250,10,8.0,246.0,-5,246.181,4.158,11.58,50,50,,15,1,0,0,0,0,21.0,-1.0,-1001.0,67,70,80,70,-0.57,279
20260526_132235,vee_50_head_no_wind_new_005,vee,head wind,no wind,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T13:22:49.886,14.453,0.0,0.0,5,-2,3,84,33.35533905932738,38.35533905932738,84,35.35533905932738,285.3553390593274,80,2,250,10,2.0,247.0,-4,247.04,4.158,11.58,49,49,,47,1,0,0,0,0,20.0,7.0,-1015.0,65,67,85,80,0.23,284
20260526_132235,vee_50_head_no_wind_new_005,vee,head wind,no wind,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-26T13:22:49.886,14.453,0.0,0.0,3,-2,-2,83,68.71067811865476,68.71067811865476,83,70.71067811865476,320.71067811865476,80,8,250,10,2.0,252.0,-3,252.026,4.158,11.58,48,48,,51,0,0,0,0,0,0.0,-27.0,-1007.0,69,70,84,70,0.04,293
20260526_132235,vee_50_head_no_wind_new_005,vee,head wind,no wind,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T13:22:49.886,14.453,0.0,0.0,5,5,1,86,111.06601717798213,36.35533905932738,86,106.06601717798213,285.3553390593274,80,2,250,10,-5.0,249.0,-6,249.122,4.158,11.58,44,44,,-5,0,0,0,0,0,-37.0,-5.0,-1000.0,61,64,84,70,0.54,298
20260526_132235,vee_50_head_no_wind_new_005,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T13:22:49.886,14.453,0.0,0.0,1,-1,-2,74,140.4213562373095,-2.0,74,141.4213562373095,250.0,80,8,250,10,1.0,252.0,6,252.073,4.158,11.58,43,43,,56,0,1,0,0,0,17.0,-1.0,-1011.0,64,67,73,60,-0.78,296
20260526_132235,vee_50_head_no_wind_new_005,vee,head wind,no wind,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T13:22:49.993,14.56,0.107,0.107,1,-7,6,83,-7.0,6.0,83,0.0,250.0,80,6,250,10,7.0,244.0,-3,244.119,4.055,12.04,50,50,,15,1,0,0,0,0,0.0,-3.0,-978.0,67,70,80,70,-0.58,279
20260526_132235,vee_50_head_no_wind_new_005,vee,head wind,no wind,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T13:22:49.993,14.56,0.107,0.107,5,-2,2,83,33.35533905932738,37.35533905932738,83,35.35533905932738,285.3553390593274,80,2,250,10,2.0,248.0,-3,248.026,4.055,12.04,49,49,,47,1,0,0,0,0,24.0,2.0,-999.0,65,67,85,80,0.25,284
20260526_132235,vee_50_head_no_wind_new_005,vee,head wind,no wind,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-26T13:22:49.993,14.56,0.107,0.107,3,-1,-1,85,69.71067811865476,69.71067811865476,85,70.71067811865476,320.71067811865476,80,8,250,10,1.0,251.0,-5,251.052,4.055,12.04,48,48,,51,0,0,0,0,0,5.0,-39.0,-998.0,69,70,84,70,0.02,293
20260526_132235,vee_50_head_no_wind_new_005,vee,head wind,no wind,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T13:22:49.993,14.56,0.107,0.107,5,7,1,86,113.06601717798213,36.35533905932738,86,106.06601717798213,285.3553390593274,80,2,250,10,-7.0,249.0,-6,249.171,4.055,12.04,44,44,,-5,0,0,0,0,0,-10.0,-10.0,-998.0,61,64,83,70,0.5,298
20260526_132235,vee_50_head_no_wind_new_005,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T13:22:49.993,14.56,0.107,0.107,1,-1,-2,74,140.4213562373095,-2.0,74,141.4213562373095,250.0,80,8,250,10,1.0,252.0,6,252.073,4.055,12.04,43,43,,56,0,0,0,0,0,3.0,-7.0,-1002.0,64,67,74,60,-0.8,296
