run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260525_154930,vee_50_head_no_wind_new_prepare,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T15:49:47.652,17.598,0.0,0.0,1,-3,8,87,138.4213562373095,8.0,87,141.4213562373095,250.0,80,8,250,10,3.0,242.0,-7,242.12,6.438,13.374,57,57,,-4,1,0,0,0,0,23.0,-24.0,-994.0,59,61,85,80,-19.98,73
20260525_154930,vee_50_head_no_wind_new_prepare,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T15:49:47.759,17.704,0.107,0.107,1,-6,7,88,135.4213562373095,7.0,88,141.4213562373095,250.0,80,8,250,10,6.0,243.0,-8,243.206,7.282,14.502,57,57,,-4,1,0,0,0,0,-1.0,-18.0,-990.0,59,61,86,80,-19.91,73
20260525_154930,vee_50_head_no_wind_new_prepare,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T15:49:47.863,17.809,0.211,0.211,1,-6,7,88,135.4213562373095,7.0,88,141.4213562373095,250.0,80,8,250,10,6.0,243.0,-8,243.206,7.437,14.502,57,57,,-4,1,1,0,0,0,4.0,-18.0,-993.0,59,61,85,80,-19.93,73
20260525_154930,vee_50_head_no_wind_new_prepare,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T15:49:47.971,17.916,0.319,0.319,1,-6,7,88,135.4213562373095,7.0,88,141.4213562373095,250.0,80,8,250,10,6.0,243.0,-8,243.206,7.437,14.502,57,57,,-4,0,1,0,0,0,9.0,-22.0,-995.0,59,61,85,80,-19.93,73
20260525_154930,vee_50_head_no_wind_new_prepare,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T15:49:48.079,18.024,0.427,0.427,1,-6,7,88,135.4213562373095,7.0,88,141.4213562373095,250.0,80,8,250,10,6.0,243.0,-8,243.206,7.594,13.452,57,57,,-4,0,0,0,0,0,23.0,-22.0,-1002.0,59,61,85,80,-19.93,74
20260525_154930,vee_50_head_no_wind_new_prepare,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T15:49:48.186,18.131,0.533,0.533,1,-4,9,88,137.4213562373095,9.0,88,141.4213562373095,250.0,80,8,250,10,4.0,241.0,-8,241.166,7.262,13.892,57,57,,-4,-2,1,0,0,0,-8.0,-21.0,-993.0,59,61,85,80,-19.93,74
20260525_154930,vee_50_head_no_wind_new_prepare,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T15:49:48.293,18.238,0.64,0.64,1,-4,9,88,137.4213562373095,9.0,88,141.4213562373095,250.0,80,8,250,10,4.0,241.0,-8,241.166,7.109,13.892,57,57,,-4,0,1,0,0,0,-7.0,-25.0,-988.0,59,61,85,80,-19.94,74
20260525_154930,vee_50_head_no_wind_new_prepare,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T15:49:48.400,18.345,0.748,0.748,1,-4,9,88,137.4213562373095,9.0,88,141.4213562373095,250.0,80,8,250,10,4.0,241.0,-8,241.166,7.109,13.892,57,57,,-4,0,1,0,0,0,12.0,-24.0,-987.0,59,61,86,80,-19.91,74
20260525_154930,vee_50_head_no_wind_new_prepare,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T15:49:48.505,18.45,0.853,0.853,1,-4,9,88,137.4213562373095,9.0,88,141.4213562373095,250.0,80,8,250,10,4.0,241.0,-8,241.166,5.035,10.135,57,57,,-4,0,1,-1,0,0,-4.0,-22.0,-992.0,59,61,85,80,-19.95,74
20260525_154930,vee_50_head_no_wind_new_prepare,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T15:49:48.613,18.558,0.961,0.961,1,-2,12,88,139.4213562373095,12.0,88,141.4213562373095,250.0,80,8,250,10,2.0,238.0,-8,238.143,6.298,11.024,57,57,,-4,0,1,-1,0,0,3.0,-21.0,-1001.0,59,61,84,80,-19.92,74
